,BlkSh,BlkCr,BlkPs
261,0.2,-,0.5
262,-,1,1
263,0.3,0.3,1
264,-,-,0.1
265,-,-,0.4
266,0.5,0.1,0.3
267,0.3,0.3,0.8
268,0.2,0.1,0.6
269,-,-,-
270,0.1,0.1,0.8
271,-,-,0.5
272,-,-,-
273,0.1,0.3,0.6
274,0.1,0.1,0.6
275,0.2,0.1,0.7
276,0.1,0.1,0.7
277,-,0.3,0.1
278,0.1,-,0.7
279,0.1,0.4,0.3
280,-,0.1,0.6
281,0.4,0.2,0.5
282,0.2,0.2,0.7
283,-,-,-
284,0.1,-,0.9
285,0.1,-,0.4
286,0.3,0.1,0.6
287,0.2,0.2,0.4
288,0.5,0.1,0.3
289,-,-,0.2
290,-,-,-
291,0.7,0.3,0.7
292,-,-,0.3
293,0.1,-,0.3
294,0.2,0.2,0.3
295,0.3,0.3,0.7
296,0.1,-,0.1
297,0.4,0.1,1.2
298,0.8,-,0.3
299,0.1,0.1,0.4
300,-,-,0.8
301,0.4,0.4,1
302,0.3,-,0.5
303,0.1,0.3,0.6
304,-,-,0.5
305,-,0.2,0.4
306,-,-,0.2
307,0.1,0.3,1
308,-,0.2,0.4
309,-,-,0.8
310,-,0.1,0.5
311,-,-,0.2
312,-,0.2,0.5
313,-,0.1,0.4
314,-,-,-
315,0.4,0.1,0.3
316,0.4,0.2,0.6
317,-,-,0.3
318,-,-,0.1
319,-,-,-
320,0.1,-,0.4
321,0.1,0.1,0.1
322,-,-,-
323,0.2,0.1,0.6
324,-,-,0.4
325,-,-,0.6
326,-,-,-
327,0.5,0.1,0.5
328,-,-,0.2
329,0.4,-,0.5
330,0.5,0.1,0.4
331,0.1,-,0.1
332,0.1,0.1,0.4
333,0.9,0.1,0.5
334,-,-,0.3
335,0.9,0.1,0.7
336,0.2,0.1,0.2
337,0.3,0.2,0.7
338,0.2,-,0.5
339,0.4,-,0.4
340,0.4,-,0.9
341,0.5,0.2,0.6
342,0.1,-,0.4
343,1,-,-
344,0.2,0.1,0.7
345,-,-,0.5
346,0.7,-,0.1
347,0.2,-,0.2
348,0.3,-,0.3
349,1,-,0.1
350,0.1,0.1,0.2
351,0.5,0.3,0.6
352,-,-,0.5
353,0.2,-,0.3
354,0.1,-,0.4
355,-,-,-
356,-,-,1
357,0.2,-,0.3
