,TotAD,WonAD,LostAD
240,1.5,0.6,0.9
241,1.4,0.5,0.9
242,0.8,0.3,0.5
243,1.8,1,0.8
244,4.1,2.5,1.6
245,2,1.3,0.7
246,1.3,0.5,0.7
247,0.8,0.4,0.4
248,2.4,1.1,1.3
249,0.3,0.3,-
250,2.5,1.5,1
251,2,1.2,0.8
252,0.9,0.4,0.5
253,1.8,0.7,1.2
254,2.3,1.5,0.8
255,1.3,0.5,0.8
256,0.3,0.1,0.2
257,1.2,0.2,0.9
258,2.7,1.2,1.5
259,0.2,0.2,-
260,2.5,1.5,0.9
261,0.8,0.5,0.3
262,11,7,4
263,1.8,0.7,1.1
264,2.8,1.6,1.3
265,0.8,0.2,0.6
266,1.9,0.8,1.1
267,2.9,1.2,1.7
268,2.5,1.5,1.1
269,-,-,-
270,2.2,1,1.2
271,1,0.5,0.5
272,0.2,0.1,-
273,1.7,0.9,0.8
274,1.1,0.4,0.7
275,1.3,0.6,0.7
276,2.8,1.1,1.7
277,0.3,0.1,0.2
278,2.1,1.3,0.7
279,0.8,0.4,0.4
280,2.1,1.3,0.9
281,1.2,0.3,0.9
282,0.9,0.4,0.5
283,0.3,0.3,-
284,0.9,0.3,0.6
285,2,1,1
286,3.6,1.4,2.2
287,2.5,1.4,1.1
288,2.5,1.4,1.1
289,1.6,0.7,0.9
290,0.2,0.2,-
291,1.9,0.9,1
292,1,0.3,0.7
293,0.7,0.4,0.3
294,0.6,0.2,0.5
295,1.3,0.5,0.8
296,3.9,2.1,1.8
297,1.3,0.5,0.8
298,3.2,1.8,1.4
299,4.5,2.4,2.1
300,1.7,0.4,1.3
301,1,0.3,0.7
302,1.3,0.8,0.6
303,0.4,0.1,0.4
304,1.5,0.5,1
305,1.1,0.5,0.6
306,1.6,0.7,0.9
307,1.2,0.5,0.7
308,1.5,0.6,0.9
309,2.4,1.5,0.9
310,0.9,0.4,0.5
311,0.4,-,0.4
312,1.1,0.4,0.6
313,1.1,0.4,0.7
314,2,1,1
315,1.1,0.4,0.7
316,1.1,0.5,0.6
317,0.8,0.3,0.5
318,1.3,0.6,0.7
319,0.5,0.5,0.1
320,0.9,0.2,0.6
321,3.3,1.6,1.7
322,0.3,0.3,-
323,1.1,0.5,0.6
324,1.4,0.3,1.1
325,1.6,0.6,1
326,0.1,0.1,-
327,2.9,1.5,1.4
328,4.3,1.1,3.2
329,3.1,1.9,1.2
330,2.1,1,1.1
331,0.9,0.5,0.4
332,0.3,-,0.3
333,2.7,1.4,1.2
334,3.8,1.6,2.2
335,3.7,1.5,2.3
336,1.3,0.6,0.6
337,1.8,1,0.7
338,3.6,1.7,1.9
339,1.1,0.3,0.8
340,1,0.3,0.7
341,2.3,0.8,1.5
342,4.7,2,2.7
343,1,0.5,0.5
344,2.3,1.3,0.9
345,2.2,0.8,1.4
