,YelC,RedC
426,0.1,-
427,-,-
428,0.1,-
429,-,-
430,0.2,-
431,0.5,-
432,0.3,-
433,-,0.1
434,0.4,-
435,-,-
436,-,-
437,-,-
438,0.3,-
439,0.2,-
440,-,-
441,-,-
442,-,-
443,0.3,-
444,0.5,-
445,-,-
446,-,0.1
447,0.1,-
448,-,-
449,0.1,-
450,0.1,-
451,-,-
452,0.1,-
453,-,-
454,0.1,-
455,0.3,-
456,-,-
457,0.2,-
458,-,-
459,-,-
460,0.5,-
461,-,-
462,1,-
463,-,-
464,-,-
465,-,-
466,-,-
467,-,-
468,1,-
469,-,-
470,0.1,-
471,-,-
472,-,0.2
473,0.2,-
474,-,-
475,-,-
476,0.3,-
477,1,-
478,-,-
479,-,-
480,-,-
481,-,-
482,0.5,-
483,0.3,-
484,-,-
485,-,-
486,-,-
