,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
73,Aleksandar Pavlovic,16(2),1250,1,-,2,-,0.4,94.1,0.5,-,6.85
74,Jeffrey Gouweleeuw,30,2675,1,4,9,-,0.5,82.4,1.9,1,6.84
75,Adam Hlozek,19(5),1619,7,2,2,-,2.2,70.4,1.5,3,6.84
76,Patrick Wimmer,19(7),1577,3,4,5,1,1.4,65.9,1.5,2,6.84
77,Péter Gulácsi,28,2453,-,-,-,-,-,79.3,0.4,1,6.84
78,Karim Adeyemi,15(7),1273,4,5,3,-,1.9,78.6,0.4,1,6.83
79,Victor Boniface,12(7),1011,8,1,2,-,2.7,71.5,1.7,2,6.83
80,Thomas Dähne,6,540,-,-,-,-,-,71.6,0.5,-,6.83
81,Rocco Reitz,18(6),1585,1,1,1,-,0.8,80.6,0.5,1,6.82
82,Ko Itakura,29,2610,3,-,5,-,0.7,89.4,2.2,-,6.82
83,Budu Zivzivadze,10(2),895,2,2,-,-,1.5,69,1.9,2,6.82
84,Jackson Irvine,29,2610,-,6,2,-,1.4,71.8,3,1,6.82
85,Mitchell Weiser,29,2602,5,7,7,1,1.3,74.5,1.1,2,6.82
86,Alexander Bernhardsson,12(4),1047,5,2,3,-,1.4,63.7,1,1,6.82
87,Philipp Hofmann,26(4),2234,3,2,4,-,1.7,64.8,5.4,1,6.81
88,Tuta,24(4),2126,2,1,8,-,0.5,88.9,1.4,1,6.81
89,Noah Atubolu,24,2128,-,-,2,-,-,72.8,0.3,1,6.81
90,Lukas Kübler,22(3),1790,5,1,5,-,0.7,79.7,1.7,3,6.81
91,Daniel Svensson,5(4),509,1,2,-,-,0.4,82.7,0.6,-,6.81
92,Lucas Höler,20(9),1735,5,4,3,-,1.2,68.1,2.7,2,6.80
93,Loïs Openda,26(4),2297,9,5,3,1,2.6,66.5,0.7,1,6.80
94,Bernardo,16(2),1466,-,-,5,-,0.3,76.2,3.7,-,6.79
95,Leon Goretzka,12(11),1176,4,1,2,-,1.3,90.8,1.2,-,6.79
96,Antonio Nusa,15(7),1455,3,3,-,-,1,77.6,0.3,-,6.79
97,Jonas Wind,20(9),1862,8,3,2,-,1.2,71.1,3.2,2,6.79
98,Arthur Theate,28,2439,-,-,2,1,1.2,84.9,1.5,1,6.78
99,Paul Nebel,23(5),2079,8,3,3,1,1.3,78.6,0.6,3,6.78
100,Eric Smith,29,2559,1,1,6,-,0.8,84.3,1.1,-,6.77
101,Felix Agu,18(1),1522,3,-,1,-,0.3,81,0.9,1,6.77
