,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
169,-,-,-,-,-,-,-
170,-,-,-,-,-,-,-
171,-,-,-,-,-,0.1,0.1
172,-,-,-,-,-,-,-
173,-,-,-,-,-,-,-
174,-,-,-,-,-,0.1,0.1
175,-,-,-,-,-,-,-
176,-,-,-,-,-,0.2,0.2
177,-,-,-,-,-,-,-
178,-,-,-,-,-,0.1,0.1
179,-,-,-,-,-,-,-
180,-,-,-,-,-,-,-
181,-,-,-,-,-,0.1,0.1
182,-,-,-,-,-,-,-
183,-,-,-,-,-,0.2,0.2
184,-,-,-,-,-,0.1,0.1
185,0.1,-,-,-,-,-,0.1
186,0.1,0.1,-,-,-,-,0.1
187,-,-,-,-,-,-,-
188,-,-,-,-,-,-,-
189,-,-,-,-,-,-,-
190,-,-,-,-,-,0.1,0.1
191,-,-,-,-,-,-,-
192,-,-,-,-,-,-,-
193,-,-,-,-,-,-,-
194,-,-,-,-,-,-,-
195,-,-,-,-,-,-,-
196,-,-,-,-,-,0.1,0.1
197,-,-,-,-,-,-,-
198,-,-,-,-,-,0.1,0.1
199,0.5,-,-,-,-,-,0.5
200,-,-,-,-,-,-,-
201,-,-,-,-,-,-,-
202,-,-,-,-,-,-,-
203,-,-,-,-,-,-,-
204,-,-,-,-,-,-,-
205,-,-,-,-,-,-,-
206,-,-,-,-,-,-,-
207,-,-,-,-,-,-,-
208,-,-,-,-,-,-,-
209,-,-,-,-,-,-,-
210,-,-,-,-,-,0.1,0.1
211,-,-,-,-,-,0.1,0.1
212,-,-,-,-,-,-,-
213,-,-,-,-,-,-,-
214,-,-,-,-,-,-,-
215,-,-,-,-,-,-,0.1
216,-,-,-,-,-,-,-
217,-,-,-,-,-,-,0.1
218,0.1,-,-,-,-,0.2,0.3
219,-,-,-,-,-,-,-
220,-,-,-,-,-,-,-
221,-,-,0.1,-,-,-,0.1
222,-,-,-,-,-,0.1,0.1
223,-,-,-,-,-,-,-
224,-,-,-,-,-,-,-
225,-,-,-,-,-,-,-
226,-,-,-,-,-,-,-
227,-,-,-,-,-,-,-
228,-,-,-,-,-,0.1,0.1
229,-,-,-,-,-,-,-
230,-,-,-,-,-,-,-
231,-,-,-,-,-,-,-
232,-,-,-,-,-,-,-
233,-,-,-,-,-,-,-
234,-,-,-,-,-,-,-
235,-,-,-,-,-,-,-
236,-,-,-,-,-,-,-
237,-,-,-,-,-,-,-
238,0.1,-,-,-,-,0.1,0.1
239,0.1,-,-,-,-,-,0.1
240,-,-,-,-,-,0.1,0.1
241,-,-,-,-,-,0.1,0.1
242,0.1,-,-,-,-,-,0.1
243,-,-,-,-,-,-,-
244,-,-,-,-,-,0.1,0.1
245,-,-,-,-,-,-,-
246,-,-,-,-,-,0.1,0.1
247,0.1,-,-,-,-,-,0.1
248,-,-,-,-,-,-,-
249,-,-,-,-,-,-,-
250,-,-,-,-,-,0.1,0.1
251,-,-,-,-,-,-,-
252,-,-,-,-,-,0.1,0.1
253,-,-,-,-,-,0.1,0.1
254,-,-,-,-,-,-,-
255,-,-,-,-,-,-,-
256,-,-,-,-,-,0.1,0.1
257,-,-,-,-,-,-,-
258,-,-,-,-,-,-,-
259,-,-,-,-,-,-,-
260,-,-,-,-,-,-,-
261,-,-,-,-,-,-,-
262,-,-,-,-,-,-,-
263,-,-,-,-,-,-,-
264,-,-,0.1,-,-,-,0.1
265,-,-,-,-,-,-,0.1
266,-,-,-,-,-,0.1,0.1
267,-,-,-,-,-,-,0.1
268,-,-,-,-,-,-,-
269,-,-,-,-,-,-,-
270,-,-,-,-,-,-,-
271,-,-,-,-,-,-,-
272,-,-,-,-,-,-,-
