,TotSh,OOBSh,SYBSh,PASh
201,0.4,-,-,0.3
202,0.3,0.3,-,0.1
203,0.4,0.2,0.1,0.2
204,0.8,0.6,-,0.2
205,0.1,0.1,-,-
206,0.3,0.1,-,0.1
207,1.2,0.6,-,0.6
208,0.2,0.1,-,0.2
209,-,-,-,-
210,1.4,0.4,0.1,1
211,1.4,0.3,0.1,1.1
212,0.5,0.2,-,0.3
213,0.5,0.3,-,0.2
214,0.7,0.3,-,0.4
215,0.6,0.2,0.1,0.4
216,0.5,0.2,-,0.2
217,1,0.4,-,0.5
218,1.5,0.4,0.2,0.9
219,0.4,0.1,0.1,0.2
220,1.1,0.4,0.1,0.5
221,0.3,-,0.1,0.2
222,1,0.3,-,0.7
223,0.6,0.3,-,0.3
224,0.2,0.1,-,-
225,0.1,-,-,0.1
226,0.5,0.1,-,0.3
227,0.1,-,-,-
228,0.8,0.1,0.2,0.4
229,0.6,0.3,-,0.2
230,-,-,-,-
231,0.8,0.2,-,0.6
232,0.4,0.1,0.1,0.2
233,1.3,1.1,-,0.2
234,0.1,0.1,-,-
235,1.9,0.3,0.4,1.3
236,-,-,-,-
237,1.3,0.3,0.2,0.8
238,1.1,0.2,0.1,0.8
239,0.9,0.1,0.1,0.7
240,0.9,0.2,0.1,0.6
241,1.3,0.3,0.1,0.9
242,0.8,0.4,-,0.3
243,0.3,-,-,0.3
244,0.6,-,0.2,0.4
245,-,-,-,-
246,0.2,-,-,0.2
247,0.4,0.3,-,0.1
248,1.1,0.2,0.1,0.8
249,-,-,-,-
250,0.5,-,0.1,0.3
251,0.2,-,0.1,0.1
252,0.4,0.3,-,0.1
253,1.1,0.5,-,0.6
254,0.2,0.1,0.1,0.1
255,0.5,0.4,-,0.1
256,0.8,0.6,-,0.2
257,0.4,0.4,-,0.1
258,0.3,-,0.1,0.2
259,-,-,-,-
260,0.3,-,-,0.3
261,0.4,0.1,0.1,0.2
262,1,1,-,-
263,0.2,0.1,-,0.1
264,1.2,0.3,-,0.9
265,1,0.6,-,0.3
266,0.5,0.1,0.2,0.3
267,0.3,-,-,0.3
268,0.3,-,0.1,0.2
269,-,-,-,-
270,0.7,0.4,-,0.3
271,0.8,0.4,-,0.4
272,-,-,-,-
273,0.6,0.2,-,0.4
274,1.1,0.7,-,0.4
275,0.6,0.2,0.2,0.2
276,0.9,0.3,-,0.5
277,1.4,0.2,0.2,0.9
278,0.7,0.2,-,0.5
279,0.1,0.1,-,0.1
280,1.1,0.4,-,0.7
281,0.7,0.3,0.2,0.3
282,0.5,-,-,0.5
283,-,-,-,-
284,0.6,0.3,-,0.3
285,0.1,-,-,0.1
286,0.4,0.1,0.1,0.2
287,0.6,0.3,-,0.4
288,0.4,0.2,-,0.3
289,1.1,0.1,0.2,0.8
290,-,-,-,-
291,0.2,0.1,-,0.1
292,0.5,-,-,0.5
293,1.2,0.3,-,0.8
294,0.4,0.3,-,0.1
295,0.3,0.1,0.1,0.1
296,1.4,0.1,0.1,1.3
297,1.1,0.5,-,0.5
298,0.4,0.1,-,0.4
299,1.3,0.1,0.2,0.9
300,1.4,0.5,0.1,0.9
301,0.7,0.4,-,0.4
302,0.7,0.3,0.1,0.3
303,0.3,0.2,-,0.1
304,-,-,-,-
305,0.1,-,-,0.1
306,1.3,0.2,0.1,1
307,0.3,0.2,-,0.2
308,1,0.4,0.1,0.5
309,1.3,0.1,-,1.1
310,1.1,0.5,-,0.6
311,0.9,0.3,-,0.6
312,0.9,0.3,-,0.6
313,1.6,0.9,-,0.7
314,1,-,-,1
315,0.2,-,-,0.2
316,0.6,0.6,-,-
317,1.1,0.7,-,0.4
318,1.1,0.2,0.3,0.6
319,-,-,-,-
320,0.9,0.1,-,0.7
321,0.8,0.2,-,0.7
322,-,-,-,-
323,0.1,-,-,0.1
324,1.3,0.8,-,0.5
325,0.6,0.4,-,0.2
326,1.3,0.4,-,0.9
327,0.3,-,-,0.2
328,1.4,0.3,0.2,0.9
329,0.1,-,-,0.1
330,0.6,0.3,0.1,0.3
331,0.2,0.1,-,0.1
332,0.8,-,0.1,0.6
333,0.6,-,-,0.5
334,1.1,0.2,0.1,0.8
335,0.5,0.1,-,0.4
336,0.6,0.4,-,0.2
337,0.1,-,-,0.1
338,0.8,0.1,0.1,0.7
339,0.3,0.1,-,0.2
340,0.1,-,-,0.1
341,0.2,0.1,-,0.1
342,1.5,0.2,0.2,1.1
