,TotPs,AccLB,InAccLB,AccSP,InAccSP
254,19.6,0.3,0.2,16.8,2.3
255,34.9,2.1,2.9,23.2,6.7
256,24.4,0.6,0.3,20.7,2.9
257,15.4,0.4,1.5,10.9,2.7
258,39.4,3.6,3.9,28.2,3.6
259,35.9,4.9,7.8,23.1,0.1
260,32,1,2.1,27.3,1.6
261,42,1.7,1.5,35.6,3.2
262,31,-,2,18,11
263,29.5,1.4,1.4,22.4,4.2
264,7.8,0.1,-,6.2,1.6
265,16.6,0.6,0.7,12,3.3
266,33,1.7,2.6,24.1,4.7
267,15.4,0.7,1.6,9.1,4
268,24.5,1.5,3.4,16.2,3.5
269,40,6.5,14,19,0.5
270,33.6,0.9,1,27.8,3.9
271,21.5,0.7,1,16.4,3.4
272,34.6,6.5,8.9,18.9,0.3
273,29.4,1.1,1,22.9,4.4
274,12.6,0.4,0.7,9.6,2
275,20.8,0.5,1.3,16.5,2.5
276,17.8,0.4,1,12.2,4.2
277,12.2,-,0.4,9.2,2.6
278,36.1,1.3,0.6,32.2,1.9
279,12.6,0.2,0.4,10.2,1.8
280,13.7,0.3,0.6,8.9,4
281,15.7,0.6,0.6,11.3,3.3
282,22.6,0.5,0.7,18.5,3
283,33.2,6.1,7.7,19,0.4
284,16.4,0.3,0.5,12.5,3.1
285,20,1.4,0.1,17.5,1
286,25.1,0.7,2.3,19.3,2.9
287,10.6,0.2,0.9,6.8,2.7
288,44,1.5,1.6,39,1.9
289,12.7,0.2,0.1,10.5,1.9
290,20.8,2.4,4.8,13.6,-
291,56.2,0.9,1.6,51.1,2.7
292,8,0.3,0.2,5.2,2.3
293,11.6,0.5,0.3,8.9,1.8
294,16.6,0.9,1.4,11.2,3.2
295,25.5,1,2.6,18.5,3.5
296,9.6,0.1,-,6.3,3.3
297,23.4,0.9,0.9,17.2,4.4
298,24.1,1.1,2.5,18.5,2
299,10.5,0.2,0.2,7.1,3.1
300,12.2,0.3,0.3,9.4,2.1
301,24.1,1.7,2.5,15.6,4.3
302,30.5,1,1.2,25.1,3.2
303,28.8,0.9,1,23.7,3.3
304,22,0.5,2.5,18.5,0.5
305,16.5,0.4,0.7,13.2,2.2
306,9.1,0.3,0.1,5.6,3.1
307,26.3,1.5,2.8,18.2,3.8
308,14.6,0.5,0.9,10.3,2.8
309,9.5,-,0.1,5.7,3.6
310,8,0.3,0.3,6.3,1.3
311,17.6,0.6,0.3,15.2,1.4
312,21,0.8,0.8,15.3,4.1
313,10.4,0.1,0.2,7.2,2.9
314,1,-,-,1,-
315,25.6,0.5,1.1,22,2
316,30.6,3.1,3.2,20.2,4
317,25.8,1,0.8,21.4,2.7
318,8.1,-,0.1,5.8,2.2
319,28.7,6.5,9.7,12.3,0.2
320,10,0.2,0.1,7.8,1.9
321,8.2,0.2,0.2,5.1,2.7
322,35.1,6.6,9.7,18.6,0.2
323,19,0.1,1,15.3,2.6
324,16.5,0.5,1,12.2,2.8
325,23.4,1.1,1.4,17.1,3.8
326,14.9,0.5,0.5,12.4,1.5
327,42.4,1.8,2.7,34.7,3.2
328,19.3,0.5,0.2,14.5,4
329,30.1,1.4,2.9,23.3,2.5
330,27.8,2.3,2.3,19.5,3.6
331,11.3,0.2,0.4,9.1,1.6
332,14.6,0.8,0.6,10.9,2.4
333,33.1,2,1.8,26.9,2.5
334,8,0.1,0.1,5.4,2.4
335,42.1,1.7,1.2,35.7,3.5
336,8.2,0.2,0.1,5.9,1.9
337,36.6,2,1.5,29.5,3.6
338,15.4,0.3,0.4,10.8,3.8
339,21.1,0.5,0.5,18.3,1.9
340,34.5,0.8,0.8,29.1,3.8
341,37.4,2.4,3.9,27.4,3.6
342,9.9,0.1,-,6.4,3.4
343,23,-,1.5,18.5,3
344,30.3,1.5,2.3,21.6,4.9
345,10.4,0.4,0.2,7.1,2.7
346,32.9,1.7,3.6,24.7,2.9
347,16.4,0.4,0.4,13.3,2.2
348,60.6,2.1,1.3,54.1,3.2
349,32.1,1.3,0.9,26.6,3.4
350,12.3,1,1,8,2.5
351,26.8,1.3,2.2,21.1,2.2
352,12,-,-,7.6,4.4
353,17.7,1,0.7,13.7,2.3
354,13,0.2,0.1,10.1,2.6
355,39.8,7.2,10.6,21.9,0.1
356,8,-,-,6.5,1.5
357,9.8,0.4,0.4,4.6,4.3
358,15.4,0.1,0.1,11.1,4
359,4.7,0.1,-,3,1.6
360,18.9,0.8,1,13.9,3.2
361,18.3,1,0.6,14,2.8
362,25.1,1,0.9,20.4,2.9
363,45.4,4.1,2.9,35.8,2.6
364,2,-,-,0.5,1.5
365,13.4,0.2,0.6,10.4,2.2
366,19.7,0.6,1.1,14.8,3.2
367,7.9,0.3,-,6.1,1.4
368,4.7,0.1,0.1,3.5,1.1
369,6.2,0.1,0.1,3.7,2.3
370,8.4,0.1,0.3,5.7,2.3
371,33.4,7.5,11.6,14.3,0.1
372,18.3,0.9,0.3,16,1.1
373,6.5,0.5,0.5,4.5,1
374,20.9,0.7,1.8,15.2,3.2
375,10.2,0.5,1.1,7,1.6
376,19.5,0.5,0.5,17.5,1
377,7.7,0.3,0.3,5.3,1.7
378,10.6,0.2,0.4,9.2,0.9
379,6.9,-,0.1,4.9,1.9
380,12.9,1.1,0.9,9.8,1
381,24.8,1,1.2,19.5,3.2
382,5,0.1,-,3.5,1.4
383,36.2,11,13,12.1,0.1
384,14.3,0.2,1,11.3,1.8
385,22,0.9,2.4,15.4,3.4
386,4.4,-,0.1,2.4,1.9
387,9.4,0.1,0.2,6.7,2.3
388,9,-,0.2,3.4,5.4
389,10.2,0.4,0.2,7.2,2.5
390,11.2,0.8,0.3,8.3,1.8
391,5.5,-,0.2,4.7,0.7
392,6.2,0.2,0.1,5.1,0.8
393,10.1,0.5,0.2,6.8,2.5
394,8.2,0.2,-,6.8,1.2
395,36.1,11.4,16,8.7,-
396,9.3,0.7,0.3,7.4,0.9
397,32.6,6.5,11.3,14.5,0.4
398,27.2,5.8,7,14.2,0.2
399,5.9,0.2,0.2,3.2,2.4
400,4.6,-,-,3,1.6
401,12,0.6,1.1,9.4,1
402,10.7,0.1,0.1,8.4,2
403,8.8,0.9,1.1,5.7,1.1
404,9.1,0.2,0.2,7.3,1.3
405,54.7,0.3,1,50,3.3
406,4.7,0.1,0.1,3.4,1.1
407,8.6,0.3,0.5,6.9,0.9
408,24,0.3,1.3,20.8,1.8
409,7.9,0.1,0.2,5.3,2.3
410,8,0.3,-,5.3,2.5
411,46,0.5,1.5,39,5
412,11.1,0.4,0.1,9.4,1.2
413,8,-,0.3,6.1,1.6
414,4.5,-,0.1,2.5,1.9
415,6.5,0.2,0.1,5,1.2
416,4.7,0.1,0.9,3.1,0.6
417,6.7,0.4,-,4.7,1.6
418,8.9,0.6,0.4,5.6,2.2
419,10.2,0.2,0.3,8,1.8
420,8.3,0.3,0.1,5.9,2
421,1.4,-,-,1,0.4
422,23,-,1,19,3
423,8.5,0.5,1.5,4.8,1.5
424,7.5,0.1,0.2,5.6,1.7
425,6.3,0.1,0.1,3.9,2.1
426,6.9,0.3,0.3,5.1,1.3
427,2.1,-,0.1,1.1,0.9
428,4.1,0.1,0.1,2.3,1.6
429,2,-,-,2,-
430,5.9,0.6,0.4,3.2,1.7
431,4,-,-,3,1
432,6.9,-,0.1,4.3,2.5
433,11.9,0.2,1.2,7.6,2.9
434,15.3,0.5,0.4,12.8,1.6
435,2,-,-,2,-
436,5.5,0.2,0.2,4.5,0.7
437,12.5,1.1,1,9.8,0.6
438,22,1.1,1.3,17.6,2
439,18.3,0.4,0.3,15.7,1.8
440,25,-,-,22,3
441,14,0.3,-,11.7,2
442,9,0.7,0.1,6.6,1.6
443,4.3,0.3,-,2.3,1.7
444,4.5,-,-,4.5,-
445,4,-,-,3,1
446,8.4,0.1,0.5,5.1,2.6
447,4.7,-,-,3.3,1.4
448,6.3,0.6,0.4,4.1,1.1
449,11.9,0.8,0.4,8.4,2.3
450,2.4,0.1,0.1,1.5,0.6
451,3,-,-,1,2
452,6.7,0.2,0.3,4.8,1.4
453,7,-,1,4.8,1.2
454,2,-,0.1,1.1,0.7
455,13.6,0.4,1.1,10.6,1.5
456,3,-,-,3,-
457,2.8,-,-,2,0.8
458,3.4,-,-,3.2,0.2
459,2.6,-,-,2,0.6
460,1,-,-,0.5,0.5
461,6,-,-,6,-
462,12,-,-,11,1
463,3.5,-,0.3,3,0.3
464,3.7,0.2,-,2.2,1.3
465,3,-,-,3,-
466,-,-,-,-,-
467,1,-,-,-,1
468,-,-,-,-,-
469,2,-,-,1,1
470,3.8,0.2,-,2.2,1.5
471,2,-,-,2,-
472,16.6,0.4,0.6,14.8,0.8
473,7.2,-,-,6.4,0.8
474,36.8,1,2.3,30.8,2.8
475,6.5,-,-,5.5,1
476,3.7,-,-,2.7,1
477,4,-,-,3,1
478,4,-,-,1.5,2.5
479,6,-,0.3,5,0.7
480,1,-,-,1,-
481,32,10,14,8,-
482,5.5,-,-,3.5,2
483,32.7,3.3,7.7,21.3,0.3
484,18,1,-,14,3
485,3.5,-,-,1.5,2
486,40,-,3,30,7
