,TotGs,SYBGs,PAGs,OOBGs
253,0.1,-,0.1,-
254,-,-,-,-
255,-,-,-,-
256,0.1,-,-,0.1
257,0.1,-,-,0.1
258,-,-,-,-
259,-,-,-,-
260,-,-,-,-
261,-,-,-,-
262,-,-,-,-
263,-,-,-,-
264,0.2,-,0.1,0.1
265,-,-,-,-
266,0.1,0.1,-,-
267,-,-,-,-
268,-,-,-,-
269,-,-,-,-
270,-,-,-,-
271,0.2,-,0.1,0.1
272,-,-,-,-
273,-,-,-,-
274,-,-,-,-
275,0.1,0.1,-,-
276,0.1,-,-,-
277,0.2,0.1,0.1,0.1
278,-,-,-,-
279,-,-,-,-
280,-,-,-,-
281,-,-,-,-
282,0.1,-,0.1,-
283,-,-,-,-
284,-,-,-,-
285,-,-,-,-
286,0.1,-,0.1,-
287,-,-,-,-
288,-,-,-,-
289,0.1,0.1,0.1,-
290,-,-,-,-
291,-,-,-,-
292,0.3,-,0.3,-
293,0.2,-,0.2,-
294,-,-,-,-
295,-,-,-,-
296,0.1,-,0.1,-
297,-,-,-,-
298,0.1,-,0.1,-
299,-,-,-,-
300,0.2,-,0.2,-
301,-,-,-,-
302,-,-,-,-
303,-,-,-,-
304,-,-,-,-
305,-,-,-,-
306,0.1,-,0.1,-
307,-,-,-,-
308,-,-,-,-
309,0.2,-,0.2,-
310,0.1,-,0.1,-
311,0.1,-,0.1,-
312,0.1,-,0.1,-
313,0.1,-,-,0.1
314,-,-,-,-
315,-,-,-,-
316,-,-,-,-
317,0.1,-,-,-
318,0.3,0.3,0.1,-
319,-,-,-,-
320,0.2,-,0.2,-
321,0.1,-,0.1,-
322,-,-,-,-
323,-,-,-,-
324,0.1,-,0.1,-
325,-,-,-,-
326,-,-,-,-
327,-,-,-,-
328,0.1,-,0.1,-
329,-,-,-,-
330,-,-,-,-
331,0.1,-,0.1,0.1
332,0.1,0.1,-,-
333,-,-,-,-
334,0.2,0.1,0.1,-
335,0.1,-,0.1,-
336,0.1,-,0.1,-
337,-,-,-,-
338,0.1,-,0.1,-
339,0.1,-,0.1,-
340,-,-,-,-
341,-,-,-,-
342,0.3,-,0.2,-
343,-,-,-,-
344,0.1,-,0.1,-
345,0.3,0.2,0.1,-
346,-,-,-,-
347,0.1,-,0.1,-
348,-,-,-,-
349,-,-,-,-
350,0.1,-,-,0.1
351,-,-,-,-
352,0.1,-,-,-
353,-,-,-,-
354,-,-,-,-
355,-,-,-,-
356,-,-,-,-
357,-,-,-,-
358,0.1,-,0.1,-
359,0.1,0.1,-,-
360,-,-,-,-
361,-,-,-,-
362,-,-,-,-
363,-,-,-,-
364,-,-,-,-
365,-,-,-,-
366,-,-,-,-
367,0.3,-,0.3,-
368,0.1,0.1,-,-
369,0.1,-,0.1,-
370,-,-,-,-
371,-,-,-,-
372,-,-,-,-
373,-,-,-,-
374,-,-,-,-
375,-,-,-,-
376,-,-,-,-
377,-,-,-,-
378,-,-,-,-
379,0.1,-,0.1,-
380,-,-,-,-
381,-,-,-,-
382,0.1,-,0.1,-
383,-,-,-,-
384,-,-,-,-
385,-,-,-,-
386,0.1,-,0.1,-
387,-,-,-,-
388,-,-,-,-
389,0.1,-,0.1,-
390,-,-,-,-
391,-,-,-,-
392,-,-,-,-
393,-,-,-,-
394,0.2,-,0.2,-
395,-,-,-,-
396,-,-,-,-
397,-,-,-,-
398,-,-,-,-
399,0.2,0.1,0.1,-
400,0.2,-,0.2,-
401,-,-,-,-
402,-,-,-,-
403,-,-,-,-
404,-,-,-,-
405,-,-,-,-
406,0.1,-,0.1,-
407,-,-,-,-
408,-,-,-,-
409,-,-,-,-
410,-,-,-,-
411,-,-,-,-
412,-,-,-,-
413,-,-,-,-
414,0.1,-,0.1,-
415,-,-,-,-
416,-,-,-,-
417,-,-,-,-
418,0.1,-,0.1,-
419,-,-,-,-
420,0.1,-,0.1,-
421,0.2,-,-,0.2
422,-,-,-,-
423,0.1,-,0.1,-
424,-,-,-,-
425,-,-,-,-
426,-,-,-,-
427,0.1,-,0.1,-
428,0.1,0.1,-,-
429,-,-,-,-
430,0.1,-,-,-
431,-,-,-,-
432,-,-,-,-
433,-,-,-,-
434,-,-,-,-
435,-,-,-,-
436,-,-,-,-
437,-,-,-,-
438,-,-,-,-
439,-,-,-,-
440,-,-,-,-
441,-,-,-,-
442,-,-,-,-
443,-,-,-,-
444,-,-,-,-
445,-,-,-,-
446,0.1,0.1,-,-
447,-,-,-,-
448,-,-,-,-
449,-,-,-,-
450,-,-,-,-
451,-,-,-,-
452,-,-,-,-
453,-,-,-,-
454,-,-,-,-
455,-,-,-,-
456,-,-,-,-
457,-,-,-,-
458,-,-,-,-
459,-,-,-,-
460,-,-,-,-
461,-,-,-,-
462,-,-,-,-
463,-,-,-,-
464,-,-,-,-
465,-,-,-,-
466,-,-,-,-
467,-,-,-,-
468,-,-,-,-
469,-,-,-,-
470,-,-,-,-
471,-,-,-,-
472,-,-,-,-
473,-,-,-,-
474,-,-,-,-
475,-,-,-,-
476,-,-,-,-
477,-,-,-,-
478,-,-,-,-
479,-,-,-,-
480,-,-,-,-
481,-,-,-,-
482,-,-,-,-
483,-,-,-,-
484,-,-,-,-
485,-,-,-,-
486,-,-,-,-
