,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
10,Isco,Real Betis Balompié,Laliga,33 years old (21-04-1992),"1,76m",Spain,"Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,15(2),1289.0,8,5,5,-,86.7,0.7,3,7.21,"Jun 30, 2027",€6.00m,2.2,0.5,-,0.5,-,2.2,1.1,0.1,1,2.6,1.4,1.2,2.6,1.4,1.8,0.7,1.1,0.9,1.1,2.1,0.5,2.2,1.2,0.2,0.3,-,0.1,0.5,-,-,-,-,51.6,3.2,1.2,41.5,5.7,2.7,0.9,1.8,0.3,0.1,0.1,0.1,-,-,0.1
11,Pedri,FC Barcelona,Laliga,22 years old (25-11-2002),"1,74m",Spain,"Midfielder (Centre, Left)",Central Midfield,right,30(2),2544.0,4,4,2,-,88.5,0.2,-,7.19,"Jun 30, 2030",€120.00m,0.8,0.1,-,0.1,-,0.8,0.4,-,0.3,1.8,0.6,1.2,1.4,1,0.3,0.2,0.2,1.7,1.2,2.9,0.8,1.4,0.3,0.1,0.4,0.1,0.3,1.2,-,-,-,-,69.2,3.8,1.7,57.5,6.3,1.8,0.3,1.6,0.1,-,-,-,-,-,0.1
12,Federico Valverde,Real Madrid,Laliga,26 years old (22-07-1998),"1,82m",Uruguay,"Defender (Right), Midfielder (Centre, Left, Right)",Central Midfield,right,29(2),2584.0,6,4,3,-,90.6,0.8,4,7.19,"Jun 30, 2029",€130.00m,1.5,0.2,-,-,0.2,1.5,1.2,0.1,0.2,0.7,0.3,0.4,1,-,1.2,0.8,0.5,1.3,0.4,1.7,1.6,0.5,0.3,-,1.5,0.2,-,0.9,-,-,-,-,59.2,4.1,1.5,49.6,4,1.1,0.2,0.9,0.1,-,-,-,-,-,0.1
13,Antony,Real Betis Balompié,Laliga,25 years old (24-02-2000),"1,72m",Brazil,Attacking Midfielder (Right),Right Winger,left,12,1017.0,3,2,1,1,83.4,0.3,-,7.17,"Jun 30, 2025",€20.00m,2.6,0.3,-,0.3,-,2.6,1,-,1.6,3.5,2,1.5,3.3,1.3,1.3,0.3,1,1.3,1,2.3,0.6,1.4,0.8,-,0.4,-,0.3,0.8,-,-,-,-,45.2,1,1,36.7,6.5,2.7,0.5,2.2,0.2,-,-,-,-,-,0.2
14,Rodrygo,Real Madrid,Laliga,24 years old (09-01-2001),"1,74m",Brazil,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,right,22(8),1938.0,6,5,-,-,90.9,0.2,3,7.13,"Jun 30, 2028",€100.00m,1.8,0.2,-,0.2,-,1.8,0.5,0.1,1.2,3.7,2.1,1.6,1.6,0.5,0.8,0.2,0.5,0.7,0.5,1.2,0.4,1.2,0.3,-,0.2,-,0.1,0.6,-,-,-,-,33,0.4,0.3,29.6,2.7,1.6,0.4,1.3,0.2,-,-,-,-,-,0.1
15,Dani Olmo,FC Barcelona,Laliga,26 years old (07-05-1998),"1,79m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,11(9),1004.0,9,2,-,-,81.6,0.5,1,7.11,"Jun 30, 2030",€60.00m,1.9,0.5,-,0.4,0.1,1.9,0.6,0.1,1.2,1.9,0.9,1,1.7,1.1,0.8,0.5,0.4,0.7,0.4,1.1,0.2,1,0.8,0.1,0.5,0.2,-,0.2,-,-,-,-,25.3,1,0.4,19.7,4.3,1.1,0.1,1,0.1,-,-,-,-,-,0.1
16,Ayoze Pérez,Villarreal CF,Laliga,31 years old (29-07-1993),"1,78m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,18(8),1678.0,14,2,3,-,77.2,0.5,3,7.03,"Jun 30, 2028",€10.00m,2.6,0.5,0.1,0.4,-,2.6,0.5,0.2,1.8,2.7,1.4,1.3,2.1,1.1,1.5,0.5,1,0.9,0.6,1.5,0.3,1.5,0.8,0.2,0.3,-,0.1,0.5,-,-,-,-,13.3,0.2,0.3,10.1,2.8,1,0.1,0.9,0.1,-,-,-,-,-,-
17,Leo Román,RCD Mallorca,Laliga,24 years old (06-07-2000),"1,89m",Spain,Goalkeeper,Goalkeeper,right,6,540.0,-,-,-,-,54.7,0.2,2,7.03,"Jun 30, 2026",€2.50m,-,-,-,-,-,-,-,-,-,0.2,-,0.2,-,-,0.2,0.2,-,-,-,-,-,0.2,-,-,1,-,-,-,4.8,0.2,2.3,2.3,31.7,8.7,14.2,8.7,0.2,-,-,-,-,-,-,-,-,-,-
18,Éder Militão,Real Madrid,Laliga,27 years old (18-01-1998),"1,86m",Brazil,"Defender (Centre, Right)",Centre-Back,right,11(1),940.0,1,1,2,-,89.8,1.8,1,7.02,"Jun 30, 2028",€40.00m,0.8,0.1,-,0.1,-,0.8,0.2,0.1,0.6,0.7,0.3,0.4,0.5,0.3,2.8,1.8,1,1.6,0.4,2,1,0.7,1.5,-,2.8,0.7,0.1,0.4,-,-,-,-,58.8,4,3,48.8,3,0.5,0.2,0.3,0.1,-,-,-,-,-,0.1
19,Dodi Lukébakio,Sevilla FC,Laliga,27 years old (24-09-1997),"1,87m",Belgium,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,left,32(1),2743.0,11,2,2,1,81.7,0.5,4,7.0,"Jun 30, 2028",€25.00m,2.4,0.3,-,0.3,-,2.4,1,-,1.4,4.8,2.4,2.5,3.1,1.6,1,0.5,0.6,0.6,0.4,1,0.2,1.5,1,0.6,0.4,-,0.1,0.5,-,-,-,-,24.4,0.9,0.7,19,3.8,1.5,0.3,1.2,0.1,-,-,-,-,-,0.1
20,Pelayo Fernández,Rayo Vallecano,Laliga,22 years old (29-04-2003),"1,93m",Spain,Defender,Centre-Back,right,1,90.0,-,-,1,-,83.3,3,-,7.0,"Jun 30, 2028",€500k,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,3,2,-,-,-,1,-,2,-,7,-,1,-,-,-,-,-,24,2,-,18,4,-,-,-,-,-,-,-,-,-,-
21,Juan Foyth,Villarreal CF,Laliga,27 years old (12-01-1998),"1,87m",Argentina,"Defender (Centre, Right), Defensive Midfielder (C)",Right-Back,right,13(2),1171.0,1,-,4,-,86.5,2.3,-,7.0,"Jun 30, 2026",€10.00m,0.8,0.1,0.1,-,-,0.8,0.2,0.3,0.3,0.5,0.3,0.2,0.5,0.1,3.9,2.3,1.7,1.5,0.3,1.9,1.1,0.2,0.9,-,5.7,0.7,0.5,0.6,-,-,-,-,48.1,3.3,2.9,38.3,3.6,0.5,-,0.5,-,-,-,-,-,-,-
22,Nico Williams,Athletic Bilbao,Laliga,22 years old (12-07-2002),"1,81m",Spain,"Attacking Midfielder (Left, Right)",Left Winger,right,21(7),1921.0,5,5,1,-,79.6,0.4,1,6.99,"Jun 30, 2027",€70.00m,1.9,0.2,-,0.1,-,1.9,0.5,-,1.4,6.3,4,2.3,2.1,1.6,1,0.4,0.6,1,0.8,1.7,0.2,1.3,0.6,0.4,0.1,-,0.2,0.6,-,-,-,-,20.1,0.5,0.4,15.5,3.8,1.4,0.3,1.1,0.2,0.1,0.1,-,-,-,0.1
23,Giovani Lo Celso,Real Betis Balompié,Laliga,29 years old (09-04-1996),"1,77m",Argentina,"Midfielder (Centre, Right), Forward",Central Midfield,left,12(9),1219.0,7,2,4,-,84.1,0.2,3,6.99,"Jun 30, 2028",€20.00m,1.3,0.3,-,0.2,0.1,1.3,0.7,-,0.6,2.2,1.4,0.9,1.7,1.4,0.8,0.2,0.5,1.5,0.3,1.9,0.2,2.6,0.6,-,0.1,0.1,-,0.6,-,-,-,-,33.2,1.9,0.9,26,4.4,1.8,0.3,1.4,0.1,-,-,-,-,-,-
24,Ramon Terrats,Getafe CF,Laliga,24 years old (18-10-2000),"1,81m",Spain,"Midfielder (Centre, Right)",Central Midfield,left,10,827.0,4,-,1,-,72.7,1.1,2,6.99,"Jun 30, 2025",€4.00m,1.3,0.4,-,0.3,0.1,1.3,0.7,0.2,0.4,3.3,1.9,1.4,2.2,0.8,2,1.1,0.9,1.4,1.7,3.1,0.4,1.4,0.9,0.2,1,0.1,0.2,0.4,-,-,-,-,21.6,0.8,1.8,14.9,4.1,1.1,0.1,1,-,-,-,-,-,-,-
25,Iñigo Martínez,FC Barcelona,Laliga,33 years old (17-05-1991),"1,82m",Spain,Defender (Centre),Centre-Back,left,26,2313.0,-,4,4,-,91.4,2.3,1,6.98,"Jun 30, 2026",€5.00m,0.5,-,-,-,-,0.5,0.1,0.1,0.3,0.1,-,0.1,0.4,0.1,3.5,2.3,1.2,0.9,0.2,1.1,0.7,1,0.6,-,3.8,0.3,0.2,0.4,-,-,-,-,88.1,4.8,3,75.8,4.6,0.6,0.2,0.5,0.2,-,-,-,-,-,0.1
26,Yeray Álvarez,Athletic Bilbao,Laliga,30 years old (24-01-1995),"1,82m",Spain,Defender (Centre),Centre-Back,right,18(1),1601.0,1,-,4,-,84.5,2.2,3,6.98,"Jun 30, 2026",€7.50m,0.4,0.1,-,0.1,-,0.4,0.1,-,0.3,0.4,0.2,0.3,0.5,0.3,3.9,2.2,1.7,1.3,0.3,1.6,1.7,0.7,0.6,-,5.4,0.3,0.1,0.2,-,-,-,-,54.6,4,4.6,42.2,3.8,0.2,0.1,0.1,-,-,-,-,-,-,-
27,Marc Bartra,Real Betis Balompié,Laliga,34 years old (15-01-1991),"1,84m",Spain,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,19(2),1758.0,2,1,1,-,81,2,-,6.97,"Jun 30, 2027",€1.00m,0.8,0.1,-,-,-,0.8,0.2,0.1,0.5,0.6,0.3,0.3,0.4,0.2,3.8,2,1.8,1.2,0.4,1.6,1.4,0.6,0.5,-,6.4,1,0.1,0.6,-,-,-,-,46.7,4,5.7,33.8,3.2,0.1,-,0.1,-,-,-,-,-,-,-
28,Joan García,RCD Espanyol Barcelona,Laliga,23 years old (04-05-2001),"1,91m",Spain,Goalkeeper,Goalkeeper,right,33,2970.0,-,-,2,-,66,0.7,6,6.97,"Jun 30, 2028",€20.00m,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.7,0.7,-,-,-,-,-,0.2,-,-,1.2,-,-,-,3.8,0.2,2.2,1.4,27.4,5.9,9.1,12.2,0.2,-,-,-,-,-,-,-,-,-,-
29,Ante Budimir,CA Osasuna,Laliga,33 years old (22-07-1991),"1,90m",Croatia,Forward,Centre-Forward,left,29(4),2555.0,18,3,3,-,55.5,3.8,5,6.97,"Jun 30, 2027",€5.00m,2.5,0.5,-,0.5,-,2.5,0.2,0.3,2,1.1,0.8,0.3,2.3,1.2,7.6,3.8,3.8,0.6,0.3,0.8,0.1,0.9,1.1,0.4,0.5,0.1,-,0.4,-,-,-,-,11.4,0.1,0.1,6.2,4.9,0.5,-,0.5,0.1,-,-,-,-,-,0.1
30,Iñaki Williams,Athletic Bilbao,Laliga,30 years old (15-06-1994),"1,86m",Ghana,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,right,28(4),2556.0,6,8,1,-,69.8,0.9,4,6.96,"Jun 30, 2028",€20.00m,2,0.2,0.1,0.1,-,2,0.5,0.2,1.2,3.1,2.1,1,2,1.2,1.6,0.9,0.7,0.5,0.3,0.9,0.4,1.2,0.7,0.5,0.9,0.1,0.1,0.9,-,-,-,-,20.6,0.3,0.6,14.2,5.7,1.3,-,1.3,0.3,0.1,-,-,-,-,0.1
31,Ángel Ortiz,Real Betis Balompié,Laliga,20 years old (25-07-2004),"1,67m",Spain,Forward,Right-Back,right,4,345.0,-,1,-,-,78.2,1.3,1,6.95,"Jun 30, 2025",€2.50m,0.3,-,-,-,-,0.3,0.3,-,-,1.8,0.8,1,1.8,0.5,3,1.3,1.8,2.5,2.3,4.8,1.3,1.5,1.5,-,1.3,-,0.5,1.5,-,-,-,-,39,1,2.8,29.5,5.8,0.8,-,0.8,0.3,0.3,-,-,-,-,-
32,Lucas Ocampos,Monterrey,Laliga,30 years old (11-07-1994),187cm,Argentina,"Midfielder (Centre, Left, Right), Forward",,,2,176.0,-,1,-,-,73.2,1.5,-,6.95,,,2,-,-,-,-,2,1.5,-,0.5,4,3,1,2.5,1.5,3.5,1.5,2,1.5,0.5,2,-,1,1.5,-,0.5,-,0.5,1,-,-,-,-,41,2,2.5,28,8.5,1.5,1,0.5,0.5,-,-,-,-,-,0.5
33,Nayef Aguerd,Real Sociedad,Laliga,29 years old (30-03-1996),"1,90m",Morocco,Defender (Centre),Centre-Back,left,20,1675.0,-,-,5,-,87.9,3,-,6.94,"Jun 30, 2025",€25.00m,0.8,-,-,-,-,0.8,0.1,0.2,0.5,0.5,0.3,0.3,0.4,0.2,4.6,3,1.6,1.5,0.3,1.8,0.7,1,0.6,-,4.3,0.8,0.1,0.3,-,-,-,-,64.2,4.1,4.2,52.4,3.7,0.3,0.2,0.1,-,-,-,-,-,-,-
34,Johnny Cardoso,Real Betis Balompié,Laliga,23 years old (20-09-2001),"1,86m",USA,Midfielder (Centre),Defensive Midfield,right,22(3),1952.0,3,1,5,-,85.5,1.1,-,6.94,"Jun 30, 2030",€20.00m,0.8,0.1,-,0.1,-,0.8,0.2,0.1,0.4,1.6,0.6,1,1.4,0.9,1.8,1.1,0.6,2,1.2,3.2,1.8,1,1.3,-,2.3,0.5,-,0.6,-,-,-,-,39.4,1.2,1.1,32.5,4.6,0.3,-,0.3,-,-,-,-,-,-,-
35,Unai Núñez,Athletic Bilbao,Laliga,28 years old (30-01-1997),"1,86m",Spain,Defender (Centre),Centre-Back,right,6(2),582.0,-,-,4,-,87.4,1.6,-,6.93,"Jun 30, 2025",€3.00m,0.1,-,-,-,-,0.1,-,0.1,-,0.3,0.1,0.1,0.8,-,3.1,1.6,1.5,1.1,0.4,1.5,2.1,0.6,1.1,-,5.3,0.5,-,-,-,-,-,-,38.8,3.5,2.8,30.4,2.1,0.1,0.1,-,-,-,-,-,-,-,-
36,Eduardo Camavinga,Real Madrid,Laliga,22 years old (10-11-2002),"1,82m",France,"Defender (Left), Defensive Midfielder (C)",Central Midfield,left,11(8),1098.0,1,2,2,-,89,1.2,1,6.93,"Jun 30, 2029",€70.00m,0.4,0.1,-,-,0.1,0.4,0.1,-,0.3,1.6,0.8,0.8,0.4,0.6,2.1,1.2,0.9,2.2,0.7,2.9,0.9,1.6,1.1,0.1,1,0.4,0.2,0.8,-,-,-,-,40.1,1.5,0.8,34.2,3.6,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
37,Omar Alderete,Getafe CF,Laliga,28 years old (26-12-1996),"1,88m",Paraguay,Defender (Centre),Centre-Back,left,30,2651.0,1,-,7,-,67.8,2.9,2,6.93,"Jun 30, 2028",€8.00m,1.1,-,-,-,-,1.1,0.5,0.1,0.5,0.8,0.3,0.5,0.9,0.3,4.5,2.9,1.6,1.3,0.4,1.7,1.1,0.3,1,0.2,6.3,0.7,0.1,0.4,-,-,-,-,33.4,4.5,6.2,18.1,4.5,0.4,0.1,0.2,-,-,-,-,-,-,-
38,Sergi Cardona,Villarreal CF,Laliga,25 years old (08-07-1999),"1,86m",Spain,Defender (Left),Left-Back,both,31,2684.0,1,7,11,-,79.3,1.3,3,6.91,"Jun 30, 2027",€8.00m,0.6,-,-,-,-,0.6,0.1,0.1,0.4,0.9,0.6,0.3,0.7,0.4,2.1,1.3,0.8,2,0.9,2.9,1,0.8,1.2,0.1,2.7,0.2,0.7,1.2,-,-,-,-,32.8,1.1,2.3,25,4.5,1.4,0.1,1.3,0.2,0.2,-,-,-,-,-
39,Oihan Sancet,Athletic Bilbao,Laliga,25 years old (25-04-2000),"1,88m",Spain,"Midfielder (Centre), Forward",Attacking Midfield,right,18(7),1480.0,15,1,2,-,84.3,0.4,4,6.91,"Jun 30, 2032",€60.00m,1.8,0.6,0.1,0.4,0.1,1.8,0.6,0.2,1,1.9,1,0.9,2.1,1.6,0.9,0.4,0.5,0.5,0.3,0.8,0.2,0.8,0.5,0.1,0.2,-,-,0.4,-,-,-,-,19.9,0.8,0.4,16,2.8,0.7,-,0.7,-,-,-,-,-,-,-
40,Ronald Araujo,FC Barcelona,Laliga,26 years old (07-03-1999),"1,92m",Uruguay,"Defender (Centre, Right)",Centre-Back,right,8(1),554.0,1,1,1,-,91.1,2.8,-,6.91,"Jun 30, 2031",€50.00m,0.4,0.1,0.1,-,-,0.4,0.1,0.3,-,0.1,0.1,-,0.2,0.1,4.7,2.8,1.9,1.3,-,1.3,0.8,0.2,0.9,-,1.8,0.4,0.3,-,-,-,-,-,56,2.3,1.8,48.7,3.2,0.4,-,0.4,0.1,-,-,-,-,-,0.1
41,Andrei Ratiu,Rayo Vallecano,Laliga,26 years old (20-06-1998),"1,83m",Romania,"Defender (Right), Midfielder (Right)",Right-Back,right,30(1),2719.0,2,3,5,-,84.6,0.5,3,6.91,"Jun 30, 2028",€12.00m,0.9,0.1,-,-,0.1,0.9,0.4,-,0.5,4.1,1.9,2.2,1.8,1.5,1.4,0.5,0.9,2.1,0.8,2.9,0.8,0.5,0.7,0.2,1.8,0.1,0.4,1.1,-,-,-,-,40.5,0.9,1.6,33.4,4.6,1,0.1,0.9,0.1,-,-,-,-,-,-
42,Julián Alvarez,Atlético de Madrid,Laliga,25 years old (31-01-2000),"1,70m",Argentina,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,26(7),2187.0,15,2,4,-,78.9,0.4,4,6.91,"Jun 30, 2030",€90.00m,2,0.5,0.1,0.4,-,2,0.7,0.2,1.2,1.5,0.7,0.8,1.5,1.1,1.4,0.4,1,0.7,0.6,1.3,-,0.2,0.8,0.2,0.2,-,-,0.4,-,-,-,-,23,0.8,0.5,17.3,4.4,0.9,0.1,0.8,0.1,-,-,-,-,-,0.1
43,Dani Raba,CD Leganés,Laliga,29 years old (29-10-1995),"1,85m",Spain,"Attacking Midfielder (Centre, Right), Forward",Right Winger,left,19(5),1554.0,7,4,5,-,71.7,0.2,1,6.9,"Jun 30, 2025",€1.80m,1.3,0.3,-,0.3,-,1.3,0.7,-,0.6,3.1,1.7,1.4,2,1.4,0.7,0.2,0.5,1.4,0.8,2.3,0.6,2.1,1.5,0.4,0.5,0.1,0.1,0.9,-,-,-,-,18.4,0.7,1.4,12.5,3.8,1.5,0.4,1,0.2,-,-,-,-,-,0.1
44,Aurélien Tchouaméni,Real Madrid,Laliga,25 years old (27-01-2000),"1,88m",France,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,27(1),2365.0,-,-,4,-,92.9,2.5,-,6.9,"Jun 30, 2028",€80.00m,0.5,-,-,-,-,0.5,0.2,-,0.3,0.6,0.2,0.4,0.8,0.3,3.3,2.5,0.9,1.5,0.7,2.1,1.5,0.8,0.9,-,2.7,0.7,-,0.3,-,-,-,-,65.3,2.1,1.1,58.6,3.5,0.1,-,0.1,-,-,-,-,-,-,-
45,Antoine Griezmann,Atlético de Madrid,Laliga,34 years old (21-03-1991),"1,76m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,left,27(6),2291.0,8,6,2,-,80,0.6,2,6.9,"Jun 30, 2026",€22.00m,1.4,0.2,-,0.2,0.1,1.4,0.5,0.1,0.8,0.9,0.5,0.4,1.2,0.6,1.2,0.6,0.6,0.9,0.7,1.5,0.2,0.7,0.3,0.4,0.7,-,-,0.5,-,-,-,-,36,1.8,0.5,27,6.7,1.4,0.3,1.1,0.2,-,-,-,-,-,0.1
46,Marcos Llorente,Atlético de Madrid,Laliga,30 years old (30-01-1995),"1,84m",Spain,"Defender (Right), Midfielder (Centre, Right), Forward",Right Midfield,right,23(5),2066.0,2,4,-,1,88,0.4,2,6.89,"Jun 30, 2027",€28.00m,0.5,0.1,-,-,-,0.5,0.3,-,0.3,1,0.5,0.4,0.9,0.3,0.9,0.4,0.5,2,0.5,2.6,0.8,0.7,0.6,0.1,1.5,0.3,0.1,0.6,-,-,-,-,39,0.9,1,33.4,3.6,0.9,0.1,0.8,0.1,-,-,-,-,-,0.1
47,Dani Carvajal,Real Madrid,Laliga,33 years old (11-01-1992),"1,73m",Spain,Defender (Right),Right-Back,right,7(1),611.0,1,-,2,-,88.1,0.9,-,6.89,"Jun 30, 2026",€10.00m,0.4,0.1,0.1,-,-,0.4,-,0.4,-,0.6,0.4,0.3,1,0.8,1.5,0.9,0.6,1.5,0.4,1.9,1.3,0.8,0.4,-,1.8,0.4,0.6,0.6,-,-,-,-,50.3,1.5,0.6,42.8,5.4,0.6,-,0.6,-,-,-,-,-,-,-
48,Pablo Maffeo,RCD Mallorca,Laliga,27 years old (12-07-1997),"1,72m",Spain,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,25(1),2124.0,-,1,5,-,75.3,0.7,1,6.89,"Jun 30, 2027",€5.00m,0.3,-,-,-,-,0.3,0.1,-,0.2,2.8,1.5,1.3,1.6,1.1,1.3,0.7,0.6,2.2,0.4,2.6,0.8,1.3,0.7,-,2.8,0.4,0.6,0.8,-,-,-,-,24.4,1.4,2.3,17,3.7,1,0.5,0.6,-,-,-,-,-,-,-
