,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
140,Juan Cruz,CD Leganés,Laliga,25 years old (25-04-2000),"1,80m",Spain,"Midfielder (Left, Right)",Left Winger,left,23(8),2022.0,4,3,2,-,74.5,0.5,1,6.69,"Jun 30, 2028",€4.00m,1,0.1,-,-,0.1,1,0.5,-,0.4,2.4,1.2,1.2,1.1,0.6,1,0.5,0.6,1,0.5,1.5,0.4,0.6,0.4,0.2,0.8,0.1,0.1,0.4,-,-,-,-,16.3,0.5,0.9,11.6,3.3,0.7,0.2,0.5,0.1,0.1,-,-,-,-,-
141,Marc Roca,Real Betis Balompié,Laliga,28 years old (26-11-1996),"1,84m",Spain,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,left,11(3),910.0,2,2,4,-,87.6,0.4,1,6.68,"Jun 30, 2029",€8.00m,0.9,0.1,0.1,-,0.1,0.9,0.4,0.1,0.4,0.4,0.1,0.3,0.6,0.5,1.3,0.4,0.9,1.4,0.6,2,1,0.4,1.1,-,0.9,0.4,0.1,0.9,-,-,-,-,37.6,1.9,2,31.1,2.6,0.9,0.1,0.7,0.1,-,-,-,-,-,0.1
142,Marc Bernal,FC Barcelona,Laliga,17 years old (26-05-2007),"1,91m",Spain,Midfielder,Defensive Midfield,left,3,244.0,-,-,2,-,92.5,0.3,-,6.68,"Jun 30, 2026",€5.00m,0.7,-,-,-,-,0.7,0.7,-,-,1,0.3,0.7,0.7,0.7,2.3,0.3,2,2.7,0.3,3,0.3,1,1.3,-,1.3,0.3,-,1.3,-,-,-,-,53.3,3,0.3,46.3,3.7,0.3,-,0.3,-,-,-,-,-,-,-
143,Dani Rodríguez,RCD Mallorca,Laliga,36 years old (06-06-1988),"1,78m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,23(9),1909.0,4,7,5,-,76.4,0.8,1,6.68,"Jun 30, 2026",€900k,0.9,0.1,0.1,0.1,-,0.9,0.3,0.1,0.5,1,0.5,0.5,1.4,1.3,1.9,0.8,1.1,1.3,0.4,1.7,0.4,1.1,1.4,0.3,0.6,0.1,0.1,0.5,-,-,-,-,16.4,0.6,0.5,12,3.3,0.9,0.5,0.4,0.2,0.1,0.1,-,-,-,0.1
144,Íñigo Ruíz de Galarreta,Athletic Bilbao,Laliga,31 years old (06-08-1993),"1,75m",Spain,Defensive Midfielder (C),Central Midfield,right,14(7),1197.0,-,4,5,-,84.4,0.2,-,6.68,"Jun 30, 2025",€4.00m,0.4,-,-,-,-,0.4,0.3,-,0.1,0.9,0.3,0.6,0.8,0.7,0.7,0.2,0.4,1.6,0.5,2,0.5,0.6,1.6,-,0.4,0.1,-,0.2,-,-,-,-,31.4,1.8,1.3,24.8,3.6,1.1,-,1,0.2,0.1,-,-,-,-,-
145,Adrià Pedrosa,Sevilla FC,Laliga,26 years old (13-05-1998),"1,72m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,24(3),2034.0,1,1,6,-,77.3,0.4,1,6.67,"Jun 30, 2028",€7.00m,0.7,-,-,-,-,0.7,0.6,-,0.1,1.3,0.7,0.6,1.2,0.5,1.4,0.4,1,2,0.8,2.9,0.7,0.6,1.2,-,2.5,0.3,0.4,1.1,-,-,-,-,28.6,1,3,21,3.5,0.6,0.1,0.4,-,-,-,-,-,-,-
146,Ferran Torres,FC Barcelona,Laliga,25 years old (29-02-2000),"1,84m",Spain,"Attacking Midfielder (Left, Right), Forward",Right Winger,right,11(15),1015.0,10,3,1,1,77.3,0.2,-,6.67,"Jun 30, 2027",€28.00m,1.7,0.4,-,0.3,0.1,1.7,0.5,0.3,0.9,0.7,0.3,0.4,1,0.3,0.5,0.2,0.3,0.3,0.2,0.5,0.2,0.5,0.2,0.2,0.2,-,-,0.2,-,-,-,-,12.2,0.2,0.2,9.3,2.5,0.6,-,0.6,0.1,-,-,-,-,-,0.1
147,Dani Parejo,Villarreal CF,Laliga,36 years old (16-04-1989),"1,82m",Spain,Midfielder (Centre),Central Midfield,right,23(8),2016.0,3,2,7,-,89.2,0.7,2,6.67,"Jun 30, 2026",€2.00m,0.4,0.1,-,0.1,-,0.4,0.2,-,0.2,0.3,0.1,0.2,0.5,0.4,1,0.7,0.3,1.5,0.7,2.2,0.7,0.9,0.6,-,0.9,0.2,0.1,0.5,-,-,-,-,44.4,2.8,1.4,36.7,3.4,0.6,0.2,0.5,0.1,-,-,-,-,-,-
148,Andrii Lunin,Real Madrid,Laliga,26 years old (11-02-1999),"1,91m",Ukraine,Goalkeeper,Goalkeeper,right,5,450.0,-,1,-,-,84.3,0.4,-,6.67,"Jun 30, 2030",€20.00m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-,-,-,-,-,0.2,-,-,1.4,-,-,-,2.2,-,1,1.2,28,4.8,4.2,18.8,0.2,0.2,0.2,-,0.2,-,-,-,-,-,0.2
149,Nemanja Gudelj,Sevilla FC,Laliga,33 years old (16-11-1991),"1,87m",Serbia,"Defender (Centre), Midfielder (Centre)",Defensive Midfield,right,24(2),2161.0,-,1,5,-,88.3,1.5,1,6.67,"Jun 30, 2026",€3.50m,0.6,-,-,-,-,0.6,0.6,-,-,0.2,0.1,0.2,0.7,0.1,2.5,1.5,1,1.4,0.4,1.8,1,0.5,0.9,-,3,0.4,0.1,0.6,-,-,-,-,45,1.5,2.2,38.2,3,0.5,0.1,0.4,-,-,-,-,-,-,-
150,Unai Simón,Athletic Bilbao,Laliga,27 years old (11-06-1997),"1,90m",Spain,Goalkeeper,Goalkeeper,right,16,1440.0,-,-,-,-,65.7,0.3,-,6.67,"Jun 30, 2029",€28.00m,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,0.3,0.3,-,-,-,-,0.1,0.1,-,-,0.8,-,-,0.1,2.5,0.1,1.6,0.8,25.7,5.6,8.8,11.3,0.1,-,-,-,-,-,-,-,-,-,-
151,Julen Agirrezabala,Athletic Bilbao,Laliga,24 years old (26-12-2000),"1,87m",Spain,Goalkeeper,Goalkeeper,left,14,1208.0,-,-,1,1,64.9,0.4,-,6.67,"Jun 30, 2027",€15.00m,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.4,0.4,-,-,0.1,0.1,-,0.1,0.2,-,0.8,-,-,-,1.8,0.2,1.1,0.5,25.4,4.9,8.9,11.6,-,-,-,-,-,-,-,-,-,-,-
152,Conor Gallagher,Atlético de Madrid,Laliga,25 years old (06-02-2000),"1,82m",England,"Midfielder (Centre, Left)",Central Midfield,right,18(9),1487.0,3,2,2,-,86.6,0.3,3,6.67,"Jun 30, 2029",€40.00m,0.7,0.1,-,0.1,-,0.7,0.4,-,0.3,1.4,0.9,0.6,0.8,0.8,1,0.3,0.7,1.6,1,2.5,0.7,1.3,0.9,-,0.7,0.1,0.2,0.6,-,-,-,-,26.6,0.4,0.6,22.6,2.9,0.4,-,0.4,0.1,-,-,-,-,-,0.1
153,Óscar Mingueza,Celta de Vigo,Laliga,25 years old (13-05-1999),"1,84m",Spain,"Defender (Centre, Right), Midfielder (Left, Right)",Right-Back,right,26(3),2310.0,3,6,6,1,81.1,0.3,-,6.67,"Jun 30, 2026",€20.00m,1,0.1,-,0.1,-,1,0.6,-,0.3,1.9,1.1,0.8,1.2,0.4,0.7,0.3,0.3,1.1,1.2,2.3,0.7,0.8,0.7,0.1,1,0.1,0.2,0.8,-,-,-,-,51.8,2.9,2.9,39.1,6.9,0.9,0.2,0.7,0.2,0.1,-,-,-,-,0.1
154,Kiko Femenía,Villarreal CF,Laliga,34 years old (02-02-1991),"1,74m",Spain,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,26(1),2186.0,-,1,7,-,90.3,0.2,-,6.67,"Jun 30, 2025",€1.20m,0.1,-,-,-,-,0.1,0.1,-,-,0.9,0.3,0.6,0.8,0.4,0.6,0.2,0.4,1.8,0.9,2.7,1.5,0.5,0.7,-,2,0.4,0.3,0.4,-,-,-,-,45.5,1.6,1,39.5,3.4,0.6,0.1,0.5,-,-,-,-,-,-,-
155,Juma Bah,RC Lens,Laliga,19 years old (11-04-2006),195cm,,Defender (Centre),,,10(2),865.0,-,-,1,-,81.5,2.6,1,6.66,,,0.3,-,-,-,-,0.3,-,0.1,0.2,0.3,0.1,0.3,0.3,0.4,3.7,2.6,1.1,0.8,0.2,1,1,0.5,0.5,-,4.9,0.7,0.1,0.6,-,-,-,-,33.8,1.9,3.6,25.6,2.7,0.1,0.1,-,-,-,-,-,-,-,-
156,Pau López,Toluca,Laliga,30 years old (13-12-1994),189cm,Spain,Goalkeeper,,,0(1),45.0,-,-,-,-,72.7,1,-,6.66,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,1,22,4,6,12,-,-,-,-,-,-,-,-,-,-,-
157,Yeremy Pino,Villarreal CF,Laliga,22 years old (20-10-2002),"1,72m",Spain,"Attacking Midfielder (Left, Right)",Right Winger,right,21(9),1672.0,3,5,10,-,77.8,0.4,1,6.66,"Jun 30, 2027",€30.00m,0.8,0.1,-,0.1,-,0.8,-,0.1,0.7,1.6,0.9,0.6,1.6,0.7,0.8,0.4,0.4,1.7,0.9,2.6,0.3,0.9,1.5,0.5,0.5,0.1,-,1.1,-,-,-,-,18.5,0.4,0.3,14,3.8,1.1,0.1,1,0.2,-,-,-,-,-,0.1
158,Carles Aleñá,Deportivo Alavés,Laliga,27 years old (05-01-1998),"1,80m",Spain,"Attacking Midfielder (Centre, Left, Right)",Central Midfield,left,8(1),675.0,-,2,1,-,79.9,0.8,-,6.66,"Jun 30, 2025",€2.50m,1,-,-,-,-,1,0.6,-,0.4,2,1.1,0.9,1.4,0.7,1.3,0.8,0.6,1.7,0.8,2.4,-,1.9,0.7,-,0.1,-,-,0.7,-,-,-,-,34.2,1,0.6,26.3,6.3,1.2,0.3,0.9,0.2,-,-,-,0.1,-,0.1
159,José María Giménez,Atlético de Madrid,Laliga,30 years old (20-01-1995),"1,85m",Uruguay,"Defender (Centre, Right)",Centre-Back,right,19(7),1817.0,-,1,5,-,91.3,1.3,2,6.66,"Jun 30, 2028",€20.00m,0.2,-,-,-,-,0.2,-,-,0.2,0.1,-,0.1,0.2,0.1,2.7,1.3,1.3,0.8,0.4,1.3,1,0.5,0.5,-,4,0.6,-,0.4,-,-,-,-,46.6,3.5,1.9,39.1,2.2,0.1,-,-,-,-,-,-,-,-,-
160,Pablo Torre,FC Barcelona,Laliga,22 years old (03-04-2003),"1,73m",Spain,Attacking Midfielder (Centre),Attacking Midfield,right,4(6),309.0,3,1,-,-,85.4,0.1,-,6.66,"Jun 30, 2026",€7.50m,0.6,0.3,-,0.1,0.2,0.6,0.5,-,0.1,0.6,0.4,0.2,0.5,0.6,0.7,0.1,0.6,0.5,0.2,0.7,0.3,0.8,0.4,0.1,0.4,-,0.1,-,-,-,-,-,20.6,0.3,0.2,17.3,2.8,0.8,0.1,0.7,0.1,-,-,0.1,-,-,-
161,Robin Le Normand,Atlético de Madrid,Laliga,28 years old (11-11-1996),"1,87m",Spain,Defender (Centre),Centre-Back,right,20(3),1790.0,-,-,8,-,90.2,2,-,6.66,"Jun 30, 2029",€40.00m,0.3,-,-,-,-,0.3,-,0.1,0.2,0.2,0.1,0.1,0.5,0.3,3.5,2,1.5,1,0.3,1.3,0.3,1,1.4,0.1,4,0.3,-,0.3,-,-,-,-,46.1,1.2,2.3,40.4,2.2,0.2,-,0.1,-,-,-,-,-,-,-
162,Pape Gueye,Villarreal CF,Laliga,26 years old (24-01-1999),"1,89m",Senegal,Midfielder (Centre),Defensive Midfield,left,22(7),1919.0,2,-,3,2,81.6,1,1,6.65,"Jun 30, 2028",€10.00m,1.5,0.1,-,-,0.1,1.5,0.6,0.1,0.8,1,0.7,0.3,1.1,0.6,1.8,1,0.8,1.8,0.2,2,0.8,1.9,1,0.1,1.4,0.3,0.1,0.6,-,-,-,-,32.7,2.6,2.2,24.1,3.8,0.6,-,0.6,-,-,-,-,-,-,-
163,Martin Valjent,RCD Mallorca,Laliga,29 years old (11-12-1995),"1,87m",Slovakia,Defender (Centre),Centre-Back,right,27,2405.0,2,-,4,-,85.8,1.5,-,6.65,"Jun 30, 2029",€6.00m,0.4,0.1,-,0.1,-,0.4,-,-,0.3,0.3,0.1,0.2,0.4,-,2.8,1.5,1.3,1,0.1,1.1,0.6,0.4,0.5,-,5.9,0.7,0.3,0.4,-,-,-,-,40.6,2.6,3.1,32.2,2.6,0.1,-,0.1,-,-,-,-,-,-,-
164,Rodrigo De Paul,Atlético de Madrid,Laliga,30 years old (24-05-1994),"1,80m",Argentina,"Attacking Midfielder (Centre, Left, Right), Forward",Central Midfield,right,18(11),1735.0,3,4,6,-,84,0.1,1,6.65,"Jun 30, 2026",€25.00m,0.5,0.1,-,-,0.1,0.5,0.3,-,0.1,1,0.6,0.3,0.9,0.7,0.4,0.1,0.2,0.8,0.6,1.4,0.2,1.2,0.5,-,0.4,0.1,-,0.7,-,-,-,-,46.4,2.8,2.2,36.2,5.2,1.2,0.2,1,0.1,-,-,0.1,-,-,-
165,Jan Oblak,Atlético de Madrid,Laliga,32 years old (07-01-1993),"1,88m",Slovenia,Goalkeeper,Goalkeeper,right,32,2880.0,-,-,-,-,74.7,0.1,1,6.65,"Jun 30, 2028",€25.00m,-,-,-,-,-,-,-,-,-,0.1,-,0.1,-,-,0.1,0.1,-,-,-,-,-,0.1,-,-,0.7,-,-,-,2.4,0.1,1.5,0.8,21.3,4.1,5.3,11.8,0.1,-,-,-,-,-,-,-,-,-,-
166,Luiz Júnior,Villarreal CF,Laliga,24 years old (14-01-2001),"1,92m",Brazil,Goalkeeper,Goalkeeper,left,12(1),1097.0,-,-,2,-,67.9,0.4,1,6.65,"Jun 30, 2030",€5.00m,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.5,0.4,0.1,-,-,-,-,0.2,-,-,1.8,-,-,-,2.5,0.2,1.1,1.2,23,4.4,7.2,11.2,0.2,-,-,-,-,-,-,-,-,-,-
167,César Azpilicueta,Atlético de Madrid,Laliga,35 years old (28-08-1989),"1,78m",Spain,"Defender (Centre, Left, Right), Midfielder (Right)",Centre-Back,right,9(3),743.0,1,-,-,-,86.9,0.9,1,6.65,"Jun 30, 2025",€1.80m,0.4,0.1,-,-,0.1,0.4,0.2,-,0.3,0.2,0.1,0.1,0.5,-,1.9,0.9,1,1.9,0.5,2.4,0.3,0.4,0.6,0.2,2,0.2,0.3,0.3,-,-,-,-,42.1,1.3,2.3,35.3,3.3,0.2,0.1,0.1,-,-,-,-,-,-,-
168,Chidera Ejuke,Sevilla FC,Laliga,27 years old (02-01-1998),"1,76m",Nigeria,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,right,9(13),946.0,2,1,-,-,83.9,0.2,2,6.65,"Jun 30, 2027",€6.00m,0.9,0.1,-,0.1,-,0.9,0.4,-,0.5,3.7,1.7,2,1.5,1,0.6,0.2,0.4,0.9,0.5,1.3,0.2,0.7,0.3,0.2,0.3,-,-,0.5,-,-,-,-,18,0.9,0.3,14.3,2.6,0.8,0.1,0.7,-,-,-,-,-,-,-
169,Dinko Horkas,UD Las Palmas,Laliga,26 years old (10-03-1999),"1,89m",Croatia,Goalkeeper,Goalkeeper,right,6(2),634.0,-,-,1,-,76.1,-,-,6.65,"Jun 30, 2028",€1.20m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.9,-,-,-,2.9,0.4,1.3,1.3,36.1,7.4,8.5,20.1,0.1,-,-,-,-,-,-,-,-,-,-
170,Marko Dmitrovic,CD Leganés,Laliga,33 years old (24-01-1992),"1,89m",Serbia,Goalkeeper,Goalkeeper,left,27,2430.0,-,-,-,-,37,0.4,-,6.64,"Jun 30, 2025",€800k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-,-,-,0.1,-,0.2,-,-,1.5,-,-,-,3.1,0.2,1.7,1.2,29.7,6.2,18.7,4.8,-,-,-,-,-,-,-,-,-,-,-
171,Sergio Carreira,Celta de Vigo,Laliga,24 years old (13-10-2000),"1,70m",Spain,Midfielder (Right),Right-Back,right,16(4),1424.0,-,4,-,-,79.2,0.2,-,6.64,"Jun 30, 2025",€3.00m,0.6,-,-,-,-,0.6,0.1,-,0.5,1.4,0.8,0.6,0.8,0.7,0.8,0.2,0.7,1.4,0.5,1.8,0.8,0.3,0.8,0.1,1.4,0.1,0.4,0.8,-,-,-,-,29.3,1,1.6,22.2,4.5,0.8,0.2,0.6,0.2,0.1,-,0.1,-,-,0.1
172,Enzo Boyomo,CA Osasuna,Laliga,23 years old (07-10-2001),"1,84m",Cameroon,Defender (Centre),Centre-Back,right,28(1),2538.0,2,-,5,-,87.1,0.8,1,6.64,"May 30, 2029",€20.00m,0.3,0.1,-,-,-,0.3,-,-,0.3,0.4,0.2,0.2,0.6,0.3,2,0.8,1.2,2,0.2,2.2,1.1,0.2,1.3,-,3.6,0.7,0.2,0.4,-,-,-,-,40.5,1.8,2.4,33.5,2.8,0.1,0.1,-,-,-,-,-,-,-,-
173,Johan Mojica,RCD Mallorca,Laliga,32 years old (21-08-1992),"1,85m",Colombia,"Defender (Left), Midfielder (Left)",Left-Back,left,27(4),2459.0,1,2,5,-,77.1,0.3,1,6.64,"Jun 30, 2027",€2.20m,0.5,-,-,-,-,0.5,0.3,-,0.2,2.6,1.7,1,1.5,0.8,0.8,0.3,0.5,1.1,0.6,1.7,0.8,0.7,0.6,-,1.9,0.1,0.5,0.2,-,-,-,-,32.4,2.6,3.3,22.4,4.1,1.2,0.2,1,0.1,0.1,-,-,-,-,-
174,Viktor Tsygankov,Girona FC,Laliga,27 years old (15-11-1997),"1,78m",Ukraine,"Midfielder (Centre, Left, Right)",Right Winger,left,18(4),1499.0,2,4,1,-,83,0.3,1,6.64,"Jun 30, 2027",€22.00m,1.2,0.1,-,-,-,1.2,0.5,-,0.7,1.1,0.7,0.5,1.1,1,1,0.3,0.7,0.7,0.4,1.1,0.5,1.1,0.5,0.1,0.5,-,-,0.2,-,-,-,-,26.5,0.4,0.3,21.5,4.2,1.2,0.5,0.7,0.2,0.2,0.1,-,-,-,-
175,Christantus Uche,Getafe CF,Laliga,21 years old (19-05-2003),"1,90m",Nigeria,"Attacking Midfielder (Centre), Forward",Attacking Midfield,both,27(3),2247.0,3,5,6,2,67.8,2.8,2,6.63,"Jun 30, 2028",€8.00m,1.5,0.1,-,0.1,-,1.5,0.4,-,1.2,2.8,1.8,1,3.5,2.1,6.8,2.8,4,0.9,0.3,1.2,0.3,2.2,1.7,0.6,0.6,0.1,-,0.5,-,-,-,-,17.1,0.2,0.6,11.4,4.9,0.8,-,0.8,0.2,-,-,-,-,-,0.2
176,Joan Jordán,Deportivo Alavés,Laliga,30 years old (06-07-1994),"1,85m",Spain,Midfielder (Centre),Central Midfield,right,15(7),1348.0,4,2,3,-,82,0.7,1,6.63,"Jun 30, 2025",€2.50m,0.7,0.2,-,0.1,-,0.7,0.4,-,0.3,0.3,-,0.3,0.7,0.3,1.3,0.7,0.5,1.4,0.6,2,0.4,0.5,1.2,-,0.8,-,-,0.5,-,-,-,-,35.4,3.1,2.5,26,3.9,1.3,0.5,0.7,0.1,-,-,-,-,-,-
177,Carlos Romero,RCD Espanyol Barcelona,Laliga,23 years old (29-10-2001),"1,74m",Spain,Defender (Left),Left-Back,left,23(6),2107.0,2,1,6,-,76,0.4,1,6.63,"Jun 30, 2025",€3.00m,0.8,0.1,-,0.1,-,0.8,0.3,-,0.4,1.2,0.7,0.5,1,0.3,1.2,0.4,0.8,2,1.1,3.1,0.8,0.4,0.8,-,2.6,0.4,0.4,0.9,-,-,-,-,21.4,0.7,1.5,15.6,3.7,0.8,0.1,0.7,-,-,-,-,-,-,-
178,Umar Sadiq,Valencia CF,Laliga,28 years old (02-02-1997),"1,91m",Nigeria,Forward,Centre-Forward,right,7(5),653.0,5,-,4,-,72.2,1.8,1,6.63,"Jun 30, 2025",€5.00m,1.6,0.4,0.2,0.3,-,1.6,0.3,0.2,1.2,1.7,0.8,0.8,2.8,1.8,3.4,1.8,1.7,0.6,0.2,0.7,0.1,1,2.2,0.7,0.4,-,-,0.4,-,-,-,-,12,0.2,0.1,8.5,3.3,0.4,-,0.4,-,-,-,-,-,-,-
179,Yuri Berchiche,Athletic Bilbao,Laliga,35 years old (10-02-1990),"1,81m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,18(8),1681.0,-,2,4,-,86,0.8,-,6.63,"Jun 30, 2025",€1.50m,0.5,-,-,-,-,0.5,0.5,-,-,0.5,0.3,0.2,0.4,0.1,1.5,0.8,0.6,1.2,0.4,1.7,0.8,0.6,0.5,0.1,1.8,0.1,-,0.7,-,-,-,-,35.9,1.6,1.5,29.2,3.5,0.7,-,0.6,0.1,-,-,-,-,-,-
180,David Soria,Getafe CF,Laliga,32 years old (04-04-1993),"1,92m",Spain,Goalkeeper,Goalkeeper,right,33,2970.0,-,-,1,-,47.4,0.2,1,6.63,"Jun 30, 2026",€4.00m,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.2,0.2,-,0.1,-,0.2,-,-,-,-,1,-,-,-,2.2,0.1,1.3,0.7,25.1,8.1,13.2,3.8,-,-,-,-,-,-,-,-,-,-,-
181,Domingos Duarte,Getafe CF,Laliga,30 years old (10-03-1995),"1,92m",Portugal,Defender (Centre),Centre-Back,right,17(1),1531.0,1,-,1,1,78.1,1.3,-,6.62,"Jun 30, 2026",€800k,0.2,0.1,-,0.1,-,0.2,-,-,0.2,-,-,-,0.1,0.1,2.2,1.3,0.9,1.3,0.2,1.5,0.7,0.7,1.1,-,6.8,0.8,0.1,0.6,-,-,-,-,30.2,2.7,3.8,20.9,2.8,0.1,0.1,0.1,-,-,-,-,-,-,-
182,Sergio González,CD Leganés,Laliga,33 years old (20-04-1992),"1,89m",Spain,Defender (Centre),Centre-Back,right,31(1),2754.0,2,-,2,1,84,1.8,2,6.62,"Jun 30, 2025",€1.50m,0.4,0.1,-,-,-,0.4,-,0.1,0.3,0.1,-,0.1,0.2,0.1,3.5,1.8,1.8,1.1,0.4,1.5,1.2,0.3,0.9,0.2,5.3,0.9,0.1,0.2,-,-,-,-,44.3,3,4.3,34.2,2.7,0.2,-,0.2,-,-,-,-,-,-,-
183,Beñat Prados,Athletic Bilbao,Laliga,24 years old (08-02-2001),"1,80m",Spain,Defensive Midfielder (C),Central Midfield,right,19(8),1545.0,1,-,7,-,81.9,1.1,1,6.62,"Jun 30, 2031",€18.00m,0.6,-,-,-,-,0.6,0.3,-,0.3,0.9,0.5,0.4,0.8,0.6,1.9,1.1,0.8,1.7,1,2.7,1,0.5,1.2,-,0.7,0.1,0.2,0.7,-,-,-,-,26.3,0.5,1.2,21.1,3.6,0.4,-,0.4,-,-,-,-,-,-,-
184,Arnau Martínez,Girona FC,Laliga,22 years old (25-04-2003),"1,82m",Spain,"Defender (Right), Midfielder (Right)",Right-Back,right,25(2),2222.0,2,2,2,-,88.1,1,-,6.62,"Jun 30, 2027",€10.00m,0.7,0.1,-,0.1,-,0.7,0.2,0.1,0.4,1.2,0.6,0.6,0.8,0.4,1.7,1,0.7,1.4,1,2.4,0.9,1.3,0.6,0.1,1.9,0.2,0.4,0.3,-,-,-,-,50.8,1.3,1.6,43.4,4.5,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
185,Antonio Rüdiger,Real Madrid,Laliga,32 years old (03-03-1993),"1,90m",Germany,"Defender (Centre, Left, Right)",Centre-Back,right,26(3),2292.0,-,-,3,-,92.2,1.2,-,6.62,"Jun 30, 2026",€24.00m,0.8,-,-,-,-,0.8,0.3,0.1,0.4,0.2,0.1,0.1,0.2,0.1,2.1,1.2,0.9,0.7,0.1,0.8,0.3,0.5,0.5,0.1,3.2,0.5,0.1,0.3,-,-,-,-,63.4,3.9,2.3,54.6,2.6,0.2,0.1,0.1,-,-,-,-,-,-,-
186,Óscar De Marcos,Athletic Bilbao,Laliga,36 years old (14-04-1989),"1,82m",Spain,"Defender (Left, Right), Midfielder (Centre, Right)",Right-Back,right,15(8),1380.0,-,4,-,-,79.3,0.3,-,6.62,"Jun 30, 2025",€1.50m,0.3,-,-,-,-,0.3,0.1,-,0.1,0.7,0.6,0.1,0.4,0.3,0.8,0.3,0.5,1.2,0.7,1.9,0.6,0.2,0.6,-,1.1,-,0.2,0.6,-,-,-,-,29.7,1.8,1.9,21.7,4.3,0.8,0.2,0.6,0.2,-,-,-,-,-,0.1
187,Samuel Lino,Atlético de Madrid,Laliga,25 years old (23-12-1999),"1,77m",Brazil,"Defender (Left), Midfielder (Centre, Left, Right), Forward",Left Winger,right,18(8),1276.0,3,2,3,-,80.9,0.5,1,6.62,"Jun 30, 2027",€25.00m,1.3,0.1,-,-,-,1.3,0.3,0.1,1,1.4,0.8,0.7,1,0.6,0.9,0.5,0.4,0.9,1,2,0.3,1,0.5,0.1,0.4,0.2,-,0.6,-,-,-,-,23.8,1.3,0.7,17.9,3.9,0.6,-,0.5,0.1,-,-,-,-,-,-
188,Pathé Ciss,Rayo Vallecano,Laliga,31 years old (16-03-1994),"1,86m",Senegal,Defensive Midfielder (C),Central Midfield,right,21(8),1845.0,4,1,9,-,85.8,1.5,2,6.62,"Jun 30, 2027",€2.00m,0.7,0.1,0.1,0.1,-,0.7,0.2,0.1,0.4,0.7,0.3,0.4,0.5,0.7,2.4,1.5,0.9,1.5,0.7,2.2,1.2,0.8,1.4,-,1.8,0.2,0.1,0.7,-,-,-,-,35.2,1.7,1.4,28.5,3.6,0.6,-,0.5,-,-,-,-,-,-,-
189,Kirian Rodríguez,UD Las Palmas,Laliga,29 years old (05-03-1996),"1,78m",Spain,Midfielder (Centre),Attacking Midfield,right,21,1768.0,-,3,2,-,86.8,0.6,1,6.62,"Jun 30, 2028",€12.00m,1,-,-,-,-,1,0.6,-,0.3,0.8,0.2,0.5,1,0.7,1.4,0.6,0.8,1.6,1,2.6,0.5,0.9,0.4,-,1,0.2,-,0.9,-,-,-,-,56,2.1,1.6,46.6,5.8,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
190,Luka Sucic,Real Sociedad,Laliga,22 years old (08-09-2002),"1,85m",Croatia,Attacking Midfielder (Centre),Central Midfield,left,19(5),1579.0,1,1,3,-,84.5,1,1,6.62,"Jun 30, 2029",€18.00m,1.5,-,-,-,-,1.5,1,-,0.5,2,1.1,1,1.2,0.6,1.9,1,0.9,1,0.6,1.6,0.5,0.6,0.5,0.1,0.6,0.1,-,1,-,-,-,-,31.2,1.1,0.8,25.3,4.1,0.9,-,0.9,-,-,-,-,-,-,-
