,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
167,42.1,1.3,2.3,35.3,3.3,0.2,0.1,0.1,-,-,-,-,-,-,-
168,18,0.9,0.3,14.3,2.6,0.8,0.1,0.7,-,-,-,-,-,-,-
169,36.1,7.4,8.5,20.1,0.1,-,-,-,-,-,-,-,-,-,-
170,29.7,6.2,18.7,4.8,-,-,-,-,-,-,-,-,-,-,-
171,29.3,1,1.6,22.2,4.5,0.8,0.2,0.6,0.2,0.1,-,0.1,-,-,0.1
172,40.5,1.8,2.4,33.5,2.8,0.1,0.1,-,-,-,-,-,-,-,-
173,32.4,2.6,3.3,22.4,4.1,1.2,0.2,1,0.1,0.1,-,-,-,-,-
174,26.5,0.4,0.3,21.5,4.2,1.2,0.5,0.7,0.2,0.2,0.1,-,-,-,-
175,17.1,0.2,0.6,11.4,4.9,0.8,-,0.8,0.2,-,-,-,-,-,0.2
176,35.4,3.1,2.5,26,3.9,1.3,0.5,0.7,0.1,-,-,-,-,-,-
177,21.4,0.7,1.5,15.6,3.7,0.8,0.1,0.7,-,-,-,-,-,-,-
178,12,0.2,0.1,8.5,3.3,0.4,-,0.4,-,-,-,-,-,-,-
