,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
121,35.8,0.9,0.8,31.1,3.1,0.3,-,0.3,0.1,-,-,-,-,-,-
122,29.2,0.7,0.4,24.9,3.1,1.4,0.5,0.9,0.1,-,-,-,-,-,0.1
123,30.5,1.7,2.2,22.1,4.6,1.1,0.4,0.7,0.2,0.2,-,-,-,-,-
124,17,0.2,0.1,14.5,2.3,1,0.2,0.7,0.2,0.1,-,-,-,-,-
125,36.6,2.9,2.2,25.2,6.3,1.3,0.6,0.7,-,-,-,-,-,-,-
126,47.8,2,2.1,40.4,3.4,-,-,-,-,-,-,-,-,-,-
127,16.4,0.4,0.6,12.5,3,0.6,-,0.6,-,-,-,-,-,-,-
128,56.5,2.7,0.9,48.7,4.3,0.6,0.1,0.5,-,-,-,-,-,-,-
129,20.5,0.9,1.2,12.3,6.2,1.1,0.1,1,-,-,-,-,-,-,-
130,31.7,1.6,1.9,23.7,4.5,0.7,0.3,0.4,-,-,-,-,-,-,-
131,32.9,3.1,1.7,25.1,3,0.9,0.4,0.5,0.2,0.2,0.1,-,-,-,-
132,8.5,0.3,0.3,6.9,1.1,0.3,-,0.3,-,-,-,-,-,-,-
133,46.3,3.3,1.8,36.4,4.8,1.1,0.4,0.7,-,-,-,-,-,-,-
134,38,2.3,3.7,28.1,3.9,0.1,-,0.1,-,-,-,-,-,-,-
135,37.4,0.9,1.6,31.8,3.1,0.9,0.2,0.7,0.1,-,-,-,-,-,-
136,18.6,1.4,0.9,14.4,2,0.6,-,0.6,0.3,0.1,-,-,-,-,0.1
137,22.6,1.3,1.5,16.8,2.9,0.9,0.2,0.7,0.2,0.2,-,-,0.1,-,0.1
138,43.4,1.7,0.9,37.3,3.5,-,-,-,-,-,-,-,-,-,-
139,13,0.4,0.2,8.9,3.5,0.6,-,0.6,0.2,-,-,-,-,-,0.2
140,28.1,1,1,22.3,3.9,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
141,9.9,0.4,0.3,5,4.1,0.4,0.1,0.3,0.1,-,-,-,-,-,0.1
142,35.7,6.4,8.6,20.4,0.3,0.1,0.1,-,-,-,-,-,-,-,-
143,18.9,0.5,0.3,14.1,4,0.8,-,0.8,0.1,-,-,-,-,-,0.1
144,27.8,1.5,2.2,20.7,3.4,0.8,0.2,0.6,0.1,-,-,-,-,-,-
145,15.9,0.7,0.3,11.8,3.1,0.4,0.1,0.3,-,-,-,-,-,-,-
146,18,0.5,0.2,14.8,2.5,1,0.2,0.8,0.1,-,-,-,-,-,0.1
147,24.3,0.5,0.2,19.2,4.3,0.8,0.1,0.8,0.2,-,-,-,-,-,0.2
148,42.6,1.8,1.6,34.2,5,0.5,0.1,0.4,0.1,-,-,-,-,-,0.1
149,53.9,1.6,1.6,48.2,2.5,0.3,-,0.3,-,-,-,-,-,-,-
150,57.4,3.1,1.5,48.9,3.8,1.1,0.1,1,0.1,-,-,-,-,-,0.1
151,52.2,2.2,3.3,43.2,3.5,0.4,0.1,0.4,-,-,-,-,-,-,-
152,42.4,1.7,1.1,35.3,4.3,1.5,0.4,1.1,0.1,-,-,-,-,-,-
153,13.2,-,-,9.9,3.3,0.7,-,0.7,0.1,-,-,-,-,-,0.1
154,18.5,0.7,0.3,15.2,2.3,1,0.2,0.8,0.1,-,-,-,-,-,0.1
155,36.7,5.2,5.4,25.8,0.2,0.2,0.1,0.1,-,-,-,-,-,-,-
156,21,5,14,2,-,-,-,-,-,-,-,-,-,-,-
157,48.7,1.8,1.3,43,2.6,0.3,-,0.3,-,-,-,-,-,-,-
158,10.3,0.3,-,7.3,2.7,0.8,-,0.8,0.2,0.2,-,-,-,-,-
159,28.4,1.9,3.6,18.4,4.6,1.4,0.5,1,0.1,-,-,-,-,-,-
160,12.8,0.9,0.2,9.1,2.6,0.8,0.2,0.7,0.1,-,-,0.1,-,-,0.1
161,31.3,4.4,4.7,21.8,0.4,-,-,-,-,-,-,-,-,-,-
162,52.2,1.8,1.9,44.6,3.9,1,-,1,0.1,-,-,-,-,-,0.1
163,39.5,2.9,2.3,29.7,4.6,1.2,0.4,0.8,0.1,-,-,-,-,-,-
164,41,1.8,2.8,33.4,3,0.4,-,0.4,-,-,-,-,-,-,-
165,28.2,6.5,11.6,9.8,0.2,-,-,-,-,-,-,-,-,-,-
166,16.8,0.6,0.1,13.7,2.4,0.7,-,0.7,0.1,-,-,-,-,-,0.1
167,35,6.3,12.6,16,0.1,-,-,-,-,-,-,-,-,-,-
168,23.5,0.5,0.6,20.2,2.2,0.6,0.1,0.5,0.1,-,-,-,-,-,-
169,45.1,1.5,0.3,39.9,3.4,1,0.1,0.9,-,-,-,-,-,-,-
170,26.5,5.1,6.5,14.8,0.1,-,-,-,-,-,-,-,-,-,-
171,29.2,1.5,3.3,20.9,3.5,1.5,0.9,0.5,-,-,-,-,-,-,-
172,24.4,1.2,2.2,17.2,3.8,1.1,0.3,0.8,0.2,0.1,-,-,-,-,0.1
173,32.9,0.9,0.5,27.1,4.4,0.9,-,0.9,0.1,-,-,-,-,-,0.1
174,38.7,1.8,2.2,31.6,3.1,0.6,0.1,0.5,-,-,-,-,-,-,-
175,57.8,3.3,1.6,50.7,2.2,0.2,-,0.2,-,-,-,-,-,-,-
176,28.8,0.9,1.8,21.9,4.2,1.3,0.6,0.8,0.1,-,-,-,-,-,0.1
177,11.5,0.3,0.1,7.2,3.9,0.5,-,0.5,-,-,-,-,-,-,-
178,43.3,1.6,1.6,35.8,4.4,0.7,0.2,0.5,0.2,-,-,0.1,-,-,0.1
179,21.9,1.3,0.6,17.3,2.7,0.8,0.1,0.7,0.1,0.1,-,-,-,-,-
180,19.6,0.2,0.6,17.5,1.3,-,-,-,-,-,-,-,-,-,-
181,36,3.1,1.6,26.7,4.7,1,0.5,0.5,0.1,-,-,-,-,-,0.1
182,27.1,1.3,2.3,19.3,4.2,0.1,-,0.1,-,-,-,-,-,-,-
183,20.6,0.8,0.9,16.3,2.5,0.9,0.1,0.8,0.2,-,-,0.1,-,-,0.1
184,72.9,2.3,1.3,66.1,3.1,0.4,-,0.3,-,-,-,-,-,-,-
185,36.2,1,1.4,29.8,3.9,0.7,-,0.7,-,-,-,-,-,-,-
186,30.5,4.6,9.3,16.4,0.2,-,-,-,-,-,-,-,-,-,-
187,45.6,0.8,0.8,41.3,2.7,0.3,-,0.3,0.1,-,-,-,-,-,0.1
188,41.3,2.1,3.4,33.2,2.6,0.2,0.1,0.1,-,-,-,-,-,-,-
189,17.2,0.6,0.8,9.9,6,0.8,0.1,0.7,-,-,-,-,-,-,-
190,14.4,0.5,0.3,11.2,2.3,0.3,-,0.3,0.1,-,-,-,-,-,0.1
191,29,0.3,0.5,25.8,2.5,-,-,-,-,-,-,-,-,-,-
192,56.5,3.6,2.9,47.1,2.9,0.1,0.1,-,0.1,-,-,0.1,-,-,-
193,31.6,7,10.1,14.3,0.1,-,-,-,-,-,-,-,-,-,-
194,19.7,0.5,0.5,16.5,2.1,0.5,0.1,0.5,-,-,-,-,-,-,-
195,42.2,1,1.2,36,4,0.5,0.2,0.3,-,-,-,-,-,-,-
196,38.3,2,2.5,29.9,3.9,1.4,0.1,1.3,0.1,-,-,-,-,-,0.1
197,48.8,1.3,1.6,44,1.9,0.3,0.1,0.3,0.1,-,-,0.1,-,-,-
198,36.6,3.3,2.4,28.1,2.9,0.4,0.1,0.3,-,-,-,-,-,-,-
199,14.9,0.5,0.3,10.6,3.5,0.8,-,0.8,0.1,-,-,-,-,-,0.1
200,21.8,1.1,0.7,16.7,3.3,0.9,0.1,0.8,0.2,-,-,0.2,-,-,-
201,64.2,3.5,2.7,55.1,2.9,0.3,-,0.3,-,-,-,-,-,-,-
202,60,2,-,53,5,2,-,2,-,-,-,-,-,-,-
203,9.7,0.1,0.1,8,1.5,0.6,0.1,0.6,0.2,0.1,-,-,-,-,0.1
204,35.7,2,1,30.3,2.3,0.7,0.3,0.3,-,-,-,-,-,-,-
205,45.4,2.9,3.1,36.9,2.5,0.1,0.1,0.1,-,-,-,-,-,-,-
206,14.9,0.3,0.2,11.2,3.2,0.8,-,0.8,0.1,-,-,-,-,-,0.1
207,33.4,1.8,3.4,25.2,3,0.2,-,0.2,-,-,-,-,-,-,-
208,49.6,3.3,2.8,40.5,3,0.4,0.1,0.3,-,-,-,-,-,-,-
209,36.4,2,2.4,28.8,3.3,0.1,-,0.1,-,-,-,-,-,-,-
210,43.1,3.3,3.1,34,2.6,0.1,-,0.1,-,-,-,-,-,-,-
211,35.7,2.2,1.8,27.3,4.5,0.7,0.2,0.6,0.1,0.1,-,-,-,-,-
212,17.5,0.3,0.4,10.8,5.9,0.4,-,0.4,-,-,-,-,-,-,-
213,35.8,1,1.6,28.9,4.3,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
214,37.1,1.2,0.5,32.6,2.9,0.5,-,0.5,-,-,-,-,-,-,-
215,22.1,1,2.1,15,3.9,1.1,0.3,0.8,0.1,0.1,-,-,-,-,-
216,44,1.8,2,36.9,3.3,0.2,-,0.2,0.1,-,-,-,-,-,0.1
217,34,1.4,0.9,28.7,3,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
218,15.1,0.3,0.3,12,2.4,0.5,-,0.4,0.1,-,-,0.1,-,-,-
219,22.7,0.7,1.1,17.3,3.5,0.2,-,0.2,-,-,-,-,-,-,-
220,25.2,1.1,2,19.3,2.9,0.8,0.3,0.5,0.1,0.1,-,-,-,-,-
221,44.9,1.4,2.8,37.6,3.2,0.2,-,0.2,-,-,-,-,-,-,-
222,35.9,2.1,2.1,27.4,4.3,0.5,0.1,0.5,-,-,-,-,-,-,-
223,20.8,1.3,1.3,15.2,3.1,0.7,0.1,0.6,-,-,-,-,-,-,-
224,41.6,1.6,1,35,3.9,1,-,1,0.1,-,-,-,-,-,0.1
225,13.4,0.1,0.2,9,4.1,0.4,-,0.4,-,-,-,-,-,-,-
226,31.3,1.9,1.6,25.9,1.9,0.1,-,0.1,-,-,-,-,-,-,-
227,29.4,1.4,1.4,21.8,4.9,0.9,0.1,0.8,-,-,-,-,-,-,-
228,22.2,0.8,0.4,17.8,3.3,0.6,0.2,0.4,-,-,-,-,-,-,-
229,8,-,-,7,1,2,-,2,-,-,-,-,-,-,-
230,17.8,0.5,0.5,13.6,3.2,0.9,-,0.9,0.1,-,-,-,-,-,0.1
231,43.8,1.6,3.3,35.6,3.3,0.2,0.1,0.2,0.1,-,-,-,-,-,0.1
232,45.1,1.4,1.3,38.3,4.1,0.1,-,0.1,-,-,-,-,-,-,-
233,16.1,0.7,0.8,12.6,2.1,0.6,0.1,0.5,-,-,-,-,-,-,-
234,20.7,0.8,2.1,14.8,2.9,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
235,22.5,0.9,1.2,18,2.4,0.6,0.1,0.4,0.1,-,-,0.1,-,-,0.1
236,11.5,0.4,0.3,8.2,2.6,1.1,0.2,0.9,-,-,-,-,-,-,-
237,34.6,1.1,1.2,30.7,1.6,0.6,0.2,0.4,-,-,-,-,-,-,-
238,14.4,0.1,0.2,10.7,3.4,0.7,-,0.7,0.1,-,-,-,-,-,0.1
239,51.3,2.3,2.9,41.4,4.7,0.3,0.1,0.2,-,-,-,-,-,-,-
240,30.4,0.9,0.5,24.9,4.1,1.1,0.2,0.9,0.2,-,-,-,-,-,0.2
241,38.7,1.6,1.4,33.3,2.3,0.7,0.1,0.6,-,-,-,-,-,-,-
242,12,0.3,0.2,9.2,2.3,0.3,-,0.3,-,-,-,-,-,-,-
243,23.3,1.1,1,18.7,2.5,1,0.1,0.9,-,-,-,-,-,-,-
244,26.5,1,1.5,21.3,2.7,0.5,0.2,0.4,0.1,-,-,-,-,-,-
245,34.7,1.6,1.5,29.6,2.1,0.1,-,0.1,-,-,-,-,-,-,-
246,11.7,0.2,-,10.3,1.2,0.7,-,0.7,0.1,-,-,-,-,-,0.1
247,24,1.4,1.2,19.1,2.3,1,0.1,0.9,0.1,0.1,-,-,-,-,-
248,17.1,0.7,0.2,14.1,2,0.6,0.1,0.5,-,-,-,-,-,-,-
249,28.8,1.2,2.2,22.5,3,0.2,-,0.2,-,-,-,-,-,-,-
250,26.3,1.1,0.9,19.6,4.8,0.9,-,0.8,-,-,-,-,-,-,-
251,19.1,0.4,1,13.5,4.2,0.8,0.2,0.6,-,-,-,-,-,-,-
252,7.4,-,0.1,6,1.3,0.4,-,0.4,0.1,-,-,-,-,-,0.1
253,31.6,5.9,7.3,18.3,0.1,-,-,-,-,-,-,-,-,-,-
254,11.2,0.4,0.6,8.8,1.4,0.6,0.3,0.2,0.2,0.1,0.1,-,-,-,0.1
255,11.1,0.3,0.5,7.6,2.7,0.4,-,0.4,-,-,-,-,-,-,-
256,36.5,2,2.2,29.4,2.8,0.2,-,0.2,-,-,-,-,-,-,-
257,20.1,1.5,0.4,15.5,2.8,1,0.2,0.8,-,-,-,-,-,-,-
258,17.1,0.8,0.4,11.9,4,0.6,0.1,0.6,-,-,-,-,-,-,-
259,19.7,0.8,1.1,15,2.8,0.9,0.3,0.6,0.1,0.1,-,-,-,-,-
260,23.3,0.5,0.4,18.5,3.9,1.4,0.1,1.3,0.1,-,-,-,-,-,0.1
261,15.6,0.7,1,11.3,2.7,0.2,0.1,0.1,-,-,-,-,-,-,-
262,41.8,1.7,2.1,34,4,0.2,-,0.1,-,-,-,-,-,-,-
263,15.1,0.4,0.8,10.6,3.3,0.6,0.1,0.5,0.1,-,-,-,-,-,0.1
264,21.9,1.3,3.3,14.7,2.6,0.6,0.3,0.3,-,-,-,-,-,-,-
265,23.6,1.6,1,17.1,4,0.9,0.1,0.8,0.1,-,-,-,-,-,-
266,20.7,0.9,1.1,15.4,3.3,0.4,0.1,0.3,0.1,0.1,-,-,-,-,-
267,18.5,0.7,0.7,15.2,1.9,0.8,0.1,0.7,-,-,-,-,-,-,-
268,48.6,1.9,1,42.4,3.4,1.1,0.1,1,0.1,-,-,-,-,-,-
269,42.5,2.2,2.8,33.4,4.2,0.5,-,0.5,0.1,-,-,-,-,-,0.1
270,30,4,2,20.5,3.5,-,-,-,-,-,-,-,-,-,-
271,37.7,2.3,1.8,31.2,2.4,0.3,0.1,0.2,-,-,-,-,-,-,-
272,23.5,0.7,0.6,19.1,3.2,1.1,0.3,0.8,-,-,-,-,-,-,-
273,18.9,0.5,0.1,16.4,1.9,0.9,-,0.9,-,-,-,-,-,-,-
274,31.9,3.6,9.4,18.5,0.4,-,-,-,-,-,-,-,-,-,-
275,27.9,1.1,1.6,22.1,3.1,0.6,0.1,0.5,-,-,-,-,-,-,-
276,17.7,0.2,0.3,11.8,5.4,0.9,-,0.9,-,-,-,-,-,-,-
277,13.7,0.6,0.3,10.8,2,0.9,-,0.9,-,-,-,-,-,-,-
278,30.1,0.6,1.1,25.7,2.6,0.4,-,0.4,-,-,-,-,-,-,-
279,19.7,0.4,0.9,16.6,1.8,0.2,-,0.2,0.1,-,-,-,-,-,0.1
280,26.6,0.8,0.7,21.3,3.8,0.9,0.2,0.7,-,-,-,-,-,-,-
281,11.6,0.4,0.1,8.8,2.3,0.2,-,0.2,-,-,-,-,-,-,-
282,36.2,1.9,2.3,27.5,4.5,0.2,-,0.1,-,-,-,-,-,-,-
283,24.3,-,0.8,21.5,2,0.5,-,0.5,0.3,-,-,-,-,-,0.3
284,21,0.7,1,15.8,3.5,0.6,0.1,0.5,-,-,-,-,-,-,-
285,29.7,5.2,8,16.3,0.2,0.2,0.2,-,-,-,-,-,-,-,-
286,37.8,1.7,1,32.2,2.9,0.4,-,0.3,-,-,-,-,-,-,-
287,27.3,0.8,1,21.3,4.1,0.9,0.3,0.6,0.2,0.1,0.1,-,-,-,0.1
288,14.2,0.7,0.8,9.3,3.5,1.1,0.5,0.5,-,-,-,-,-,-,-
289,29.4,2.6,2.1,20.4,4.3,0.7,0.2,0.5,-,-,-,-,-,-,-
