,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
62,2,0.7,2.6,0.8,1.2,2,0.3,1.6,0.2,-,1.1,-,-,-,-
63,2.5,0.8,3.3,0.7,1.1,0.8,0.1,1.8,0.2,0.3,1.1,-,-,-,-
64,1.4,0.2,1.5,0.7,0.1,0.5,-,5.1,0.7,-,0.5,-,-,-,-
65,2.1,1.3,3.4,0.7,0.8,0.3,-,1.9,0.7,0.9,0.6,-,-,-,-
66,1.1,0.8,1.8,0.3,0.6,0.5,0.4,1.5,0.3,0.1,0.8,-,-,-,-
67,1.9,1.3,3.1,1,1.1,1.5,-,1.7,0.4,0.1,1.1,-,-,-,-
68,1.7,0.9,2.6,1.6,1.3,0.8,0.1,4.8,0.8,-,0.8,-,-,-,-
69,-,-,-,-,0.5,-,-,1.5,-,-,-,1.5,-,1,0.5
70,1.7,0.3,2,1.3,0.7,1.3,-,4,0.3,-,0.3,-,-,-,-
71,2.1,0.5,2.6,0.9,0.4,0.3,0.1,6.2,0.9,-,0.4,-,-,-,-
72,1.4,1.1,2.5,0.4,1.2,1.4,0.2,0.3,0.1,-,0.8,-,-,-,-
73,0.8,0.3,1.1,-,1.5,1.6,0.2,1,0.3,-,0.4,-,-,-,-
74,2.6,0.9,3.5,1.4,0.9,1.3,-,2,0.6,-,1,-,-,-,-
75,0.9,0.1,1,0.6,0.7,0.7,-,3.2,1,0.1,0.5,-,-,-,-
76,1.3,0.9,2.2,0.4,0.7,1.2,0.2,0.2,0.1,0.1,1.4,-,-,-,-
77,1.1,0.6,1.7,0.2,1.5,1.4,0.1,0.5,0.2,0.1,0.5,-,-,-,-
78,2,0.3,2.3,0.9,1.2,0.9,0.1,2.1,0.5,0.5,0.7,-,-,-,-
79,2.3,0.9,3.2,1.4,1.5,1.3,-,1,0.3,-,1.1,-,-,-,-
80,2.4,0.9,3.3,1.3,0.3,1.5,0.1,1.8,0.3,0.1,0.6,-,-,-,-
81,1.3,0.5,1.9,0.1,0.8,0.9,0.3,0.3,0.1,0.1,0.7,-,-,-,-
82,2.3,0.8,3.1,0.8,1.2,0.7,-,3.1,0.2,0.5,1,-,-,-,-
83,2.2,0.5,2.7,1.7,0.6,1.1,-,5.7,0.4,0.1,0.9,-,-,-,-
84,-,-,-,-,0.1,0.1,-,1.5,-,-,-,4.1,0.5,2.4,1.3
85,1.3,0.4,1.7,0.4,0.7,0.9,-,3.9,0.6,0.3,0.5,-,-,-,-
86,1.7,0.7,2.3,0.2,0.9,1,0.2,0.4,0.1,0.1,0.5,-,-,-,-
87,1.8,0.2,2,0.6,0.5,0.9,-,3.4,0.4,-,0.3,-,-,-,-
88,1,0.7,1.7,0.3,0.7,1.2,0.1,0.3,0.1,0.2,1,-,-,-,-
89,2,0.8,2.8,1.6,0.4,1.1,-,2.7,0.4,0.2,0.7,-,-,-,-
