,TotGs,,SYBGs,PAGs,OOBGs
0,-,-,-,-
1,-,-,-,-
2,-,-,-,-
3,-,-,-,-
4,-,-,-,-
5,-,-,-,-
6,0.5,0.1,0.4,-
7,0.4,0.1,0.3,-
8,0.5,0.1,0.3,0.1
9,-,-,-,-
10,0.2,-,0.1,0.1
11,0.8,0.1,0.6,-
12,0.4,0.1,0.3,-
13,0.2,-,0.1,0.1
14,0.4,0.1,0.3,-
15,0.3,-,0.2,0.1
16,-,-,-,-
17,0.6,0.2,0.3,-
18,0.4,0.1,0.3,-
19,0.3,-,0.2,-
20,0.3,0.1,0.2,0.1
21,-,-,-,-
22,0.2,-,0.2,-
23,-,-,-,-
24,0.3,0.1,0.2,0.1
25,-,-,-,-
26,0.3,0.1,0.3,-
27,0.5,0.1,0.5,-
28,-,-,-,-
29,0.5,0.1,0.4,-
30,0.1,-,-,0.1
31,0.3,0.1,0.2,-
32,-,-,-,-
33,-,-,-,-
34,0.1,-,-,0.1
35,0.2,-,0.2,-
36,0.2,-,0.2,-
37,-,-,-,-
38,0.1,-,0.1,0.1
39,-,-,-,-
40,-,-,-,-
41,0.1,-,0.1,-
42,0.1,-,0.1,-
43,0.2,-,-,0.1
44,-,-,-,-
45,0.3,-,0.2,-
46,0.2,0.1,0.1,-
47,-,-,-,-
48,0.1,-,0.1,-
49,0.2,0.1,0.1,-
50,-,-,-,-
51,0.1,-,0.1,-
52,0.1,-,-,-
53,-,-,-,-
54,-,-,-,-
55,0.1,0.1,-,-
56,0.2,0.1,0.1,-
57,-,-,-,-
58,-,-,-,-
59,-,-,-,-
60,-,-,-,-
61,-,-,-,-
62,-,-,-,-
63,0.1,-,0.1,-
64,-,-,-,-
65,0.5,-,0.5,-
66,-,-,-,-
67,-,-,-,-
68,0.2,0.1,0.1,-
69,-,-,-,-
70,-,-,-,-
71,-,-,-,-
72,-,-,-,-
73,0.1,-,0.1,-
74,0.3,0.1,0.2,-
75,0.1,-,0.1,-
76,0.1,0.1,-,-
77,0.4,0.1,0.3,-
78,-,-,-,-
79,0.1,0.1,-,-
80,0.4,-,0.4,-
81,-,-,-,-
82,-,-,-,-
83,0.1,-,0.1,-
84,-,-,-,-
85,0.1,-,0.1,-
86,-,-,-,-
87,-,-,-,-
88,-,-,-,-
89,0.1,-,0.1,-
90,-,-,-,-
91,0.1,-,0.1,-
92,0.1,-,-,-
93,-,-,-,-
94,-,-,-,-
95,-,-,-,-
96,-,-,-,-
97,0.3,-,0.2,0.1
98,-,-,-,-
99,-,-,-,-
100,0.1,-,0.1,-
101,0.1,-,-,-
102,-,-,-,-
103,-,-,-,-
104,0.1,-,0.1,-
105,-,-,-,-
106,-,-,-,-
107,-,-,-,-
108,0.1,-,-,0.1
109,-,-,-,-
110,-,-,-,-
111,-,-,-,-
112,-,-,-,-
113,-,-,-,-
