,TotClr
0,-
1,-
2,1
3,2.3
4,0.8
5,3.3
6,0.5
7,1.5
8,0.2
9,4
10,0.4
11,0.5
12,1
13,0.8
14,0.5
15,0.2
16,8.3
17,0.8
18,0.8
19,0.5
20,0.4
21,5.2
22,0.1
23,3.8
24,0.7
25,3.3
26,0.4
27,0.9
28,1.4
29,0.4
30,3.9
31,0.3
32,3
33,1.3
34,0.5
35,1.1
36,2.8
37,4.6
38,1.6
39,3.3
40,2
41,0.9
42,0.8
43,0.7
44,-
45,0.1
46,0.2
47,7
48,0.5
49,0.9
50,8.4
51,1.9
52,2
53,1.6
54,0.8
55,3.2
56,0.7
57,1.4
58,3.5
59,3
60,5.7
61,1.4
62,0.9
63,0.7
64,1.8
65,0.2
66,1.3
67,4.8
68,0.3
69,0.6
70,1.1
71,1
72,0.5
73,1.4
74,0.1
75,1.2
76,1.7
77,0.4
78,4.9
79,0.5
80,0.5
81,1.1
82,0.4
83,1.5
84,1.1
85,2.3
86,1.8
87,0.7
88,5.2
89,1
90,-
91,4.2
92,1.1
93,3.6
94,1.3
95,1.1
96,1.9
97,0.7
98,1.9
99,3.1
100,1.4
101,2.9
102,2.6
103,5.1
104,1.4
105,4.2
106,4.1
107,1.8
108,0.7
109,3.3
110,4.4
111,2.3
112,0.6
113,4.8
114,0.3
115,2.5
116,3.9
117,5.5
118,3.6
119,5
120,4.5
121,1.5
122,0.8
123,2.3
124,0.1
125,0.7
126,4.8
127,0.4
128,1.8
129,0.3
130,3.2
131,0.8
132,0.1
133,1.1
134,3.8
135,1.3
136,1.5
137,1.1
138,2.6
139,0.3
140,1.7
141,0.7
142,1
143,0.3
144,2
145,0.3
146,0.1
147,0.4
148,1.1
149,3.6
150,1.2
151,2.5
152,0.9
153,0.4
154,0.4
155,0.7
156,2
157,2.2
158,0.2
159,3.4
160,0.6
161,0.8
162,1.5
163,1.1
164,3.6
165,1.3
166,0.4
167,1.3
168,0.7
169,0.6
170,0.9
171,2.7
172,2.7
173,1.1
174,1.4
175,3.5
176,2
177,0.8
178,0.6
179,0.3
180,2.1
181,0.8
182,3.8
183,0.9
184,2.3
185,2.8
186,1
187,2.4
188,4.8
189,1.2
190,0.3
191,2.3
192,2.6
193,0.8
194,0.3
195,0.3
196,2
197,2.7
198,3.6
199,0.5
200,0.4
201,2.8
202,-
203,0.1
204,0.2
205,4.5
206,0.4
207,4.1
208,3.3
209,2.6
210,5.8
211,1.6
212,0.8
213,2.2
214,0.6
215,2.6
216,3.8
217,0.7
218,0.4
219,1.4
220,1.4
221,4.4
222,1.9
223,0.9
224,0.9
225,0.8
226,3.1
227,1.7
228,1
229,-
230,0.4
231,4.3
232,2
233,0.4
234,2.4
235,0.8
236,0.4
237,0.8
238,0.2
239,3.9
240,0.2
241,1.4
242,0.8
243,1
244,1.1
245,4.8
246,0.1
247,0.6
