,YelC,RedC
424,-,-
425,-,-
426,0.1,-
427,0.2,-
428,0.1,-
429,-,-
430,-,-
431,0.3,-
432,0.2,-
433,0.3,-
434,0.3,-
435,-,-
436,0.5,-
437,0.3,-
438,-,-
439,0.2,0.2
440,-,-
441,0.1,-
442,-,-
443,-,-
444,0.3,-
445,-,-
446,0.3,-
447,0.2,-
448,0.1,-
449,-,-
450,-,-
451,0.1,-
452,0.1,-
453,-,-
454,0.1,0.1
455,-,-
456,-,-
457,0.2,-
458,0.1,-
459,-,-
460,0.5,-
461,0.2,-
462,0.1,-
463,0.1,-
464,0.2,-
465,-,-
466,0.2,-
467,0.1,-
468,0.1,-
469,0.1,-
470,0.3,-
471,-,-
472,0.2,-
473,0.1,0.1
474,-,-
475,-,-
476,-,-
477,-,0.1
478,0.1,-
479,-,-
480,-,-
481,-,-
482,0.1,-
483,0.3,-
484,-,-
485,0.2,-
486,-,-
487,-,0.2
488,-,-
489,0.1,-
490,0.1,-
491,0.1,-
492,0.2,-
493,-,-
494,0.3,-
495,0.1,-
496,0.1,-
497,-,-
498,0.2,-
499,-,-
500,-,-
501,-,-
502,-,-
503,0.3,-
504,-,-
505,0.1,-
506,0.2,-
507,0.1,-
508,0.1,-
509,-,-
510,-,-
511,0.2,-
512,0.1,-
513,-,-
514,-,-
515,0.1,-
516,0.1,-
517,-,-
518,-,-
519,-,-
520,-,-
521,0.2,-
522,-,-
523,0.1,-
524,-,-
525,0.1,-
526,0.1,-
527,-,-
528,-,-
529,-,-
530,0.2,-
531,0.1,-
532,0.3,-
533,0.2,-
534,0.1,-
535,-,-
536,-,-
537,0.2,-
538,-,-
539,-,-
540,0.1,-
541,-,-
542,-,-
543,0.1,-
544,0.1,-
545,0.2,-
546,-,-
547,-,-
548,0.1,-
549,-,-
550,-,-
551,-,-
552,-,-
553,-,-
554,0.1,-
555,-,-
556,-,-
557,0.1,-
558,-,-
559,-,-
560,0.1,-
561,-,-
562,-,-
563,-,-
564,0.3,-
565,-,-
566,-,-
567,0.2,-
568,-,-
569,0.3,-
570,-,-
571,-,-
572,-,-
573,-,-
574,-,-
575,-,-
576,-,-
577,-,-
578,-,-
579,-,-
580,0.4,-
581,-,-
582,-,-
583,-,-
584,-,-
585,0.1,0.1
586,-,-
587,0.1,0.1
588,0.3,-
589,-,-
590,-,-
591,0.2,-
592,-,0.3
593,-,-
594,0.1,-
595,-,-
596,-,-
597,-,-
598,-,-
599,-,-
600,1,-
601,-,-
602,-,-
603,-,-
604,-,-
605,-,-
606,-,-
607,-,-
608,-,-
609,-,0.1
610,-,-
611,-,-
612,-,-
613,-,-
614,-,1
615,-,-
616,-,-
617,-,-
618,-,-
619,-,-
620,-,-
621,-,-
622,-,-
623,0.1,0.1
624,-,1
