,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
309,Keinan Davis,7(12),814,2,1,2,-,1.1,76.9,1.5,1,6.47
310,Liberato Cacace,20(9),1914,2,3,5,-,0.8,75.2,1.2,-,6.47
311,Davide Calabria,4(3),317,-,-,-,-,0.3,91.7,0.3,-,6.47
312,Michael Folorunsho,6(7),620,-,-,4,-,0.5,75.8,1.3,1,6.47
313,Davide Frattesi,8(19),1124,5,1,1,-,1,84.6,0.4,1,6.47
314,Lukasz Skorupski,24,2095,-,-,1,-,-,75.4,0.1,-,6.47
315,Gvidas Gineitis,12(14),1185,3,1,5,-,0.9,80.8,0.3,-,6.46
316,Devis Vásquez,28,2520,-,-,2,-,-,55.8,0.3,2,6.46
317,Gaetano Oristanio,27(6),2187,2,3,3,-,1.2,78,0.5,1,6.46
318,Alberto Grassi,24(1),1964,1,-,8,1,0.4,76.6,1,-,6.46
319,Leandro Chichizola,1,90,-,-,-,-,-,70.5,1,-,6.46
320,Matías Vecino,6(10),708,1,2,5,-,0.8,81.5,1.4,-,6.46
321,Billy Gilmour,11(11),902,-,1,-,-,0.3,88.7,0.4,-,6.45
322,Vítinha,13(8),1095,-,2,1,-,1.3,64.1,1.2,-,6.45
323,Kacper Urbanski,1(6),244,1,-,2,-,0.6,87.3,0.4,1,6.45
324,Luca Marianucci,9(6),840,-,-,-,1,0.3,79,1.7,-,6.45
325,Abdou Harroui,5(5),463,1,2,1,-,1.5,82,0.8,-,6.45
326,Lorenzo Colombo,25(9),2132,5,2,3,-,1.6,68.2,1.6,-,6.45
327,Dany Mota,23(6),1986,5,2,3,-,1.4,76.1,1.9,1,6.45
328,Emmanuel Gyasi,33,2881,2,1,5,-,0.6,75.5,1.2,-,6.45
329,Gabriele Zappa,31(2),2733,2,-,4,-,0.3,78.8,0.6,-,6.44
330,Daniel Mosquera,12(19),1258,5,1,3,-,1.7,69.7,2.3,1,6.44
331,Simon Sohm,32(1),2681,4,-,7,-,0.9,86,0.9,2,6.44
332,Semuel Pizzignacco,4(1),383,-,-,-,-,-,73.6,0.4,-,6.44
333,Federico Ravaglia,10(1),965,-,-,-,-,-,76,0.6,-,6.44
334,Jacopo Fazzini,12(4),1039,2,-,2,1,1,79.7,0.7,1,6.44
335,João Félix,5(6),506,-,-,1,-,1.7,81.2,0.4,-,6.44
336,Rafael Tolói,2(8),418,-,-,1,-,0.3,89.3,0.9,1,6.44
337,Riccardo Sottil,8(10),829,1,1,1,-,1.2,81,0.2,-,6.43
338,Nicolò Casale,7(6),719,-,-,1,-,0.2,87.4,2.2,-,6.43
339,Matteo Pessina,10(1),857,-,-,2,-,0.3,87.8,0.9,-,6.43
340,Cristiano Biraghi,5(3),431,1,-,1,-,0.6,91,0.4,-,6.43
341,Alessandro Vogliacco,10,775,-,-,2,-,0.1,92,1.9,-,6.43
342,Marin Sverko,11(4),1042,1,-,3,-,0.2,86.2,1.2,-,6.42
343,Ivan Provedel,29,2610,-,-,-,-,-,75.5,0.3,-,6.42
344,Eldor Shomurodov,7(16),789,4,3,1,-,1.1,77.8,1,-,6.42
345,Kristjan Asllani,7(12),714,-,2,4,-,0.6,92.6,0.2,1,6.42
346,Sergi Roberto,8(5),697,-,1,4,-,0.5,90.9,0.5,-,6.42
