,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
540,Simone Verdi,0(9),108,-,-,1,-,0.2,59.1,-,-,6.14
541,Kevin Zeroli,3(3),315,-,-,-,-,0.8,75,0.7,-,6.14
542,Mirko Maric,4(3),319,-,-,-,-,0.9,79.8,1.4,-,6.14
543,Yann Karamoh,10(19),1042,-,1,2,-,0.9,72.7,0.2,-,6.14
544,Alessandro Gabrielloni,0(14),129,1,1,1,-,0.4,57.4,0.2,-,6.13
545,Bjarki Bjarkason,1(8),159,-,-,2,-,-,89.5,-,-,6.13
546,Alexis Sánchez,5(5),358,-,-,-,-,0.5,83.5,0.1,-,6.13
547,Mathias Løvik,0(5),81,-,-,-,-,0.2,81,0.4,-,6.13
548,Loum Tchaouna,6(18),651,1,-,2,1,1,76.3,0.2,-,6.13
549,Christian Gytkjær,5(21),587,2,-,-,-,0.5,56.6,0.8,-,6.12
550,Gaetano Castrovilli,1(8),140,-,-,-,-,0.2,84.4,-,-,6.12
551,Alberto Manzoni,0(1),5,-,-,-,-,1,91.7,1,-,6.12
552,Omari Forson,0(7),107,-,-,-,-,0.4,88.1,-,-,6.12
553,Faride Alidou,0(3),68,-,-,-,-,0.3,88.2,0.3,-,6.11
554,Roberto Gagliardini,0(8),174,-,-,1,-,-,87,0.6,-,6.11
555,Giovanni Simeone,1(26),365,1,1,1,-,0.5,72.3,0.3,-,6.11
556,Wylan Cyprien,0(2),26,-,-,-,-,0.5,70,-,-,6.11
557,Emmanuel Ekong,0(15),173,-,-,1,-,0.3,67.4,0.1,-,6.10
558,Domen Crnigoj,1(7),131,-,-,-,-,0.1,54.3,0.3,-,6.10
559,Simone Pafundi,0(8),94,-,-,-,-,0.3,86.8,-,-,6.10
560,Dailon Livramento,8(18),888,1,1,2,1,0.5,59.3,1.1,-,6.10
561,Mirko Maric,1(7),101,-,-,-,-,0.1,63.2,0.8,-,6.10
562,Tomás Palacios,0(2),10,-,-,-,-,-,100,-,-,6.10
563,Yordan Osorio,2(1),172,-,-,-,-,0.3,88,0.7,-,6.09
564,Ben Kone,0(4),48,-,-,1,-,0.3,95.8,-,-,6.09
565,Sergiu Perciun,0(1),14,-,-,-,-,-,75,-,-,6.09
566,Ismael Konaté,0(9),61,-,-,-,-,0.2,47.8,0.3,-,6.09
567,Nicola Sansone,1(5),63,-,-,1,-,0.5,88.9,-,-,6.09
568,Adrian Benedyczak,2(6),194,-,-,-,-,0.4,66.7,1.1,-,6.08
569,Richie Sagrado,3,143,-,-,1,-,0.3,81.5,0.7,-,6.08
570,Lorenzo Venturino,0(4),88,-,-,-,-,0.5,55.6,0.3,-,6.08
571,Oliver Provstgaard,0(1),22,-,-,-,-,-,91.7,-,-,6.08
572,Viktor Kovalenko,0(6),72,-,-,-,-,0.5,72.2,0.5,-,6.08
573,Silvere Ganvoula,4(3),326,-,-,-,-,0.6,61.7,2.3,-,6.08
574,Ali Jasim,0(2),9,-,-,-,-,-,87.5,0.5,-,6.07
575,Alessandro Marcandalli,1(1),47,-,-,-,-,-,60,1,-,6.07
576,Samuel Dahl,0(2),41,-,-,-,-,-,88.5,-,-,6.07
577,Alessandro Bianco,0(1),17,-,-,-,-,-,81.8,-,-,6.06
578,Szymon Zurkowski,0(5),102,-,-,-,-,0.4,81.8,-,-,6.05
579,Francesco Caputo,0(1),5,-,-,-,-,-,100,-,-,6.05
580,Marco Sala,3(5),259,-,-,3,-,-,77.8,0.1,-,6.05
581,Ben Godfrey,0(1),22,-,-,-,-,-,77.8,-,-,6.04
582,Filip Marchwinski,0(1),14,-,-,-,-,-,80,-,-,6.04
583,Oliver Abildgaard,0(1),7,-,-,-,-,-,100,-,-,6.04
584,Samuele Vignato,3(13),443,-,-,-,-,0.2,80.6,0.3,-,6.03
585,Daniel Fila,5(3),408,1,-,1,1,0.8,80,0.4,-,6.03
586,Nicholas Pierini,0(2),82,-,-,-,-,0.5,82.4,0.5,-,6.03
587,Ali Dembélé,1(10),132,1,-,1,1,0.1,78.8,0.2,-,6.02
588,Mario Balotelli,0(6),57,-,-,2,-,0.3,36.4,0.3,-,6.02
589,David Ankeye,0(4),43,-,-,-,-,-,85.7,-,-,6.02
590,Emil Audero,8,720,-,-,-,-,-,80.3,0.3,-,6.02
591,Mattia Valoti,0(5),36,-,-,1,-,-,63.2,-,-,6.02
592,Davide Bartesaghi,0(3),58,-,-,-,1,0.3,85,0.3,-,6.02
593,Michael Folorunsho,0(6),31,-,-,-,-,0.2,71.4,0.3,-,6.02
594,Andrea Petagna,2(8),291,-,-,1,-,0.4,65.1,0.7,-,6.01
595,Junior Ajayi,0(2),11,-,-,-,-,-,100,-,-,6.01
596,Aaron Ciammaglichella,0(1),1,-,-,-,-,-,-,-,-,6.00
597,Alessio Zerbin,0(2),2,-,-,-,-,-,-,-,-,6.00
598,Kingstone Mutandwa,0(5),89,-,-,-,-,0.8,73.9,0.4,-,6.00
599,Lorenzo Tosto,0(1),1,-,-,-,-,-,100,-,-,6.00
600,Nikita Contini,1,1,-,-,1,-,-,-,-,-,6.00
601,Nunzio Lella,0(1),5,-,-,-,-,-,100,-,-,6.00
602,Tammy Abraham,0(1),1,-,-,-,-,-,33.3,1,-,6.00
603,Yllan Okou,0(1),1,-,-,-,-,-,-,-,-,5.99
604,Antonio Raimondo,0(9),86,-,-,-,-,0.1,66.7,0.1,-,5.98
605,Bob Omoregbe,0(1),2,-,-,-,-,-,100,-,-,5.98
606,Petar Stojanovic,0(1),2,-,-,-,-,-,33.3,-,-,5.98
607,Stefan Lekovic,3(3),319,-,-,-,-,0.3,86.1,0.8,-,5.98
608,Walid Cheddira,0(1),11,-,-,-,-,-,66.7,-,-,5.97
609,Mario Hermoso,2(6),246,-,-,-,1,0.1,90.7,0.4,-,5.95
610,Diego Pugno,0(1),6,-,-,-,-,-,100,-,-,5.95
611,Damián Pizarro,0(2),14,-,-,-,-,-,66.7,-,-,5.94
612,Saad El Haddad,0(3),27,-,-,-,-,-,76.9,-,-,5.93
613,Federico Accornero,0(1),4,-,-,-,-,-,80,-,-,5.92
614,Sebastian Otoa,1,21,-,-,-,1,-,87.5,-,-,5.92
615,Maat Caprini,0(2),7,-,-,-,-,-,83.3,-,-,5.89
616,Arijon Ibrahimovic,0(1),7,-,-,-,-,2,75,-,-,5.89
617,Alberto Cerri,0(5),82,-,-,-,-,0.8,65.2,0.8,-,5.89
618,Saba Sazonov,0(1),2,-,-,-,-,-,-,-,-,5.88
619,Thomas Campaniello,0(2),22,-,-,-,-,0.5,69.2,0.5,-,5.87
620,Rares Burnete,0(3),23,-,-,-,-,0.3,55.6,-,-,5.86
621,Valentin Gendrey,2,180,-,-,-,-,1,84.2,0.5,-,5.86
622,Jacopo Seghetti,1,90,-,-,-,-,-,56.3,-,-,5.82
623,Matthias Braunöder,3(5),266,-,-,1,1,0.3,87.7,0.1,-,5.78
624,Dele Alli,0(1),9,-,-,-,1,-,100,-,-,4.96
