,TotPs,AccLB,InAccLB,AccSP,InAccSP
155,36.7,5.2,5.4,25.8,0.2
156,21,5,14,2,-
157,48.7,1.8,1.3,43,2.6
158,10.3,0.3,-,7.3,2.7
159,28.4,1.9,3.6,18.4,4.6
160,12.8,0.9,0.2,9.1,2.6
161,31.3,4.4,4.7,21.8,0.4
162,52.2,1.8,1.9,44.6,3.9
163,39.5,2.9,2.3,29.7,4.6
164,41,1.8,2.8,33.4,3
165,28.2,6.5,11.6,9.8,0.2
166,16.8,0.6,0.1,13.7,2.4
167,35,6.3,12.6,16,0.1
168,23.5,0.5,0.6,20.2,2.2
169,45.1,1.5,0.3,39.9,3.4
170,26.5,5.1,6.5,14.8,0.1
171,29.2,1.5,3.3,20.9,3.5
172,24.4,1.2,2.2,17.2,3.8
173,32.9,0.9,0.5,27.1,4.4
174,38.7,1.8,2.2,31.6,3.1
175,57.8,3.3,1.6,50.7,2.2
176,28.8,0.9,1.8,21.9,4.2
177,11.5,0.3,0.1,7.2,3.9
178,43.3,1.6,1.6,35.8,4.4
179,21.9,1.3,0.6,17.3,2.7
180,19.6,0.2,0.6,17.5,1.3
181,36,3.1,1.6,26.7,4.7
182,27.1,1.3,2.3,19.3,4.2
183,20.6,0.8,0.9,16.3,2.5
184,72.9,2.3,1.3,66.1,3.1
185,36.2,1,1.4,29.8,3.9
186,30.5,4.6,9.3,16.4,0.2
187,45.6,0.8,0.8,41.3,2.7
188,41.3,2.1,3.4,33.2,2.6
189,17.2,0.6,0.8,9.9,6
190,14.4,0.5,0.3,11.2,2.3
191,29,0.3,0.5,25.8,2.5
192,56.5,3.6,2.9,47.1,2.9
193,31.6,7,10.1,14.3,0.1
194,19.7,0.5,0.5,16.5,2.1
195,42.2,1,1.2,36,4
196,38.3,2,2.5,29.9,3.9
197,48.8,1.3,1.6,44,1.9
198,36.6,3.3,2.4,28.1,2.9
199,14.9,0.5,0.3,10.6,3.5
200,21.8,1.1,0.7,16.7,3.3
201,64.2,3.5,2.7,55.1,2.9
202,60,2,-,53,5
203,9.7,0.1,0.1,8,1.5
204,35.7,2,1,30.3,2.3
205,45.4,2.9,3.1,36.9,2.5
206,14.9,0.3,0.2,11.2,3.2
207,33.4,1.8,3.4,25.2,3
208,49.6,3.3,2.8,40.5,3
209,36.4,2,2.4,28.8,3.3
210,43.1,3.3,3.1,34,2.6
211,35.7,2.2,1.8,27.3,4.5
212,17.5,0.3,0.4,10.8,5.9
213,35.8,1,1.6,28.9,4.3
214,37.1,1.2,0.5,32.6,2.9
215,22.1,1,2.1,15,3.9
216,44,1.8,2,36.9,3.3
217,34,1.4,0.9,28.7,3
218,15.1,0.3,0.3,12,2.4
219,22.7,0.7,1.1,17.3,3.5
220,25.2,1.1,2,19.3,2.9
221,44.9,1.4,2.8,37.6,3.2
222,35.9,2.1,2.1,27.4,4.3
223,20.8,1.3,1.3,15.2,3.1
224,41.6,1.6,1,35,3.9
225,13.4,0.1,0.2,9,4.1
226,31.3,1.9,1.6,25.9,1.9
227,29.4,1.4,1.4,21.8,4.9
228,22.2,0.8,0.4,17.8,3.3
229,8,-,-,7,1
230,17.8,0.5,0.5,13.6,3.2
231,43.8,1.6,3.3,35.6,3.3
232,45.1,1.4,1.3,38.3,4.1
233,16.1,0.7,0.8,12.6,2.1
234,20.7,0.8,2.1,14.8,2.9
235,22.5,0.9,1.2,18,2.4
236,11.5,0.4,0.3,8.2,2.6
237,34.6,1.1,1.2,30.7,1.6
238,14.4,0.1,0.2,10.7,3.4
239,51.3,2.3,2.9,41.4,4.7
240,30.4,0.9,0.5,24.9,4.1
241,38.7,1.6,1.4,33.3,2.3
242,12,0.3,0.2,9.2,2.3
243,23.3,1.1,1,18.7,2.5
244,26.5,1,1.5,21.3,2.7
245,34.7,1.6,1.5,29.6,2.1
246,11.7,0.2,-,10.3,1.2
247,24,1.4,1.2,19.1,2.3
