,TotSh,OOBSh,SYBSh,PASh
209,0.6,0.1,-,0.5
210,0.6,-,0.1,0.5
211,1.5,1.4,-,0.2
212,2.2,0.5,0.1,1.6
213,0.4,0.1,-,0.3
214,1,0.4,-,0.6
215,0.4,0.2,-,0.3
216,0.5,-,-,0.5
217,0.2,0.2,-,0.1
218,1,0.4,-,0.6
219,0.3,-,-,0.2
220,0.6,0.3,-,0.3
221,0.4,0.1,0.1,0.3
222,0.6,0.4,-,0.2
223,1.3,0.6,-,0.6
224,1.5,0.2,0.2,1.1
225,2.5,0.3,0.4,1.7
226,0.4,0.1,0.3,-
227,1.7,0.8,0.1,0.8
228,0.6,0.4,-,0.2
229,2,1,-,1
230,0.9,0.2,0.1,0.6
231,0.6,0.1,0.1,0.4
232,0.7,0.4,-,0.3
233,1.2,0.8,-,0.4
234,0.5,0.1,0.2,0.3
235,1.2,0.6,0.1,0.5
236,1.3,0.3,-,1
237,0.2,-,-,0.2
238,2.1,0.4,0.1,1.5
239,0.3,0.1,0.1,0.1
240,0.3,0.2,-,0.1
241,0.2,0.2,-,-
242,0.8,0.3,0.2,0.3
243,0.4,0.1,-,0.3
244,0.3,0.1,-,0.2
245,0.1,-,-,-
246,0.4,0.1,-,0.2
247,1.3,0.8,-,0.5
248,1,0.5,0.1,0.5
249,0.2,0.1,0.1,-
250,1.1,0.4,-,0.6
251,0.9,0.5,0.1,0.4
252,1.9,0.3,0.2,1.5
253,-,-,-,-
254,0.8,0.3,-,0.4
255,0.8,0.3,-,0.5
256,0.1,-,-,0.1
257,1.1,0.5,-,0.6
258,2,1,0.2,0.8
259,1,0.2,-,0.7
260,1.4,0.4,-,1
261,0.2,0.1,-,0.1
262,0.3,0.1,-,0.2
263,0.6,0.2,-,0.4
264,0.1,0.1,-,-
265,0.8,0.6,-,0.2
266,0.6,0.4,0.1,0.1
267,1.6,0.6,-,1
268,0.4,0.2,-,0.1
269,0.3,0.1,-,0.2
270,-,-,-,-
271,0.1,-,0.1,-
272,1.7,0.8,0.1,0.8
273,0.5,0.1,0.1,0.3
274,-,-,-,-
275,0.2,0.1,-,0.2
276,0.5,-,0.1,0.4
277,1.3,0.5,-,0.7
278,0.7,0.2,0.1,0.4
279,0.2,0.1,0.1,-
280,0.6,0.3,-,0.3
281,1.3,0.1,-,1.2
282,0.1,-,-,-
283,0.3,0.3,-,-
284,0.5,0.1,-,0.3
285,-,-,-,-
286,0.6,0.5,-,0.2
287,0.5,0.2,-,0.2
288,1.2,0.5,-,0.7
289,0.1,0.1,0.1,-
290,0.8,0.4,0.1,0.4
291,-,-,-,-
292,0.5,-,-,0.5
293,0.6,0.4,-,0.1
294,1.7,0.2,0.1,1.4
295,1.1,0.7,-,0.4
296,0.7,0.2,0.1,0.4
297,0.1,-,-,0.1
298,0.1,-,0.1,-
299,1,0.1,0.2,0.7
300,0.8,-,0.4,0.4
301,0.2,-,-,0.1
302,0.5,0.4,-,0.2
303,0.8,0.5,-,0.3
304,0.4,0.1,-,0.3
