,TotKPs,LKPs,SKPs
314,-,-,-
315,0.8,0.2,0.6
316,-,-,-
317,1,0.1,0.9
318,0.3,-,0.3
319,-,-,-
320,0.6,-,0.6
321,0.7,0.3,0.5
322,0.6,0.1,0.5
323,1.3,0.6,0.7
324,0.1,0.1,-
325,0.4,0.1,0.3
326,0.6,0.1,0.5
327,0.7,-,0.7
328,0.4,-,0.4
329,0.8,0.2,0.6
330,0.4,-,0.4
331,0.6,0.1,0.5
332,-,-,-
333,0.1,0.1,-
334,0.4,-,0.4
335,0.5,-,0.5
336,0.3,-,0.3
337,0.7,0.1,0.6
338,0.2,0.1,0.1
339,0.4,0.1,0.3
340,0.8,0.5,0.3
341,0.3,0.1,0.2
342,0.1,0.1,0.1
343,0.1,0.1,-
344,0.6,-,0.6
345,0.7,0.3,0.4
346,1.2,0.2,0.9
347,-,-,-
348,0.7,-,0.7
349,-,-,-
350,0.5,-,0.5
351,0.1,-,0.1
352,0.5,0.1,0.4
353,0.9,0.2,0.6
354,0.4,-,0.4
355,0.2,0.1,0.1
356,0.7,0.2,0.5
357,0.6,-,0.5
358,0.7,0.1,0.6
359,0.9,0.2,0.7
360,0.8,-,0.8
361,1,-,1
362,0.4,-,0.4
363,0.5,0.1,0.4
364,-,-,-
365,0.7,0.1,0.6
366,0.5,-,0.5
367,0.1,-,0.1
368,0.6,0.1,0.5
369,0.3,-,0.3
370,0.1,-,0.1
371,1.1,0.6,0.6
372,0.7,-,0.7
373,0.8,0.1,0.7
374,0.5,-,0.5
375,0.6,0.4,0.2
376,0.2,0.1,0.1
377,0.4,-,0.4
378,0.1,-,0.1
379,0.5,0.1,0.4
380,0.1,-,0.1
381,0.6,0.1,0.6
382,0.1,0.1,-
383,1,0.1,0.9
384,0.8,0.3,0.5
385,0.2,0.1,0.2
386,0.7,0.2,0.5
387,0.6,-,0.6
388,0.4,-,0.3
389,0.5,-,0.5
390,0.1,-,0.1
391,0.3,0.1,0.2
392,0.4,0.1,0.3
393,0.5,-,0.5
394,0.8,0.1,0.7
395,0.5,-,0.5
396,0.9,0.1,0.8
397,-,-,-
398,0.3,-,0.3
399,0.1,-,0.1
400,0.6,0.2,0.5
401,0.3,-,0.3
402,0.3,-,0.3
403,0.5,0.1,0.4
404,0.2,-,0.2
405,-,-,-
406,0.3,-,0.3
407,1,-,1
408,-,-,-
409,0.5,-,0.5
410,-,-,-
411,0.9,0.2,0.7
412,0.6,-,0.6
413,0.5,0.1,0.4
414,0.5,-,0.5
415,0.1,0.1,-
416,0.3,-,0.3
417,0.4,-,0.4
418,0.4,-,0.4
419,0.1,-,0.1
420,0.2,-,0.2
421,-,-,-
422,0.7,-,0.7
423,0.3,-,0.3
424,0.3,-,0.3
425,-,-,-
426,0.1,-,0.1
427,0.9,0.2,0.7
428,0.5,0.2,0.2
429,0.1,-,0.1
430,0.8,0.3,0.5
431,0.2,-,0.2
432,0.5,-,0.5
433,-,-,-
434,-,-,-
435,-,-,-
436,0.3,-,0.3
437,0.4,-,0.4
438,-,-,-
439,0.2,-,0.2
440,0.6,0.1,0.5
441,0.9,0.2,0.7
442,0.2,-,0.2
443,0.1,-,0.1
444,0.1,-,0.1
445,-,-,-
446,0.1,-,0.1
447,-,-,-
448,0.2,-,0.2
449,0.3,-,0.3
450,0.1,-,0.1
451,0.4,-,0.4
452,0.4,0.1,0.3
453,0.6,-,0.6
454,0.6,-,0.6
