,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
172,0.1,-,-,-,-,0.1,0.2
173,-,-,-,-,-,0.1,0.1
174,-,-,-,-,-,-,-
175,-,-,-,-,-,-,-
176,-,-,-,-,-,0.1,0.1
177,-,-,-,-,-,-,-
178,-,-,0.1,-,-,0.1,0.2
179,0.1,-,-,-,-,-,0.1
180,-,-,-,-,-,-,-
181,-,-,-,-,-,0.1,0.1
182,-,-,-,-,-,-,-
183,-,-,0.1,-,-,0.1,0.2
184,-,-,-,-,-,-,-
185,-,-,-,-,-,-,-
186,-,-,-,-,-,-,-
187,-,-,-,-,-,0.1,0.1
188,-,-,-,-,-,-,-
189,-,-,-,-,-,-,-
190,-,-,-,-,-,0.1,0.1
191,-,-,-,-,-,-,-
192,-,-,0.1,-,-,-,0.1
193,-,-,-,-,-,-,-
194,-,-,-,-,-,-,-
195,-,-,-,-,-,-,-
196,-,-,-,-,-,0.1,0.1
197,-,-,0.1,-,-,-,0.1
198,-,-,-,-,-,-,-
199,-,-,-,-,-,0.1,0.1
200,-,-,0.2,-,-,-,0.2
201,-,-,-,-,-,-,-
202,-,-,-,-,-,-,-
203,0.1,-,-,-,-,0.1,0.2
204,-,-,-,-,-,-,-
205,-,-,-,-,-,-,-
206,-,-,-,-,-,0.1,0.1
207,-,-,-,-,-,-,-
208,-,-,-,-,-,-,-
209,-,-,-,-,-,-,-
210,-,-,-,-,-,-,-
211,0.1,-,-,-,-,-,0.1
212,-,-,-,-,-,-,-
213,-,-,-,-,-,0.1,0.1
214,-,-,-,-,-,-,-
215,0.1,-,-,-,-,-,0.1
216,-,-,-,-,-,0.1,0.1
217,-,-,-,-,-,0.1,0.1
218,-,-,0.1,-,-,-,0.1
219,-,-,-,-,-,-,-
220,0.1,-,-,-,-,-,0.1
221,-,-,-,-,-,-,-
222,-,-,-,-,-,-,-
223,-,-,-,-,-,-,-
224,-,-,-,-,-,0.1,0.1
225,-,-,-,-,-,-,-
226,-,-,-,-,-,-,-
227,-,-,-,-,-,-,-
228,-,-,-,-,-,-,-
229,-,-,-,-,-,-,-
230,-,-,-,-,-,0.1,0.1
231,-,-,-,-,-,0.1,0.1
232,-,-,-,-,-,-,-
233,-,-,-,-,-,-,-
234,-,-,-,-,-,0.1,0.1
235,-,-,0.1,-,-,0.1,0.1
236,-,-,-,-,-,-,-
237,-,-,-,-,-,-,-
238,-,-,-,-,-,0.1,0.1
239,-,-,-,-,-,-,-
240,-,-,-,-,-,0.2,0.2
241,-,-,-,-,-,-,-
242,-,-,-,-,-,-,-
243,-,-,-,-,-,-,-
244,-,-,-,-,-,-,0.1
245,-,-,-,-,-,-,-
246,-,-,-,-,-,0.1,0.1
247,0.1,-,-,-,-,-,0.1
248,-,-,-,-,-,-,-
249,-,-,-,-,-,-,-
250,-,-,-,-,-,-,-
251,-,-,-,-,-,-,-
252,-,-,-,-,-,0.1,0.1
253,-,-,-,-,-,-,-
254,0.1,0.1,-,-,-,0.1,0.2
255,-,-,-,-,-,-,-
256,-,-,-,-,-,-,-
257,-,-,-,-,-,-,-
258,-,-,-,-,-,-,-
259,0.1,-,-,-,-,-,0.1
260,-,-,-,-,-,0.1,0.1
