,Name,Club,Age,Height,National,Positions
89,Samú Costa,Mallorca,24 years old (27-11-2000),183cm,,Defensive Midfielder (C)
90,Marcos Alonso,Celta Vigo,34 years old (28-12-1990),188cm,Spain,"Defender (Centre, Left), Midfielder (Left)"
91,Roberto Fernández,Espanyol,22 years old (03-07-2002),186cm,,Forward
92,Clément Lenglet,Atletico Madrid,29 years old (17-06-1995),186cm,France,Defender (Centre)
93,Ilias Akhomach,Villarreal,21 years old (16-04-2004),175cm,Spain,Attacking Midfielder (Right)
94,Enzo Barrenechea,Valencia,23 years old (22-05-2001),186cm,Argentina,Defensive Midfielder (C)
95,Carl Starfelt,Celta Vigo,29 years old (01-06-1995),187cm,Sweden,Defender (Centre)
96,Raúl Moro,Real Valladolid,22 years old (05-12-2002),169cm,Spain,Attacking Midfielder (Left)
97,Dani Ceballos,Real Madrid,28 years old (07-08-1996),179cm,Spain,"Midfielder (Centre, Left)"
98,Héctor Bellerín,Real Betis,30 years old (19-03-1995),178cm,Spain,"Defender (Right), Midfielder (Right)"
99,Pau Cubarsí,Barcelona,18 years old (22-01-2007),184cm,Spain,Defender (Centre)
100,Takefusa Kubo,Real Sociedad,23 years old (04-06-2001),173cm,Japan,"Attacking Midfielder (Centre, Left, Right), Forward"
101,Bryan Zaragoza,Osasuna,23 years old (09-09-2001),164cm,Spain,"Attacking Midfielder (Left, Right)"
102,Marc Casadó,Barcelona,21 years old (14-09-2003),172cm,Spain,Defensive Midfielder (C)
103,Rubén Vargas,Sevilla,26 years old (05-08-1998),177cm,Switzerland,"Attacking Midfielder (Centre, Left, Right), Forward"
104,Sergio Herrera,Osasuna,31 years old (05-06-1993),192cm,Spain,Goalkeeper
105,Santi Comesaña,Villarreal,28 years old (05-10-1996),188cm,Spain,Midfielder (Centre)
106,Ramón Martínez,Sevilla,22 years old (22-10-2002),185cm,Spain,Defender
107,José Ángel Carmona,Sevilla,23 years old (29-01-2002),184cm,Spain,"Defender (Centre, Right), Midfielder (Right)"
108,Kike Salas,Sevilla,23 years old (23-04-2002),188cm,Spain,"Defender (Centre, Left)"
109,Saúl Ñíguez,Sevilla,30 years old (21-11-1994),184cm,Spain,"Defender (Centre, Left), Midfielder (Centre, Left, Right)"
110,César Tárrega,Valencia,23 years old (26-02-2002),194cm,Spain,Defender (Centre)
111,Kike García,Deportivo Alaves,35 years old (25-11-1989),186cm,Spain,Forward
112,Florian Lejeune,Rayo Vallecano,33 years old (20-05-1991),189cm,France,Defender (Centre)
113,Luis Rioja,Valencia,31 years old (16-10-1993),175cm,Spain,"Midfielder (Left, Right)"
114,Augusto Batalla,Rayo Vallecano,28 years old (30-04-1996),186cm,Argentina,Goalkeeper
115,Jon Martín,Real Sociedad,19 years old (23-04-2006),185cm,,Defender
116,Juan Iglesias,Getafe,26 years old (03-07-1998),187cm,Spain,"Defender (Left, Right), Midfielder (Right)"
117,Alberto Moleiro,Las Palmas,21 years old (30-09-2003),172cm,Spain,Attacking Midfielder (Left)
118,Jorge Sáenz,Leganes,28 years old (17-11-1996),188cm,Spain,Defender (Centre)
119,Arda Güler,Real Madrid,20 years old (25-02-2005),176cm,Turkey,"Attacking Midfielder (Centre, Right)"
120,Santiago Mouriño,Deportivo Alaves,23 years old (13-02-2002),186cm,Uruguay,Defender (Centre)
121,Fran García,Real Madrid,25 years old (14-08-1999),167cm,,Defender (Left)
122,Sergi Darder,Mallorca,31 years old (22-12-1993),180cm,Spain,"Midfielder (Centre, Left, Right)"
123,Miguel Gutiérrez,Girona,23 years old (27-07-2001),180cm,Spain,"Defender (Left), Midfielder (Left)"
124,Abde Ezzalzouli,Real Betis,23 years old (17-12-2001),177cm,Morocco,Attacking Midfielder (Left)
