,YelC,RedC
418,0.1,-
419,-,-
420,-,-
421,-,-
422,-,-
423,0.1,-
424,0.1,0.1
425,-,-
426,0.3,-
427,0.1,-
428,0.1,-
429,-,-
430,0.2,-
431,-,-
432,0.2,-
433,0.1,-
434,0.3,-
435,0.2,-
436,-,-
437,0.1,-
438,0.2,-
439,0.1,-
440,0.5,-
441,0.2,-
442,0.2,-
443,0.2,-
444,-,-
445,-,-
446,-,-
447,0.1,-
448,0.1,-
449,0.2,0.1
450,-,-
451,0.3,0.1
452,-,-
453,-,-
454,0.3,-
455,0.1,-
456,0.1,0.1
457,0.2,-
458,0.1,-
459,0.2,-
460,0.1,-
461,-,-
462,-,-
463,-,-
464,-,-
465,-,-
466,-,-
467,-,-
468,0.2,-
469,0.1,-
470,0.2,-
471,0.5,-
472,-,-
473,0.1,-
474,-,-
475,-,-
476,-,-
477,-,-
478,-,-
479,0.2,-
480,-,-
481,0.1,-
482,-,-
483,0.1,-
484,0.2,-
485,-,-
486,0.2,-
487,-,-
488,-,-
489,0.3,-
490,0.1,-
491,0.1,-
492,0.1,-
493,-,-
494,0.2,0.1
495,-,-
496,-,-
497,0.1,0.1
498,0.1,-
499,0.3,-
500,-,-
501,-,-
502,-,-
503,-,-
504,-,-
505,-,-
506,0.2,-
507,0.2,-
508,0.2,-
509,0.2,-
510,0.3,-
511,0.3,-
512,0.1,-
513,0.1,-
514,-,-
515,-,-
516,-,-
517,-,-
518,-,-
519,0.2,-
520,1,-
521,-,-
522,-,-
523,0.1,-
524,0.3,-
525,-,-
526,0.3,-
527,0.1,-
528,-,-
529,-,-
530,-,-
531,-,-
532,-,-
533,0.1,-
534,-,-
535,-,-
536,-,-
537,-,-
538,-,-
539,0.1,-
540,0.3,-
541,-,-
542,-,-
543,-,-
544,-,-
545,0.2,-
546,-,-
547,1,-
548,0.3,0.1
549,-,-
550,0.5,-
551,0.2,-
552,-,-
553,-,-
554,0.1,-
555,-,-
556,-,-
557,-,-
558,-,-
559,-,-
560,-,-
561,-,1
562,0.2,-
563,0.5,-
564,-,-
565,0.3,-
566,0.1,-
567,-,-
568,-,-
569,-,-
570,-,-
571,-,-
572,-,-
573,1,-
574,-,-
575,-,-
576,-,-
577,0.3,-
578,-,-
579,1,-
580,-,-
581,1,-
582,-,-
583,-,-
584,-,-
585,-,-
586,-,-
