,TotClr
0,0.1
1,4
2,2
3,0.7
4,-
5,0.3
6,0.8
7,0.6
8,-
9,0.4
10,0.3
11,0.4
12,1.5
13,0.4
14,0.2
15,0.5
16,0.3
17,1
18,2.8
19,0.4
20,7
21,5.7
22,0.1
23,0.1
24,1
25,3.8
26,5.4
27,6.4
28,1.2
29,0.5
30,0.9
31,1.3
32,0.5
33,4.3
34,2.3
35,5.3
36,1
37,6.3
38,2.7
39,0.2
40,1.8
41,1.8
42,0.2
43,0.5
44,2.7
45,0.7
46,1.5
47,1.8
48,2.8
49,1.8
50,2.5
51,-
52,4.1
53,1.8
54,6
55,5.1
56,1.1
57,0.9
58,2.3
59,-
60,3.4
61,-
62,1
63,0.4
64,3.9
65,0.4
66,0.8
67,6.1
68,1.6
69,0.6
70,0.8
71,2.2
72,5.1
73,0.7
74,0.7
75,0.4
76,5
77,6.4
78,4.2
79,6.2
80,1.7
81,1.4
82,2.7
83,2.9
84,0.5
85,0.8
86,3.7
87,1
88,0.7
89,2.6
90,4
91,1.5
92,4.3
93,0.8
94,1.7
95,4.6
96,0.5
97,0.5
98,2
99,2.4
100,0.3
101,0.4
102,0.7
103,0.9
104,1.1
105,1.3
106,7
107,2.5
108,4.7
109,1.2
110,6.7
111,0.7
112,4.6
113,0.9
114,0.7
115,5.1
116,3.4
117,0.2
118,6.5
119,0.3
120,4.5
121,1.8
122,0.5
123,1
124,0.2
125,0.3
126,0.7
127,1.2
128,2.6
129,0.2
130,0.1
131,1
132,1.1
133,-
134,1.5
135,1
136,1.3
137,0.1
138,2.4
139,0.5
140,0.8
141,0.9
142,1.3
143,0.6
144,0.4
145,2.5
146,0.2
147,0.9
148,1.4
149,3
150,0.8
151,0.8
152,0.7
153,1
154,2
155,4.9
156,1
157,0.5
158,0.1
159,4
160,0.4
161,4
162,1.4
163,5.9
164,0.4
165,0.7
166,1.8
167,2
168,0.3
169,0.9
170,1.5
171,1.4
172,3.6
173,1.9
174,0.5
175,0.6
176,0.8
177,2.6
178,0.4
179,1.8
180,1
181,6.8
182,5.3
183,0.7
184,1.9
185,3.2
186,1.1
187,0.4
188,1.8
189,1
190,0.6
191,3.1
192,0.3
193,2.5
194,0.3
195,-
196,1.6
197,0.5
198,0.7
199,0.6
200,2
201,4.3
202,1
203,0.9
204,0.3
205,1.7
206,1.3
207,3.6
208,0.6
209,0.6
210,1.5
211,3.6
212,3.2
213,0.4
214,2.4
215,0.4
216,1.5
217,3.7
218,4
