,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
170,-,-,-,-,-,-,-
171,0.1,-,0.1,-,-,0.1,0.2
172,-,-,-,-,-,-,-
173,0.1,-,-,-,-,-,0.1
174,0.2,0.1,-,-,-,-,0.2
175,-,-,-,-,-,0.2,0.2
176,-,-,-,-,-,-,0.1
177,-,-,-,-,-,-,-
178,-,-,-,-,-,-,-
179,-,-,-,-,-,-,0.1
180,-,-,-,-,-,-,-
181,-,-,-,-,-,-,-
182,-,-,-,-,-,-,-
183,-,-,-,-,-,-,-
184,-,-,-,-,-,0.1,0.1
185,-,-,-,-,-,-,-
186,-,-,-,-,-,0.1,0.2
187,-,-,-,-,-,-,0.1
188,-,-,-,-,-,-,-
189,-,-,-,-,-,0.1,0.1
190,-,-,-,-,-,-,-
191,-,-,-,-,-,-,-
192,-,-,-,-,-,-,-
193,-,-,-,-,-,-,0.1
194,-,-,-,-,-,0.1,0.1
195,-,-,-,-,-,0.1,0.1
196,-,-,-,-,-,0.1,0.1
197,-,-,0.1,-,-,-,0.1
198,-,-,-,-,-,0.1,0.1
199,-,-,-,-,-,-,-
200,-,-,-,-,-,-,-
201,-,-,-,-,-,-,-
202,-,-,-,-,-,0.2,0.2
203,-,-,-,-,-,-,-
204,-,-,-,-,-,0.1,0.2
205,-,-,-,-,-,-,-
206,-,-,-,-,-,-,-
207,-,-,-,-,-,-,-
208,-,-,-,-,-,-,-
209,-,-,-,-,-,-,-
210,-,-,-,-,-,-,-
211,-,-,-,-,-,-,-
212,-,-,-,-,-,-,-
213,0.1,-,-,-,-,-,0.1
214,-,-,-,-,-,-,-
215,0.1,0.1,-,-,-,-,0.1
216,0.1,-,-,-,-,-,0.1
217,-,-,-,-,-,-,-
218,-,-,-,-,-,-,-
219,-,-,-,-,-,0.1,0.1
220,-,-,-,-,-,-,-
221,-,-,-,-,-,-,-
222,-,-,-,-,-,-,-
223,-,-,-,-,-,-,-
224,-,-,-,-,-,-,-
225,-,-,0.1,-,-,-,0.1
226,-,-,-,-,-,0.2,0.2
227,-,-,-,-,-,-,-
228,-,-,-,-,-,-,-
229,-,-,-,-,-,-,-
230,-,-,-,-,-,0.1,0.1
231,-,-,-,-,-,-,0.1
232,-,-,-,-,-,-,-
233,-,-,-,-,-,-,-
234,-,-,-,-,-,-,-
235,-,-,-,-,-,0.1,0.1
236,-,-,-,-,-,-,-
237,-,-,-,-,-,-,-
238,-,-,-,-,-,-,-
239,-,-,-,-,-,0.2,0.2
240,-,-,-,-,-,0.1,0.1
241,-,-,-,-,-,-,-
242,-,-,-,-,-,-,-
243,-,-,-,-,-,-,-
244,-,-,-,-,-,0.1,0.1
245,-,-,-,-,-,-,-
246,-,-,-,-,-,0.5,0.5
247,-,-,-,-,-,-,-
248,-,-,-,-,-,-,-
249,-,-,-,-,-,-,-
250,0.1,-,-,-,-,-,0.1
251,-,-,-,-,-,0.1,0.2
252,-,-,-,-,-,-,-
253,-,-,-,-,-,-,-
254,-,-,-,-,-,-,-
255,-,-,-,-,-,0.1,0.1
256,-,-,-,-,-,0.1,0.1
257,-,-,-,-,-,-,-
258,-,-,-,-,-,-,-
259,-,-,-,-,-,-,-
260,-,-,-,-,-,-,-
261,-,-,-,-,-,0.1,0.1
262,-,-,-,-,-,-,-
263,-,-,-,-,-,0.1,0.1
264,-,-,-,-,-,0.1,0.1
265,-,-,-,-,-,-,-
266,-,-,-,-,-,-,-
267,-,-,-,-,-,-,-
268,-,-,-,-,-,0.1,0.1
269,-,-,-,-,-,-,-
270,-,-,-,-,-,-,-
271,-,-,-,-,-,-,-
272,-,-,-,-,-,0.1,0.1
273,-,-,-,-,-,-,-
274,-,-,-,-,-,-,-
275,-,-,-,-,-,0.1,0.1
276,-,-,-,-,-,0.1,0.1
277,-,-,-,-,-,-,-
278,-,-,-,-,-,0.1,0.1
279,-,-,-,-,-,-,-
280,-,-,-,-,-,-,-
281,-,-,-,-,-,-,-
282,-,-,-,-,-,-,-
283,-,-,-,-,-,-,-
284,-,-,-,-,-,-,-
285,-,-,-,-,-,0.1,0.1
286,-,-,-,-,-,-,-
287,-,-,-,-,-,0.1,0.1
288,-,-,-,-,-,0.1,0.1
289,0.1,-,-,-,-,-,0.1
290,-,-,-,-,-,-,0.1
291,-,-,-,-,-,-,-
292,-,-,-,-,-,-,-
293,-,-,-,-,-,-,-
294,-,-,-,-,-,-,-
295,-,-,-,-,-,-,-
296,-,-,-,-,-,0.1,0.2
297,-,-,-,-,-,0.1,0.1
298,-,-,-,-,-,-,-
299,-,-,-,-,-,-,0.1
300,-,-,-,-,-,-,-
301,-,-,-,-,-,-,-
302,-,-,-,-,-,-,-
303,-,-,-,-,-,-,-
304,-,-,-,-,-,-,-
305,0.1,-,-,-,-,0.1,0.2
306,-,-,-,-,-,-,-
