,TotSh,OOBSh,SYBSh,PASh
206,0.5,0.4,-,0.1
207,0.4,0.1,-,0.3
208,1.2,0.3,-,0.9
209,-,-,-,-
210,0.5,0.5,-,-
211,0.2,-,0.1,0.1
212,0.6,0.2,0.2,0.3
213,1.1,0.5,-,0.6
214,0.9,-,0.3,0.6
215,1.5,1,0.1,0.4
216,0.3,0.2,-,0.2
217,0.3,-,-,0.3
218,0.5,-,-,0.5
219,1.3,0.4,0.1,0.8
220,0.1,-,-,0.1
221,0.9,0.4,-,0.5
222,0.3,0.3,-,-
223,1.5,0.9,-,0.6
224,-,-,-,-
225,0.9,0.7,-,0.2
226,1.3,0.6,0.1,0.7
227,0.3,0.2,-,0.1
228,0.3,0.2,-,0.1
229,-,-,-,-
230,1.7,0.1,0.2,1.4
231,0.7,0.4,-,0.3
232,0.7,0.2,-,0.5
233,0.6,0.2,-,0.4
234,0.5,0.4,-,0.1
235,0.1,-,-,0.1
236,0.3,0.1,0.1,0.1
237,0.3,-,0.3,-
238,-,-,-,-
239,0.9,-,0.1,0.8
240,0.5,0.3,-,0.2
241,-,-,-,-
242,0.3,-,-,0.2
243,0.7,0.4,0.1,0.2
244,0.3,0.1,0.1,0.2
245,-,-,-,-
246,0.5,0.5,-,-
247,0.3,0.1,-,0.1
248,-,-,-,-
249,0.3,0.2,-,0.1
250,1.4,0.4,0.1,0.9
251,1.1,0.8,-,0.3
252,0.4,-,0.2,0.2
253,0.5,-,-,0.5
254,0.4,0.2,-,0.2
255,1.9,0.6,-,1.3
256,0.2,0.1,-,0.1
257,-,-,-,-
258,0.4,0.1,-,0.3
259,0.2,-,0.1,0.2
260,0.6,0.3,-,0.4
261,1.3,0.1,0.2,1
262,0.4,0.1,-,0.3
263,1.3,0.8,-,0.5
264,0.2,0.1,-,0.2
265,0.3,0.1,-,0.2
266,0.5,0.4,-,0.1
267,1.8,0.5,0.1,1.2
268,0.2,0.1,-,0.1
269,0.4,0.1,-,0.2
270,1,0.5,0.1,0.4
271,0.6,0.4,-,0.2
272,1.6,0.2,0.2,1.3
273,0.4,0.2,0.1,0.1
274,1.1,0.5,0.1,0.4
275,1.3,0.3,0.2,0.8
276,1.1,0.6,-,0.5
277,-,-,-,-
278,0.4,-,0.1,0.4
279,0.2,-,-,0.2
280,-,-,-,-
281,0.9,0.4,-,0.5
282,0.3,-,-,0.3
283,0.7,0.3,-,0.4
284,0.2,0.1,0.1,-
285,0.5,0.3,0.1,0.1
286,-,-,-,-
287,1.4,0.4,0.1,0.9
288,0.5,0.2,-,0.3
289,0.3,0.2,-,0.1
290,0.7,0.3,-,0.4
291,0.7,0.5,-,0.1
292,0.8,0.6,-,0.1
293,1.9,0.4,0.2,1.3
294,0.1,0.1,-,-
295,1.3,0.8,-,0.5
296,0.9,0.3,0.1,0.5
297,1.1,0.1,0.1,1
298,-,-,-,-
299,1.1,0.3,-,0.7
300,0.2,-,-,0.2
301,0.1,-,-,0.1
302,0.2,-,-,0.1
303,1,0.5,0.1,0.5
304,0.7,0.4,-,0.3
305,0.7,0.6,-,0.1
306,0.1,0.1,-,-
307,0.7,-,0.1,0.6
308,0.2,-,-,0.2
309,0.7,0.2,0.1,0.5
310,1.1,0.9,-,0.3
311,0.4,0.3,-,0.1
312,0.2,0.2,-,-
313,-,-,-,-
314,0.3,0.3,-,-
315,0.5,-,0.1,0.4
316,0.4,0.1,-,0.2
317,0.3,0.3,-,-
318,0.7,0.4,-,0.3
319,0.9,0.5,-,0.4
320,-,-,-,-
321,0.3,0.1,-,0.2
322,0.1,-,0.1,0.1
323,0.3,0.3,-,-
324,1.8,0.5,0.1,1.2
325,0.4,0.2,-,0.3
326,0.2,0.2,-,-
327,0.7,0.1,0.1,0.5
328,0.5,-,0.3,0.2
329,0.2,-,-,0.2
330,-,-,-,-
331,0.4,0.1,-,0.3
332,0.4,0.4,-,-
333,0.1,-,-,0.1
334,1,0.1,0.1,0.8
335,0.4,0.3,-,0.1
336,0.2,-,-,0.2
337,-,-,-,-
338,0.4,0.3,-,0.2
339,0.2,-,-,0.2
340,0.2,0.2,-,-
341,-,-,-,-
342,0.4,0.1,-,0.3
343,1,0.2,-,0.7
344,0.9,0.1,0.1,0.7
345,0.1,0.1,-,-
346,1.3,0.3,0.1,1
347,0.2,0.1,-,0.1
348,0.3,0.1,-,0.2
349,0.3,0.2,-,0.2
350,0.7,0.4,-,0.2
351,0.7,0.1,-,0.6
352,0.1,-,-,0.1
353,0.5,0.1,-,0.3
354,-,-,-,-
355,0.2,0.1,-,0.1
356,0.1,-,-,0.1
357,-,-,-,-
358,0.2,-,-,0.1
359,-,-,-,-
360,0.9,0.3,-,0.6
361,0.5,-,-,0.4
362,1,0.6,-,0.5
363,0.3,0.1,-,0.1
364,-,-,-,-
365,0.7,0.3,-,0.3
366,-,-,-,-
367,0.3,0.1,0.1,0.2
368,0.3,0.2,-,0.1
369,0.1,-,-,0.1
370,0.3,0.1,-,0.1
371,0.7,0.3,-,0.3
372,1.1,0.4,0.1,0.6
373,0.6,0.3,0.1,0.3
374,0.1,-,-,0.1
375,0.3,0.3,-,0.1
376,1,0.2,0.1,0.7
377,1.2,0.1,0.1,1
378,0.3,0.1,-,0.2
379,1,-,0.1,0.9
380,1.3,0.1,0.2,1.1
381,0.3,0.1,-,0.2
382,0.8,0.1,-,0.7
383,0.5,-,-,0.5
384,0.3,0.2,-,0.1
385,1,1,-,-
386,0.7,0.1,0.1,0.5
387,0.4,0.2,-,0.3
388,0.4,0.2,-,0.1
389,0.3,0.2,0.1,-
390,0.2,0.1,-,-
391,0.4,-,-,0.4
392,0.9,0.1,0.3,0.5
393,0.3,0.3,-,-
394,0.2,0.1,-,0.1
395,0.5,0.2,-,0.3
396,1.1,0.2,0.3,0.7
397,0.2,0.1,-,0.1
398,0.8,0.1,0.1,0.7
399,1.8,0.4,-,1.4
400,0.2,0.2,-,-
401,0.4,0.2,-,0.2
402,0.3,0.3,-,-
403,0.3,-,-,0.3
404,0.7,0.4,-,0.3
405,1.2,0.4,0.2,0.5
406,0.8,0.3,0.1,0.4
407,1.3,0.1,0.2,1
408,-,-,-,-
409,0.6,0.3,-,0.2
410,1,0.6,0.1,0.3
411,-,-,-,-
412,0.6,0.3,-,0.4
413,0.5,0.2,-,0.3
414,1.2,0.1,0.1,1
415,0.1,-,-,0.1
416,-,-,-,-
417,0.6,0.6,-,-
418,0.9,0.4,-,0.5
419,1,0.6,-,0.4
420,1,0.3,-,0.7
421,1,-,-,1
422,0.7,0.3,-,0.3
423,0.1,0.1,-,-
424,0.3,-,-,0.3
425,0.6,-,-,0.6
426,-,-,-,-
427,0.7,0.2,0.1,0.4
428,1.1,0.5,-,0.6
429,0.6,0.2,-,0.4
430,0.6,0.5,-,0.2
431,0.5,0.1,-,0.4
432,0.3,0.2,-,0.1
433,0.2,-,-,0.2
434,1.4,-,-,1.3
435,0.2,-,0.1,0.1
436,0.5,0.1,-,0.4
437,0.5,-,-,0.5
438,1,0.2,0.2,0.6
439,0.2,-,0.1,0.1
440,-,-,-,-
441,0.1,-,-,-
442,0.8,0.1,0.1,0.7
443,0.2,-,-,0.2
444,0.8,0.6,-,0.2
445,0.2,-,-,0.2
446,-,-,-,-
447,0.3,0.1,-,0.3
448,1.3,0.5,0.1,0.7
449,0.9,0.6,-,0.3
450,0.7,0.3,-,0.3
451,0.3,-,-,0.3
452,-,-,-,-
453,-,-,-,-
454,1.7,-,-,1.7
455,0.7,-,-,0.7
456,0.6,0.4,-,0.2
457,0.3,-,-,0.3
458,-,-,-,-
459,1,0.4,0.2,0.4
460,1,-,-,0.9
461,0.4,0.3,-,0.1
462,0.8,0.1,0.1,0.6
463,-,-,-,-
464,0.8,0.3,-,0.5
465,0.8,0.5,0.1,0.2
466,0.7,0.2,-,0.5
467,1,0.1,0.1,0.8
468,0.1,0.1,-,-
469,0.2,-,-,0.2
470,0.5,0.1,-,0.5
471,-,-,-,-
472,0.2,0.1,-,0.1
473,1.2,0.2,0.1,0.9
474,-,-,-,-
475,0.5,-,-,0.5
476,0.7,0.7,-,-
477,0.5,0.2,-,0.3
478,-,-,-,-
479,-,-,-,-
480,-,-,-,-
481,0.7,0.4,0.1,0.3
482,0.3,0.1,-,0.2
483,0.5,-,0.1,0.4
484,0.1,-,-,-
485,-,-,-,-
486,0.4,0.4,-,-
487,0.5,-,-,0.5
488,0.5,0.3,-,0.3
489,0.2,-,0.1,0.1
490,0.8,0.3,-,0.5
491,0.9,0.3,0.1,0.6
492,-,-,-,-
493,0.5,-,-,0.4
494,0.3,-,0.2,0.2
495,-,-,-,-
496,0.3,-,-,0.3
497,0.4,0.2,-,0.2
498,0.7,0.3,-,0.4
499,0.5,0.3,-,0.3
500,0.5,-,-,0.5
501,-,-,-,-
502,-,-,-,-
503,-,-,-,-
504,1.3,0.8,-,0.5
505,0.3,0.2,-,0.2
506,0.6,0.3,-,0.3
507,0.6,-,-,0.5
508,0.2,0.2,-,-
509,0.6,0.5,-,0.1
510,0.4,0.2,-,0.1
511,-,-,-,-
512,0.3,0.1,0.1,0.1
513,0.5,-,0.1,0.5
514,0.4,0.2,-,0.2
515,0.5,0.3,-,0.2
516,-,-,-,-
517,-,-,-,-
518,0.3,-,-,0.3
519,0.4,0.1,0.1,0.3
520,-,-,-,-
521,1,1,-,-
522,-,-,-,-
523,0.2,0.1,-,0.1
524,0.5,0.1,-,0.4
525,-,-,-,-
526,0.5,-,-,0.4
527,0.4,0.3,-,0.1
528,-,-,-,-
529,-,-,-,-
530,-,-,-,-
531,0.4,0.3,-,0.1
532,0.3,0.2,-,0.1
533,0.8,0.1,0.2,0.5
534,0.1,-,-,0.1
535,-,-,-,-
536,1,0.5,-,0.5
537,1,1,-,-
538,-,-,-,-
539,0.4,0.1,0.1,0.3
540,0.1,0.1,-,-
541,-,-,-,-
542,-,-,-,-
543,1,0.1,-,0.9
544,-,-,-,-
545,-,-,-,-
546,-,-,-,-
547,1,1,-,-
548,-,-,-,-
549,0.7,0.7,-,-
550,-,-,-,-
551,0.3,0.2,-,0.1
552,1,-,-,1
553,-,-,-,-
554,0.7,0.3,-,0.4
555,-,-,-,-
556,-,-,-,-
557,-,-,-,-
558,-,-,-,-
559,-,-,-,-
560,-,-,-,-
561,-,-,-,-
562,0.6,0.4,-,0.2
563,-,-,-,-
564,-,-,-,-
565,-,-,-,-
566,0.4,0.1,-,0.3
567,2,-,-,2
568,-,-,-,-
569,-,-,-,-
570,-,-,-,-
571,0.1,-,-,0.1
572,-,-,-,-
573,-,-,-,-
574,-,-,-,-
575,-,-,-,-
576,0.5,-,0.5,-
577,-,-,-,-
578,-,-,-,-
579,1,1,-,-
580,-,-,-,-
581,-,-,-,-
582,-,-,-,-
583,-,-,-,-
584,-,-,-,-
585,-,-,-,-
586,-,-,-,-
