,UnDrib,SucDrib,TotDrib
253,-,0.1,0.1
254,0.5,0.6,1.1
255,1.5,1,2.5
256,1.2,0.6,1.8
257,-,-,-
258,0.1,0.2,0.3
259,0.3,0.2,0.4
260,1.3,0.8,2.1
261,0.6,0.3,0.8
262,-,-,-
263,1.3,0.8,2.1
264,0.5,0.4,0.9
265,0.2,0.5,0.7
266,0.4,0.9,1.4
267,0.2,0.3,0.4
268,0.1,0.2,0.4
269,0.9,0.7,1.5
270,1.2,0.5,1.7
271,0.3,0.5,0.7
272,0.2,0.3,0.5
273,0.4,0.4,0.9
274,0.7,0.4,1.2
275,1.3,0.5,1.8
276,2.2,1.2,3.4
277,-,0.1,0.1
278,0.5,0.3,0.8
279,0.1,0.2,0.3
280,-,-,-
281,0.9,0.4,1.3
282,-,-,-
283,0.5,0.3,0.8
284,0.2,0.3,0.5
285,0.3,0.2,0.5
286,-,-,-
287,0.4,0.6,1
288,0.4,0.4,0.8
289,0.8,0.9,1.7
290,0.9,0.4,1.3
291,0.3,0.3,0.6
292,0.2,0.4,0.6
293,1.3,0.5,1.8
294,0.2,0.3,0.4
295,1.1,0.8,1.9
296,1.2,0.5,1.7
297,0.3,0.2,0.5
298,-,-,-
299,1.1,0.3,1.5
300,-,0.1,0.1
301,1.4,1.4,2.9
302,0.3,0.2,0.6
303,1,0.8,1.8
304,0.1,0.3,0.4
305,0.4,0.1,0.6
306,-,-,-
307,-,0.1,0.1
308,0.8,0.5,1.3
309,0.3,0.2,0.5
310,0.4,0.7,1.1
311,0.1,0.2,0.3
312,1,1.5,2.5
313,-,-,-
314,0.3,0.3,0.5
315,0.1,-,0.1
316,0.4,0.3,0.7
317,0.5,0.2,0.7
318,0.6,0.9,1.4
319,1.4,1.3,2.7
320,-,-,-
321,1,0.8,1.8
322,-,-,-
323,0.3,0.2,0.5
324,1.3,0.7,2
325,0.7,0.8,1.4
326,0.4,0.3,0.7
327,0.5,0.2,0.7
328,0.2,0.1,0.3
329,0.1,0.1,0.2
330,0.4,0.2,0.6
331,0.7,0.3,1
332,0.3,0.6,0.9
333,0.2,0.2,0.3
334,0.4,0.3,0.7
335,0.4,0.5,0.9
336,-,-,-
337,-,0.5,0.5
338,-,0.1,0.1
339,-,-,-
340,0.8,0.6,1.4
341,-,0.2,0.2
342,0.9,0.3,1.1
343,1.1,0.3,1.4
344,0.3,0.2,0.5
345,0.3,0.3,0.6
346,1.8,1,2.9
347,0.5,0.4,0.9
348,0.2,0.1,0.3
349,0.4,0.2,0.5
350,0.4,0.2,0.6
351,0.9,0.2,1.1
352,0.7,0.2,0.9
353,0.9,1.2,2
354,0.3,0.3,0.5
355,0.2,-,0.2
356,0.1,0.1,0.2
357,0.2,0.2,0.4
358,0.2,0.1,0.3
359,-,-,-
360,1.1,0.4,1.5
361,0.2,0.1,0.3
362,0.8,0.5,1.4
363,0.7,0.8,1.6
364,0.3,-,0.3
365,0.3,0.8,1.2
366,-,-,-
367,0.1,0.2,0.3
368,0.8,0.4,1.2
369,-,-,-
370,0.7,0.6,1.4
371,0.1,0.1,0.2
372,0.3,0.3,0.6
373,0.5,0.2,0.6
374,0.1,-,0.1
375,0.2,0.3,0.5
376,1.1,0.8,2
377,0.6,0.3,0.8
378,0.2,0.2,0.4
379,0.1,0.1,0.1
380,0.7,0.2,0.9
381,1.1,0.8,1.9
382,1.4,0.9,2.3
383,1,0.5,1.5
384,0.3,1.1,1.4
385,1.4,0.4,1.9
386,0.4,0.2,0.6
387,0.8,0.3,1
388,0.2,0.1,0.2
389,0.1,0.3,0.4
390,0.2,0.1,0.3
391,0.7,0.5,1.2
392,0.5,0.2,0.7
393,0.1,-,0.1
394,0.1,0.3,0.4
395,0.3,0.4,0.7
396,0.5,0.3,0.8
397,0.5,0.3,0.8
398,0.6,0.3,0.8
399,1.2,0.4,1.6
400,0.1,0.2,0.4
401,0.5,0.5,1
402,0.1,0.3,0.4
403,0.8,0.6,1.3
404,0.5,0.4,0.8
405,0.3,0.2,0.6
406,2.1,1.1,3.2
407,0.9,0.3,1.2
408,-,-,-
409,0.9,1,1.9
410,0.4,0.3,0.6
411,0.3,0.3,0.6
412,0.6,0.2,0.8
413,0.3,0.3,0.6
414,0.8,0.5,1.2
415,0.1,-,0.1
416,-,-,-
417,0.1,0.1,0.3
418,1.2,0.8,2
419,1.8,0.6,2.4
420,0.3,0.2,0.5
421,1,1,2
422,1.3,0.7,2
423,0.3,0.7,1
424,-,0.2,0.2
425,1.2,1,2.2
426,-,-,-
427,0.2,0.4,0.6
428,0.8,0.4,1.1
429,0.4,0.3,0.8
430,0.9,0.7,1.6
431,0.5,0.3,0.8
432,0.6,0.4,1.1
433,0.3,0.5,0.8
434,0.3,0.2,0.5
435,0.7,0.1,0.8
436,0.3,0.5,0.8
437,0.1,0.3,0.4
438,0.2,-,0.2
439,-,-,-
440,1.5,0.5,2
441,0.1,-,0.2
442,0.4,0.2,0.6
443,0.2,-,0.2
444,1,0.2,1.2
445,1.4,0.6,2
446,1,-,1
447,0.7,0.5,1.2
448,0.7,0.1,0.8
449,0.6,0.7,1.3
450,0.4,0.8,1.2
451,-,-,-
452,-,-,-
453,-,-,-
454,0.3,0.3,0.7
455,0.2,-,0.2
456,0.6,0.2,0.8
457,0.3,0.2,0.5
458,0.1,-,0.1
459,0.4,0.2,0.6
460,0.2,0.1,0.3
461,0.6,0.4,1
462,0.3,0.1,0.3
463,1,-,1
464,0.2,0.2,0.3
465,0.8,0.3,1.1
466,0.2,0.4,0.6
467,0.5,0.2,0.7
468,0.2,0.2,0.4
469,0.3,0.1,0.4
470,0.4,0.4,0.7
471,-,-,-
472,0.5,0.4,0.9
473,0.9,0.3,1.2
474,-,0.5,0.5
475,0.3,0.1,0.4
476,0.7,0.3,1
477,0.4,0.2,0.6
478,1,-,1
479,1.7,0.3,2
480,-,0.2,0.2
481,0.7,0.1,0.9
482,0.5,0.6,1.1
483,0.7,0.2,0.9
484,0.1,0.2,0.3
485,-,-,-
486,1.6,0.8,2.4
487,1,-,1
488,-,0.3,0.3
489,0.1,0.1,0.1
490,1.4,0.4,1.8
491,0.3,0.2,0.4
492,0.1,0.1,0.2
493,0.8,0.5,1.2
494,-,0.3,0.3
495,-,-,-
496,0.8,-,0.8
497,0.4,0.1,0.5
498,0.6,0.7,1.3
499,0.8,0.5,1.3
500,0.8,0.4,1.2
501,1,1,2
502,-,-,-
503,-,-,-
504,1.5,0.8,2.3
505,0.3,0.2,0.5
506,0.8,0.1,0.8
507,0.1,-,0.1
508,0.1,0.1,0.2
509,0.2,0.3,0.5
510,-,0.1,0.1
511,-,-,-
512,0.5,0.3,0.8
513,0.7,0.1,0.8
514,0.3,0.1,0.4
515,0.2,0.2,0.3
516,-,-,-
517,-,-,-
518,0.5,0.5,1
519,0.3,0.1,0.4
520,-,-,-
521,-,-,-
522,-,-,-
523,0.5,0.1,0.5
524,1,0.6,1.6
525,0.5,0.5,1
