,BlkSh,BlkCr,BlkPs
265,0.3,-,0.4
266,-,0.1,0.7
267,0.1,-,0.2
268,-,-,0.3
269,0.4,0.9,0.7
270,-,-,0.5
271,-,-,0.9
272,0.1,0.1,0.7
273,0.4,0.3,0.5
274,0.2,0.1,0.6
275,-,-,0.1
276,-,0.2,0.4
277,-,-,-
278,-,0.2,0.6
279,0.6,0.1,0.3
280,-,-,-
281,0.1,0.2,0.6
282,-,-,-
283,0.1,-,0.5
284,0.7,0.1,0.3
285,0.1,0.1,0.6
286,-,-,-
287,-,-,0.3
288,0.2,0.1,0.4
289,0.3,0.1,0.3
290,0.1,0.3,0.5
291,0.2,-,0.6
292,0.2,0.1,0.7
293,-,-,0.2
294,0.4,0.4,0.5
295,-,0.2,0.6
296,0.1,-,0.3
297,-,0.1,0.5
298,-,-,-
299,-,0.1,1.2
300,1,0.1,0.3
301,0.6,0.2,1.4
302,0.3,0.2,0.3
303,-,-,0.5
304,0.1,-,0.4
305,-,0.2,0.3
306,0.9,-,0.5
307,0.8,0.2,0.3
308,0.2,0.3,0.3
309,0.1,-,0.6
310,-,-,0.6
311,0.2,-,0.4
312,-,-,0.3
313,-,-,-
314,0.3,0.8,0.5
315,0.5,-,0.3
316,-,-,0.6
317,0.2,0.2,0.8
318,0.2,-,0.4
319,-,-,0.9
320,-,-,-
321,0.1,0.2,0.5
322,0.6,0.1,0.1
323,0.3,0.3,0.2
324,-,0.1,0.5
325,0.1,0.1,0.5
326,-,-,0.4
327,-,-,0.6
328,0.4,0.1,0.2
329,0.4,0.3,0.2
330,0.2,0.4,0.8
331,0.3,0.1,0.7
332,0.1,-,0.2
333,0.2,0.1,0.9
334,0.1,-,0.5
335,0.1,0.1,0.7
336,0.5,0.2,0.3
337,-,0.5,0.5
338,1.1,-,0.4
339,0.8,-,-
340,0.3,0.3,0.5
341,-,0.2,0.7
342,0.3,0.3,1.3
343,-,-,0.4
344,-,-,0.3
345,0.3,0.4,0.6
346,-,0.1,0.2
347,-,-,0.4
348,-,-,0.4
349,-,0.1,0.7
350,0.1,0.1,0.4
351,-,-,0.3
352,0.3,0.2,0.3
353,0.1,-,0.5
354,0.5,-,0.3
355,0.1,-,0.8
356,0.5,0.1,0.2
357,0.3,0.1,0.5
358,0.1,-,0.5
359,-,-,-
360,-,0.1,0.2
361,0.4,-,0.5
