,Age,Height,Market_Value,Months_left,Sub_app,Mins,Goals,Assists,PS%,MotM,Rating,CrAss,CorAss,ThrbAss,FreAss,OthAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,Fouled,Fouls,SYBGs,PAGs,OOBGs,TotInt,COF,UnTch,Dispo,SYBSh,Card,League_EPL,League_Laliga,League_Ligue1,League_SerieA,Foot_left,Foot_right,Position_Group_Tiền vệ,Position_Group_Tiền đạo,Continent_Grouped_Europe,Continent_Grouped_Other,Club_Group_Lower Tier,Club_Group_Mid-High Tier,Club_Group_Mid-Tier,Club_Group_Top Tier,Club_Group_Upper Tier
189,23.0,192.0,0.2,25.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
190,25.0,188.0,5.0,37.0,1.0,765.0,0.0,0.0,72.1,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.6,0.1,0.0,3.4,0.4,1.0,0.0,0.0,0.0,1.3,0.1,1.0,0.1,0.1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
191,25.0,183.0,7.0,1.0,0.0,658.0,0.0,0.0,83.3,1.0,6.89,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.8,0.0,0.1,10.0,0.5,1.9,0.0,0.0,0.0,0.6,0.1,0.1,0.1,0.1,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
192,30.0,189.0,22.0,13.0,11.0,1176.0,4.0,1.0,90.8,0.0,6.79,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7,0.1,0.0,0.9,0.4,0.5,0.0,0.1,0.1,0.7,0.0,0.2,0.2,0.0,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
193,31.0,171.0,2.0,13.0,14.0,937.0,2.0,1.0,86.8,0.0,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.4,0.8,0.5,0.0,0.0,0.0,0.6,0.1,0.5,0.0,0.0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
194,23.0,181.0,5.0,37.0,1.0,857.0,1.0,2.0,83.3,0.0,6.68,0.1,0.0,0.0,0.0,0.1,0.4,0.3,0.9,0.0,0.1,2.9,0.0,0.5,0.0,0.1,0.0,1.2,0.1,0.5,0.3,0.0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
195,29.0,183.0,38.0,1.0,11.0,1487.0,10.0,4.0,86.7,1.0,7.03,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.1,0.0,0.1,0.9,0.6,0.1,0.2,0.0,0.2,0.2,2.1,1.0,0.2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
196,34.0,176.0,0.5,1.0,11.0,1135.0,0.0,1.0,82.5,0.0,6.24,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.7,0.9,0.4,0.0,0.0,0.0,0.9,0.0,0.5,0.2,0.0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
197,27.0,178.0,20.0,37.0,4.0,164.0,2.0,0.0,68.8,0.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.3,0.7,0.8,0.0,0.3,0.0,0.0,0.0,0.5,0.8,0.0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
198,25.0,177.0,60.0,37.0,4.0,2297.0,9.0,5.0,66.5,1.0,6.8,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.6,0.1,0.0,0.3,2.4,0.9,0.0,0.2,0.1,0.2,0.8,2.6,0.9,0.1,5,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
199,21.0,187.0,6.0,49.0,1.0,87.0,0.0,0.0,86.4,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
200,23.0,184.0,1.3,25.0,14.0,725.0,1.0,0.0,73.5,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.4,0.2,0.0,1.1,0.4,1.0,0.0,0.0,0.0,0.2,0.0,0.5,0.1,0.0,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
201,21.0,184.0,7.0,13.0,15.0,952.0,0.0,2.0,81.2,0.0,6.38,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.6,0.1,0.0,1.4,0.3,0.3,0.0,0.0,0.0,0.4,0.0,0.6,0.4,0.0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
202,24.0,192.0,0.75,1.0,0.0,450.0,0.0,0.0,59.9,0.0,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
