,TotSh,OOBSh,SYBSh,PASh
205,1,0.2,-,0.8
206,0.4,0.3,0.1,0.1
207,0.4,-,-,0.3
208,1,-,0.5,0.5
209,-,-,-,-
210,0.8,0.3,0.1,0.5
211,0.2,-,-,0.2
212,1.8,0.5,0.1,1.2
213,1,0.3,-,0.7
214,0.4,0.1,0.1,0.2
215,1,0.2,0.1,0.8
216,0.7,0.2,-,0.5
217,-,-,-,-
218,0.5,-,-,0.5
219,0.7,0.4,0.1,0.3
220,1.6,0.9,-,0.7
221,-,-,-,-
222,0.5,0.1,0.2,0.3
223,0.6,0.4,-,0.2
224,0.6,0.2,-,0.4
225,-,-,-,-
226,0.8,0.6,-,0.2
227,0.1,0.1,-,-
228,0.6,0.3,-,0.4
229,0.6,0.4,-,0.2
230,1.4,0.6,-,0.8
231,0.7,0.2,-,0.4
232,1.4,0.5,0.1,0.9
233,0.4,0.1,0.2,0.2
234,1.2,0.4,0.1,0.7
235,0.5,0.2,-,0.4
236,0.9,0.4,0.1,0.4
237,-,-,-,-
238,1.3,0.6,-,0.7
239,0.3,0.1,-,0.2
240,1.6,0.1,0.2,1.3
241,2.5,0.5,0.4,1.7
242,0.2,0.1,-,0.1
243,1.4,0.2,0.1,1.1
244,1.5,0.3,0.3,0.8
245,1.4,0.1,0.2,1.1
246,-,-,-,-
247,1.7,0.3,0.3,1.1
248,0.3,0.2,-,0.2
249,0.4,-,0.1,0.3
250,0.5,0.3,-,0.3
251,2.7,0.4,0.3,1.9
252,0.3,0.1,-,0.2
253,1.2,0.4,0.1,0.7
254,1.1,0.6,-,0.5
255,-,-,-,-
256,1.6,0.5,-,1.2
257,0.6,0.4,-,0.3
258,1.1,0.3,0.1,0.8
259,1.4,0.2,0.2,1
260,1.5,0.2,0.3,1
261,0.6,0.2,0.1,0.2
262,1.5,0.7,-,0.8
263,0.5,0.1,-,0.5
264,0.3,0.1,0.1,0.1
265,1.2,0.7,-,0.5
266,0.3,-,0.1,0.2
267,0.7,0.4,-,0.3
