,TotClr
0,1
1,4
2,-
3,3
4,0.1
5,0.4
6,0.2
7,0.2
8,2.2
9,0.6
10,0.3
11,0.1
12,2.4
13,0.3
14,4.6
15,0.7
16,0.4
17,0.9
18,0.2
19,0.3
20,1.2
21,0.1
22,1.5
23,1.8
24,6.6
25,1
26,1.9
27,1.1
28,0.4
29,4.3
30,1.1
31,0.8
32,0.1
33,0.4
34,1.4
35,5
36,0.6
37,1
38,4.5
39,1
40,1
41,0.7
42,0.5
43,0.3
44,1.6
45,1.3
46,0.6
47,1.3
48,2.2
49,0.1
50,1.1
51,4.1
52,0.4
53,7.2
54,2
55,0.9
56,2
57,1.4
58,4.7
59,0.2
60,6
61,5
62,1.1
63,0.8
64,0.6
65,2.8
66,4
67,0.8
68,2.7
69,6
70,0.6
71,0.9
72,0.3
73,2.1
74,3.9
75,4.3
76,3.1
77,0.7
78,0.9
79,0.4
80,1.3
81,1.7
82,1.5
83,1.1
84,4.7
85,1.5
86,1.5
87,1.3
88,0.2
89,0.3
90,0.9
91,0.9
92,1.4
93,-
94,1.6
95,0.1
96,1.7
97,7
98,0.9
99,-
100,0.4
101,2.7
102,2.4
103,0.2
104,3.5
105,2.3
106,2.5
107,0.3
108,1.5
109,1.2
110,4.4
111,0.4
112,1.2
113,2.1
114,1
115,2.6
116,0.7
117,5.7
118,2.8
119,0.6
120,2.7
121,1.3
122,0.5
123,0.1
124,1.8
125,0.5
126,6
127,1.4
128,6.1
129,4.5
130,3.1
131,1.7
132,0.6
133,5.2
134,0.7
135,4.4
136,6.2
137,1.8
138,1
139,0.9
140,5.6
141,2.2
142,0.8
143,0.4
144,0.7
145,1.5
146,3.6
147,0.9
148,4.1
149,1.1
150,0.2
151,4.2
152,1.4
153,2.6
154,4.3
155,0.6
156,0.5
157,4.8
158,1
159,2.4
160,4.9
161,0.3
162,0.1
163,5.8
164,0.6
165,4.5
166,0.7
167,4
168,1.7
169,0.1
170,2
171,0.7
172,4.1
173,0.2
174,1.7
175,1.2
176,1.1
177,0.5
178,0.2
179,0.1
180,0.5
181,0.2
182,2.1
183,4.4
184,0.3
185,0.3
186,0.5
187,2
188,0.2
189,1.2
190,1.6
191,1.2
192,3
193,1.5
194,6.4
195,0.3
196,0.8
197,2.2
198,3.8
199,1
200,4.2
201,0.2
202,1.9
203,3.5
204,1.2
205,1.1
206,0.9
207,2.9
208,0.8
209,0.8
210,0.2
211,3
212,0.2
213,0.5
214,1.9
215,0.2
216,0.5
217,1.2
218,-
219,0.4
220,0.5
221,0.9
222,3.2
223,1.7
224,1.4
225,0.7
226,0.7
227,2.7
228,0.9
229,1
230,0.4
231,0.8
232,0.1
233,0.9
234,0.3
235,2.7
236,0.9
237,1.2
238,0.2
239,2.4
240,0.5
241,0.3
