,UnDrib,SucDrib,TotDrib
248,0.2,0.5,0.6
249,0.3,0.5,0.8
250,0.6,0.6,1.2
251,1.1,0.8,1.9
252,0.9,0.6,1.6
253,0.8,0.6,1.5
254,0.8,0.5,1.3
255,0.5,0.6,1.2
256,0.9,0.8,1.7
257,0.9,1.3,2.1
258,1.5,0.7,2.2
259,1.1,0.8,1.9
260,0.7,0.3,1
261,0.3,0.3,0.6
262,0.2,0.5,0.7
263,0.7,0.3,1
264,0.3,0.4,0.8
265,0.7,0.6,1.3
266,-,0.1,0.2
267,1,0.8,1.8
268,0.3,0.4,0.7
269,0.5,0.2,0.7
270,1,0.9,1.9
271,1.2,0.8,2
272,0.4,0.4,0.8
273,0.3,0.2,0.4
274,0.6,0.5,1.1
275,0.5,0.4,0.9
276,-,0.3,0.3
277,0.3,-,0.3
278,0.3,0.2,0.6
279,0.3,0.3,0.5
280,1.2,1.3,2.5
281,0.7,0.4,1.1
282,0.6,0.4,1
283,-,-,-
284,1.1,0.7,1.8
285,1.2,0.5,1.7
286,1.5,0.8,2.4
287,0.3,0.4,0.7
288,-,0.1,0.1
289,0.5,0.5,1
290,0.4,0.4,0.7
291,-,0.1,0.1
292,0.7,0.5,1.2
293,0.4,0.3,0.7
294,0.1,-,0.1
295,0.5,0.2,0.6
296,0.5,0.5,1
297,0.7,0.8,1.5
298,-,-,-
299,0.1,0.3,0.4
300,0.1,0.2,0.3
301,0.5,0.2,0.7
302,-,-,-
303,0.3,0.4,0.7
304,1.3,1,2.3
305,1.3,1.3,2.5
306,0.6,0.2,0.8
307,-,-,-
308,-,-,-
309,0.5,0.3,0.8
310,0.5,0.3,0.8
311,0.3,-,0.3
312,0.8,0.6,1.4
313,1,-,1
314,1,0.3,1.3
315,0.7,0.9,1.6
316,0.1,0.1,0.2
317,0.1,0.2,0.3
318,0.5,0.5,1
319,0.5,0.5,1
320,0.8,0.8,1.6
321,-,0.3,0.3
322,0.6,0.3,1
323,1.1,1.1,2.3
324,0.2,0.3,0.5
325,0.5,0.4,0.9
326,0.5,0.6,1.2
327,-,0.1,0.1
328,0.2,0.6,0.7
329,0.6,0.8,1.4
330,0.5,0.1,0.6
331,0.3,0.3,0.6
332,0.4,0.1,0.5
333,0.5,0.3,0.8
334,0.4,0.5,0.9
335,0.2,0.2,0.3
336,0.4,0.2,0.5
337,0.5,0.7,1.2
338,-,-,-
339,0.1,0.2,0.3
340,0.3,0.2,0.5
341,1.3,0.8,2.1
342,0.2,0.1,0.3
343,0.5,0.2,0.6
344,0.4,0.1,0.5
345,1.3,0.6,1.9
346,-,-,-
347,0.1,0.1,0.2
348,0.3,0.5,0.8
349,0.4,0.3,0.7
350,0.3,-,0.3
351,1,1,2
352,1.1,0.4,1.6
353,-,-,-
354,-,-,-
355,0.2,0.1,0.4
356,0.3,0.4,0.8
357,-,0.1,0.1
358,1,0.3,1.3
359,0.9,0.5,1.4
360,0.6,0.1,0.7
361,0.3,0.3,0.7
362,-,-,-
363,0.7,0.5,1.1
364,-,-,-
365,0.5,-,0.5
366,1,1.2,2.3
367,0.9,0.1,1
368,0.8,0.8,1.6
369,-,-,-
370,0.5,0.4,0.9
371,0.8,0.3,1
372,0.6,0.4,0.9
373,0.5,0.1,0.6
374,0.1,-,0.1
375,0.4,0.2,0.6
376,1.8,1.1,2.9
377,0.3,0.2,0.5
378,0.4,0.3,0.6
379,0.4,0.1,0.5
380,0.8,0.3,1
381,1.2,0.5,1.7
382,1,-,1
383,-,0.1,0.1
384,-,-,-
385,0.1,0.1,0.2
386,0.9,0.4,1.3
387,0.9,0.5,1.4
388,0.2,-,0.2
389,1,1,2
390,-,-,-
391,-,0.3,0.3
392,0.1,-,0.1
393,-,0.5,0.5
394,0.3,0.1,0.4
395,0.9,0.5,1.5
396,0.1,0.4,0.4
397,1.1,0.3,1.4
398,0.5,0.3,0.8
399,0.5,0.2,0.7
400,0.5,0.3,0.8
401,-,0.5,0.5
402,1,0.4,1.4
403,1.2,0.7,1.9
404,0.8,0.4,1.3
405,0.2,0.2,0.3
406,0.1,0.1,0.3
407,0.5,0.4,0.9
408,0.3,0.3,0.5
409,-,-,-
410,0.1,0.1,0.2
411,0.3,0.5,0.8
412,1.3,0.9,2.2
413,0.1,0.1,0.3
414,0.2,0.3,0.6
415,0.8,1,1.8
416,0.1,0.1,0.1
417,0.6,0.2,0.8
418,1,-,1
419,-,1,1
420,0.1,0.3,0.4
421,0.8,-,0.8
422,0.5,0.3,0.8
423,1,0.9,1.9
424,0.3,0.3,0.5
425,0.6,0.4,1
426,1.1,0.3,1.3
427,1.4,1.1,2.5
428,-,-,-
429,0.3,0.4,0.7
430,0.7,0.1,0.8
431,-,-,-
432,0.7,0.5,1.2
433,0.4,-,0.4
434,1,0.4,1.4
435,-,-,-
436,-,-,-
437,0.5,0.8,1.3
438,0.1,0.1,0.3
439,-,-,-
440,-,-,-
441,0.8,0.3,1
442,0.4,0.1,0.6
443,-,0.1,0.1
444,0.2,-,0.2
445,0.6,0.3,0.9
446,1,1,2
447,0.5,-,0.5
448,0.1,0.2,0.3
449,-,0.5,0.5
450,1,-,1
451,0.2,-,0.2
452,1.5,-,1.5
453,-,0.5,0.5
454,0.3,0.3,0.5
455,-,-,-
456,0.5,0.5,1
457,0.3,0.3,0.7
458,-,-,-
459,-,1,1
460,0.7,0.1,0.8
461,2.3,0.8,3.2
462,0.1,0.2,0.2
463,0.5,0.2,0.6
464,0.2,0.5,0.6
465,0.3,-,0.3
466,-,-,-
467,0.1,0.3,0.4
468,-,-,-
469,1,-,1
470,-,-,-
471,0.2,0.2,0.3
472,0.5,0.5,1
473,-,-,-
474,-,-,-
475,0.6,0.2,0.8
476,0.5,-,0.5
477,0.6,0.4,1
478,-,0.5,0.5
479,0.3,-,0.3
480,-,-,-
481,3,-,3
482,0.3,-,0.3
483,0.2,0.2,0.3
484,-,-,-
485,0.1,0.3,0.4
486,0.4,0.2,0.6
