,TotInt
0,2
1,2
2,0.3
3,1
4,-
5,0.3
6,0.3
7,0.3
8,0.8
9,1.2
10,0.6
11,0.4
12,1.8
13,0.4
14,2.3
15,0.8
16,0.5
17,0.4
18,0.2
19,0.5
20,0.7
21,0.1
22,-
23,1.7
24,0.8
25,-
26,1.1
27,0.8
28,0.4
29,1.8
30,1.5
31,0.2
32,0.3
33,0.4
34,0.9
35,1.7
36,0.2
37,0.3
38,1.4
39,1
40,-
41,1.2
42,0.3
43,0.1
44,0.8
45,1.1
46,0.5
47,1.3
48,1.5
49,-
50,-
51,1.3
52,0.4
53,1.5
54,1.5
55,-
56,-
57,0.7
58,1.1
59,0.3
60,1
61,0.9
62,1.3
63,1
64,-
65,0.5
66,1.8
67,-
68,1.7
69,0.9
70,0.3
71,0.6
72,0.6
73,1.2
74,1.6
75,2
76,1.5
77,-
78,-
79,0.4
80,1.2
81,1.3
82,1.4
83,-
84,0.9
85,1.1
86,1.3
87,0.9
88,0.3
89,1
90,0.9
91,0.6
92,-
93,0.4
94,0.9
95,0.9
96,0.7
97,1.7
98,-
99,-
100,0.8
101,1.3
102,0.5
103,-
104,1.1
105,0.7
106,0.9
107,0.1
108,0.9
109,1
110,2.1
111,0.1
112,0.6
113,0.9
114,-
115,1.7
116,0.8
117,1.2
118,0.6
119,0.4
120,1.8
121,0.6
122,0.3
123,0.3
124,0.8
125,0.1
126,1.1
127,1.2
128,1
129,1.4
130,0.9
131,1.1
132,-
133,0.9
134,0.5
135,1
136,0.4
137,1.1
138,0.3
139,0.9
140,1.1
141,0.6
142,0.4
143,0.3
144,0.7
145,0.9
146,1.4
147,0.5
148,1.4
149,1.3
150,0.3
151,1
152,0.4
153,0.9
154,0.9
155,0.2
156,0.7
157,1.4
158,0.1
159,1.5
160,0.9
161,0.5
162,0.3
163,1
164,0.1
165,1.3
166,0.6
167,-
168,0.8
169,0.4
170,1.6
171,-
172,0.6
173,0.2
174,1.1
175,1.3
176,-
177,0.3
178,0.6
179,0.2
180,0.5
181,0.3
182,0.8
183,0.8
184,-
185,0.3
186,-
187,1.2
188,0.3
189,1.6
190,0.8
191,-
192,0.6
193,0.8
194,1.2
195,0.1
196,0.4
197,0.7
198,1.5
199,2
200,0.8
201,0.1
202,1.3
203,0.9
204,0.6
205,0.2
206,1.2
207,1.4
208,0.3
209,-
210,0.1
211,1.3
212,0.2
213,0.5
214,0.3
215,0.2
216,0.5
217,-
218,-
219,0.9
220,0.4
221,-
222,1.2
223,1.1
224,0.6
225,-
226,0.7
227,1
228,0.9
229,0.7
230,0.3
231,0.7
232,0.2
233,0.4
234,0.3
235,1.1
236,0.6
237,-
238,0.2
239,1.1
240,-
241,0.3
242,0.4
243,0.4
244,0.3
245,0.2
246,0.5
247,0.1
248,0.7
249,1.1
250,1.1
251,0.1
252,0.6
253,0.2
254,0.3
255,0.5
256,0.1
257,-
258,0.2
259,0.2
260,-
261,1
262,0.4
263,0.4
264,0.5
265,0.2
266,0.6
267,1
268,0.4
269,1
270,0.1
271,0.8
272,0.8
273,1.3
274,1.1
275,0.8
276,0.9
277,0.7
278,0.9
279,0.9
280,0.4
281,0.7
282,0.7
283,-
284,0.2
285,0.1
286,0.1
287,0.3
288,0.9
289,-
290,-
291,1.6
292,0.3
293,0.1
294,0.7
295,0.8
296,1
297,0.8
298,-
299,0.8
300,0.2
301,0.1
302,1.1
303,0.6
304,0.2
305,0.4
306,0.1
307,-
308,1.3
309,0.3
310,0.5
311,0.9
312,-
313,1
314,0.1
315,0.5
316,1.2
317,0.8
318,0.4
319,0.5
320,0.6
321,0.7
322,0.3
323,0.7
324,0.7
325,0.4
326,0.6
327,1
328,0.6
329,0.4
330,0.6
331,0.5
332,1.2
333,0.1
334,0.3
335,0.6
336,0.5
337,0.7
338,-
339,1.6
340,0.1
341,0.2
342,0.1
343,-
344,0.5
345,1
346,-
347,0.6
348,0.5
349,0.2
350,0.6
351,0.3
352,0.3
353,-
354,1
355,0.7
356,0.4
357,-
358,0.3
359,0.6
360,0.1
361,0.8
362,-
363,0.5
364,1
365,-
366,0.5
367,-
368,0.4
369,0.3
370,0.1
371,0.5
372,1.4
373,0.1
374,0.1
375,0.1
376,0.4
377,0.9
378,0.1
379,0.7
380,1
381,0.4
382,0.3
383,1
384,1
385,1
386,0.1
387,0.1
388,0.8
389,-
