,Name,Club,Age,Height,National,Positions
58,Guéla Doué,Strasbourg,22 years old (17-10-2002),187cm,France,"Defender (Centre, Right)"
59,Hákon Haraldsson,Lille,22 years old (10-04-2003),180cm,,"Attacking Midfielder (Centre, Left, Right), Forward"
60,Charlie Cresswell,Toulouse,22 years old (17-08-2002),187cm,England,Defender (Centre)
61,Youssouf Ndayishimiye,Nice,26 years old (27-10-1998),183cm,Burundi,"Defender (Centre), Defensive Midfielder (C)"
62,Cristian Cásseres,Toulouse,25 years old (20-01-2000),176cm,Venezuela,"Midfielder (Centre, Right)"
63,Mahdi Camara,Brest,26 years old (30-06-1998),178cm,France,"Defender (Centre, Right), Midfielder (Centre)"
64,Patrik Carlgren,Nantes,33 years old (08-01-1992),188cm,Sweden,Goalkeeper
65,Marquinhos,Paris Saint-Germain,30 years old (14-05-1994),183cm,Brazil,"Defender (Centre, Right), Defensive Midfielder (C)"
66,Wilfried Singo,Monaco,24 years old (25-12-2000),190cm,Ivory Coast,"Defender (Centre, Right), Midfielder (Right)"
67,Marcin Bulka,Nice,25 years old (04-10-1999),199cm,Poland,Goalkeeper
68,Gideon Mensah,Auxerre,26 years old (18-07-1998),178cm,Ghana,"Defender (Left), Midfielder (Left)"
69,Anthony Rouault,Rennes,23 years old (29-05-2001),186cm,France,Defender (Centre)
70,Tiago Santos,Lille,22 years old (23-07-2002),175cm,,Defender (Right)
71,Fabián Ruiz,Paris Saint-Germain,29 years old (03-04-1996),189cm,Spain,"Midfielder (Centre, Left)"
72,Aleksandr Golovin,Monaco,28 years old (30-05-1996),178cm,Russia,"Midfielder (Centre, Left, Right)"
73,Melvin Bard,Nice,24 years old (06-11-2000),173cm,France,"Defender (Centre, Left), Midfielder (Left)"
74,Juma Bah,Lens,19 years old (11-04-2006),195cm,,Defender (Centre)
75,Abdukodir Khusanov,Manchester City,21 years old (29-02-2004),186cm,Uzbekistan,Defender (Centre)
76,Willian Pacho,Paris Saint-Germain,23 years old (16-10-2001),188cm,Ecuador,Defender (Centre)
77,Mathew Ryan,Lens,33 years old (08-04-1992),184cm,Australia,Goalkeeper
78,Yahia Fofana,Angers,24 years old (21-08-2000),194cm,Ivory Coast,Goalkeeper
79,Zuriko Davitashvili,Saint-Etienne,24 years old (15-02-2001),175cm,Georgia,"Attacking Midfielder (Centre, Left, Right)"
80,Gabriel Suazo,Toulouse,27 years old (09-08-1997),178cm,Chile,"Defender (Left), Midfielder (Left)"
81,Azor Matusiwa,Rennes,27 years old (28-04-1998),173cm,Netherlands,Defensive Midfielder (C)
82,Baptiste Santamaría,Nice,30 years old (09-03-1995),183cm,France,Defensive Midfielder (C)
