,Name,Club,Age,Height,National,Positions
262,Thiago Almada,Lyon,24 years old (26-04-2001),171cm,Argentina,"Attacking Midfielder (Centre, Left, Right), Forward"
263,Louis Leroux,Nantes,19 years old (23-01-2006),184cm,,Midfielder (Centre)
264,Emmanuel Biumla,Angers,19 years old (08-05-2005),185cm,,Defender (Centre)
265,Anass Zaroury,Lens,24 years old (07-11-2000),176cm,Morocco,"Attacking Midfielder (Centre, Left), Forward"
266,Aïssa Mandi,Lille,33 years old (22-10-1991),184cm,Algeria,"Defender (Centre, Left, Right)"
267,Rabby Nzingoula,Montpellier,19 years old (25-11-2005),183cm,,Defensive Midfielder (C)
268,Kelvin Amian,Nantes,27 years old (08-02-1998),180cm,France,"Defender (Centre, Left, Right), Midfielder (Right)"
269,Nicolas Cozza,Nantes,26 years old (08-01-1999),178cm,France,"Defender (Centre, Left), Midfielder (Left)"
270,Rémy Labeau Lascary,Lens,22 years old (03-03-2003),184cm,,Forward
271,Maxence Caqueret,Como,25 years old (15-02-2000),174cm,France,Midfielder (Centre)
272,Tanner Tessmann,Lyon,23 years old (24-09-2001),188cm,USA,Defensive Midfielder (C)
273,Mickaël Nadé,Saint-Etienne,26 years old (04-03-1999),186cm,France,Defender (Centre)
274,Mahamadou Diawara,Le Havre,20 years old (17-02-2005),187cm,France,Midfielder (Centre)
275,Aurélio Buta,Reims,28 years old (10-02-1997),172cm,Portugal,"Defender (Right), Midfielder (Right)"
276,Nikola Maksimovic,Montpellier,33 years old (25-11-1991),193cm,Serbia,"Defender (Centre, Right), Midfielder (Right)"
277,Soumaïla Coulibaly,Brest,21 years old (14-10-2003),191cm,France,Defender (Centre)
278,Jean-Kévin Duverne,Kortrijk,27 years old (12-07-1997),184cm,France,"Defender (Centre, Left, Right)"
279,Enzo Tchato,Montpellier,22 years old (23-11-2002),182cm,Cameroon,"Defender (Right), Midfielder (Right)"
280,Andy Diouf,Lens,21 years old (17-05-2003),187cm,France,Midfielder (Centre)
281,Mahamadou Nagida,Rennes,19 years old (28-06-2005),176cm,Cameroon,Midfielder (Left)
282,Yassine Kechta,Le Havre,23 years old (25-02-2002),174cm,Morocco,Midfielder (Centre)
283,Benjamin Lecomte,Montpellier,34 years old (26-04-1991),186cm,France,Goalkeeper
284,M'Bala Nzola,Lens,28 years old (18-08-1996),185cm,Angola,Forward
285,Angelo Fulgini,Lens,28 years old (20-08-1996),183cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
286,Oumar Diakité,Reims,21 years old (20-12-2003),182cm,Ivory Coast,Forward
287,Ismaël Koné,Rennes,22 years old (16-06-2002),188cm,Canada,Midfielder (Centre)
288,Jean-Charles Castelletto,Nantes,30 years old (26-01-1995),186cm,Cameroon,"Defender (Centre, Right)"
289,Lasso Coulibaly,Auxerre,22 years old (19-10-2002),186cm,Ivory Coast,Midfielder
290,Angel Gomes,Lille,24 years old (31-08-2000),168cm,England,"Midfielder (Centre, Left), Forward"
291,Ümit Akdag,Toulouse,21 years old (06-10-2003),192cm,Turkey,Defender (Centre)
292,André Gomes,Lille,31 years old (30-07-1993),188cm,Portugal,"Midfielder (Centre, Left, Right)"
293,Neal Maupay,Marseille,28 years old (14-08-1996),173cm,France,"Attacking Midfielder (Centre), Forward"
294,Derek Cornelius,Marseille,27 years old (25-11-1997),188cm,Canada,Defender (Centre)
295,Rafik Messali,Toulouse,22 years old (28-04-2003),177cm,,Midfielder (Right)
296,Loïc Nego,Le Havre,34 years old (15-01-1991),181cm,Hungary,"Defender (Right), Midfielder (Centre, Right)"
297,Dennis Appiah,Saint-Etienne,32 years old (09-06-1992),179cm,France,"Defender (Centre, Left, Right), Midfielder (Right)"
298,Arthur Desmas,Le Havre,31 years old (07-04-1994),196cm,France,Goalkeeper
299,Yoann Salmier,Clermont Foot,32 years old (21-11-1992),188cm,France,"Defender (Centre, Right)"
300,Jordan Veretout,Lyon,32 years old (01-03-1993),177cm,France,Midfielder (Centre)
301,Estéban Lepaul,Angers,25 years old (18-04-2000),177cm,France,Forward
302,Kiki Kouyaté,Montpellier,28 years old (15-04-1997),192cm,Mali,Defender (Centre)
303,Hamzat Ojediran,Lens,21 years old (14-11-2003),172cm,Nigeria,Midfielder
304,Mamadou Diakhon,Reims,19 years old (22-09-2005),180cm,France,Forward
305,Antoine Joujou,Le Havre,22 years old (12-03-2003),189cm,France,Attacking Midfielder (Left)
306,Elye Wahi,Eintracht Frankfurt,22 years old (02-01-2003),184cm,France,"Attacking Midfielder (Left), Forward"
307,Dimitry Bertaud,Montpellier,26 years old (06-06-1998),180cm,France,Goalkeeper
308,Cédric Hountondji,Angers,31 years old (19-01-1994),194cm,France,Defender (Centre)
309,Antoine Mendy,Nice,20 years old (27-05-2004),187cm,France,"Defender (Centre, Right)"
310,Hugo Magnetti,Brest,26 years old (30-05-1998),180cm,France,Defensive Midfielder (C)
311,Lucas Mincarelli,Montpellier,21 years old (05-01-2004),180cm,,Defender (Left)
312,Jonathan Rowe,Marseille,22 years old (30-04-2003),178cm,England,"Attacking Midfielder (Centre, Left, Right)"
313,Marwann N'Zuzi,Saint-Etienne,20 years old (16-05-2004),175cm,France,Defender
314,Folarin Balogun,Monaco,23 years old (03-07-2001),178cm,USA,Forward
315,Lilian Raolisoa,Angers,24 years old (16-06-2000),178cm,France,Defender (Right)
316,Malang Sarr,Lens,26 years old (23-01-1999),183cm,France,"Defender (Centre, Left)"
317,Daler Kuzyaev,Le Havre,32 years old (15-01-1993),182cm,Russia,"Defender (Right), Midfielder (Centre, Left, Right)"
318,Rayan Raveloson,BSC Young Boys,28 years old (16-01-1997),182cm,Madagascar,"Defender (Centre, Right), Defensive Midfielder (C)"
319,Louis Mouton,Saint-Etienne,22 years old (03-06-2002),189cm,France,Midfielder (Centre)
320,Timothée Pembélé,Le Havre,22 years old (09-09-2002),183cm,France,"Defender (Centre, Right), Midfielder (Right)"
321,Yoram Zague,Paris Saint-Germain,18 years old (15-05-2006),168cm,,Defender
322,Sorba Thomas,Nantes,26 years old (25-01-1999),185cm,Wales,"Defender (Right), Midfielder (Centre, Left, Right), Forward"
323,Benjamin Bouchouari,Saint-Etienne,23 years old (13-11-2001),165cm,Netherlands,Midfielder (Centre)
324,Jaydee Canvot,Toulouse,18 years old (29-07-2006),188cm,,Defensive Midfielder (C)
325,Zinedine Ferhat,Angers,32 years old (01-03-1993),183cm,Algeria,"Midfielder (Left, Right)"
326,Jordan Amavi,Brest,31 years old (09-03-1994),176cm,France,"Defender (Left), Midfielder (Left)"
327,Abdoulaye Bamba,Angers,35 years old (25-04-1990),182cm,Ivory Coast,"Defender (Centre, Left, Right), Midfielder (Right)"
328,Becir Omeragic,Montpellier,23 years old (20-01-2002),187cm,Switzerland,"Defender (Centre), Defensive Midfielder (C)"
329,Augustine Boakye,Saint-Etienne,24 years old (03-11-2000),178cm,Ghana,Attacking Midfielder (Right)
330,Florian Tardieu,Saint-Etienne,33 years old (22-04-1992),181cm,France,Defensive Midfielder (C)
331,Glen Kamara,Al Shabab,29 years old (28-10-1995),181cm,Finland,Midfielder (Centre)
332,Baptiste Santamaría,Nice,30 years old (09-03-1995),183cm,France,Defensive Midfielder (C)
333,Ado Onaiwu,Auxerre,29 years old (08-11-1995),180cm,Japan,Forward
334,Warren Kamanzi,Toulouse,24 years old (11-11-2000),177cm,Norway,"Defender (Right), Midfielder (Right)"
335,Abakar Sylla,Strasbourg,22 years old (25-12-2002),188cm,Ivory Coast,Defender (Centre)
336,Marcus Coco,Nantes,28 years old (24-06-1996),184cm,France,"Defender (Right), Midfielder (Left, Right), Forward"
337,Théo Sainte-Luce,Montpellier,26 years old (20-10-1998),176cm,France,Defender (Left)
338,Grégoire Coudert,Brest,26 years old (03-04-1999),188cm,France,Goalkeeper
339,Dylan Batubinsika,Saint-Etienne,29 years old (15-02-1996),188cm,France,Defender (Centre)
340,André Ayew,Le Havre,35 years old (17-12-1989),175cm,Ghana,"Midfielder (Centre, Left, Right), Forward"
341,Ibrahim Salah,Brest,23 years old (30-08-2001),185cm,,"Attacking Midfielder (Left), Forward"
342,Theo Bair,Auxerre,25 years old (27-08-1999),191cm,,"Attacking Midfielder (Centre, Right), Forward"
343,Youssoufa Moukoko,Nice,20 years old (20-11-2004),179cm,Germany,Forward
344,Rassoul Ndiaye,Le Havre,23 years old (11-12-2001),179cm,France,Midfielder (Centre)
345,Han-Noah Massengo,Auxerre,23 years old (07-07-2001),178cm,France,Midfielder (Centre)
346,Plamedi Nsingi,Nantes,24 years old (17-12-2000),189cm,France,Forward
347,Pedro Chirivella,Nantes,27 years old (23-05-1997),178cm,Spain,Defensive Midfielder (C)
348,Issiaga Sylla,Montpellier,31 years old (01-01-1994),180cm,Guinea,"Defender (Left, Right), Midfielder (Left)"
349,Jordan Teze,Monaco,25 years old (30-09-1999),183cm,Netherlands,"Defender (Centre, Right)"
350,Nampalys Mendy,Lens,32 years old (23-06-1992),168cm,Senegal,Midfielder (Centre)
351,Amar Dedic,Marseille,22 years old (18-08-2002),180cm,Bosnia-Herzegovina,"Defender (Right), Midfielder (Right)"
352,Fodé Ballo-Touré,Le Havre,28 years old (03-01-1997),182cm,Senegal,"Defender (Left), Midfielder (Left)"
353,Guillaume Restes,Toulouse,20 years old (11-03-2005),188cm,France,Goalkeeper
354,Malcolm Jeng,Reims,20 years old (09-03-2005),190cm,Sweden,Defender
355,Assane Dioussé,Auxerre,27 years old (20-09-1997),175cm,Senegal,Defensive Midfielder (C)
356,Hiroki Sekine,Reims,22 years old (11-08-2002),187cm,Japan,Defender (Right)
357,Steve Mandanda,Rennes,40 years old (28-03-1985),187cm,France,Goalkeeper
358,Ibrahim Mbaye,Paris Saint-Germain,17 years old (24-01-2008),185cm,France,Forward
359,John Patrick,Reims,21 years old (24-09-2003),192cm,Spain,Defensive Midfielder (C)
360,George Ilenikhena,Monaco,18 years old (16-08-2006),185cm,France,Forward
361,Joris Chotard,Montpellier,23 years old (24-09-2001),179cm,France,Defensive Midfielder (C)
362,Kjetil Haug,Toulouse,26 years old (12-06-1998),190cm,Norway,Goalkeeper
363,Mathieu Cafaro,Paris FC,28 years old (25-03-1997),178cm,France,"Attacking Midfielder (Centre, Left, Right)"
364,Hianga'a Mbock,Red Star,25 years old (28-12-1999),186cm,France,Defensive Midfielder (C)
365,Robinio Vaz,Marseille,18 years old (17-02-2007),185cm,,Forward
366,Tanguy Coulibaly,Montpellier,24 years old (18-02-2001),178cm,France,"Midfielder (Centre, Left, Right), Forward"
367,Mohamed Meïté,Rennes,17 years old (11-10-2007),191cm,,Forward
368,Khalil Fayad,Montpellier,20 years old (09-06-2004),172cm,France,"Midfielder (Centre, Left)"
369,Henrik Meister,Pisa,21 years old (13-11-2003),192cm,Denmark,Forward
370,Wesley Saïd,Lens,30 years old (19-04-1995),171cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
371,Ismaël Koné,Rennes,22 years old (16-06-2002),188cm,Canada,Midfielder (Centre)
372,Oussama Targhalline,Feyenoord,22 years old (20-05-2002),186cm,France,Midfielder (Centre)
373,Frank Magri,Toulouse,25 years old (04-09-1999),178cm,France,"Attacking Midfielder (Centre), Forward"
374,Niklas Schmidt,Toulouse,27 years old (01-03-1998),184cm,Germany,"Midfielder (Centre), Forward"
375,Ibrahim Sissoko,Saint-Etienne,29 years old (27-11-1995),192cm,Mali,Forward
376,Nicolas Pays,Montpellier,21 years old (07-07-2003),180cm,,Forward
377,Yunis Abdelhamid,Saint-Etienne,37 years old (28-09-1987),190cm,Morocco,Defender (Centre)
378,Bilal Nadir,Marseille,21 years old (28-11-2003),172cm,France,Attacking Midfielder (Centre)
379,Yassin Belkhdim,Angers,23 years old (14-02-2002),175cm,France,Midfielder (Centre)
380,Paul Joly,Auxerre,24 years old (07-06-2000),182cm,France,Defender (Right)
381,Jim Allevinah,Angers,30 years old (27-02-1995),172cm,Gabon,"Midfielder (Centre, Left, Right)"
382,Eliot Matazo,Hull,23 years old (15-02-2002),170cm,Belgium,Defensive Midfielder (C)
383,Étienne Youté,Le Havre,23 years old (14-01-2002),196cm,France,Defender (Centre)
384,Francis Coquelin,Nantes,33 years old (13-05-1991),176cm,France,"Midfielder (Centre, Left, Right)"
385,Edimilson Fernandes,Brest,29 years old (15-04-1996),186cm,Switzerland,"Defender (Centre, Right), Midfielder (Centre, Right)"
386,Shavy Babicka,Toulouse,24 years old (01-06-2000),179cm,Gabon,"Attacking Midfielder (Centre), Forward"
387,Andrés Gómez,Rennes,22 years old (12-09-2002),171cm,Colombia,Attacking Midfielder (Right)
388,Thibault De Smet,Paris FC,26 years old (05-06-1998),183cm,Belgium,"Defender (Left), Midfielder (Left)"
389,Mamadou Coulibaly,Monaco,21 years old (21-04-2004),180cm,France,Midfielder
390,Théo Pellenard,Laval,31 years old (04-03-1994),184cm,France,Defender (Left)
391,Yaël Nandjou,Nice,19 years old (06-07-2005),185cm,France,Defender
392,Fredrik Oppegård,Auxerre,22 years old (07-08-2002),175cm,Norway,Defender (Left)
393,Yael Mouanga,Montpellier,19 years old (23-07-2005),183cm,,Defender (Centre)
394,Denis Genreau,Deportivo La Coruna,25 years old (21-05-1999),175cm,Australia,Attacking Midfielder (Centre)
395,Herba Guirassy,Nantes,18 years old (29-08-2006),177cm,,Forward
396,Krépin Diatta,Monaco,26 years old (25-02-1999),175cm,Senegal,"Defender (Left, Right), Midfielder (Centre, Left, Right), Forward"
397,Meschack Elia,Nantes,27 years old (06-08-1997),173cm,DR Congo,"Attacking Midfielder (Right), Forward"
398,Ethan Mbappé,Lille,18 years old (29-12-2006),176cm,France,Midfielder
399,Teddy Teuma,Reims,31 years old (30-09-1993),176cm,Malta,Attacking Midfielder (Centre)
400,Ibrahima Niane,Angers,26 years old (11-03-1999),187cm,Senegal,"Attacking Midfielder (Left), Forward"
401,Amidou Doumbouya,Nice,17 years old (05-08-2007),182cm,,Defender
402,Jota,Celtic,26 years old (30-03-1999),175cm,Portugal,"Attacking Midfielder (Left, Right)"
403,Emmanuel Sabbi,Vancouver Whitecaps,27 years old (24-12-1997),178cm,USA,"Attacking Midfielder (Centre, Left, Right), Forward"
404,Kassoum Ouattara,Monaco,20 years old (14-10-2004),176cm,France,"Defender (Left), Midfielder (Left)"
405,Mohamed Bayo,Royal Antwerp,26 years old (04-06-1998),188cm,Guinea,Forward
406,Abdoul Ouattara,Strasbourg,19 years old (22-10-2005),178cm,France,Midfielder
407,Aïmen Moueffek,Saint-Etienne,24 years old (09-04-2001),179cm,France,Defensive Midfielder (C)
408,Abdoul Koné,Reims,20 years old (22-04-2005),192cm,France,Defender
409,Presnel Kimpembe,Paris Saint-Germain,29 years old (13-08-1995),182cm,France,Defender (Centre)
410,Saïdou Sow,Nantes,22 years old (04-07-2002),187cm,Guinea,Defender (Centre)
411,Pierrick Capelle,Angers,38 years old (15-04-1987),181cm,France,"Defender (Left), Midfielder (Centre, Left, Right)"
412,Yvann Maçon,Saint-Etienne,26 years old (01-10-1998),176cm,France,"Defender (Left, Right), Midfielder (Right)"
413,Jonas Martin,Brest,35 years old (09-04-1990),184cm,France,"Midfielder (Centre, Left)"
414,Andy Delort,Montpellier,33 years old (09-10-1991),182cm,Algeria,"Attacking Midfielder (Right), Forward"
415,Reda Khadra,Reims,23 years old (04-07-2001),180cm,Germany,"Attacking Midfielder (Centre, Left, Right), Forward"
416,Pol Lirola,Marseille,27 years old (13-08-1997),183cm,Spain,"Defender (Centre, Right), Midfielder (Left, Right)"
417,Wahbi Khazri,Montpellier,34 years old (08-02-1991),176cm,Tunisia,"Midfielder (Centre, Left, Right), Forward"
418,Billal Brahimi,St.Truiden,25 years old (14-03-2000),183cm,Algeria,"Attacking Midfielder (Centre, Left, Right), Forward"
419,Nordine Kandil,Amiens,23 years old (31-10-2001),167cm,France,Forward
420,Dehmaine Tabibou,Nantes,20 years old (17-04-2005),181cm,France,Midfielder
421,Valentín Carboni,Marseille,20 years old (05-03-2005),185cm,Argentina,Attacking Midfielder (Centre)
422,Junior Mwanga,Le Havre,21 years old (11-05-2003),184cm,France,Defensive Midfielder (C)
423,Ben Old,Saint-Etienne,22 years old (13-08-2002),173cm,,Midfielder
424,Martín Satriano,Lens,24 years old (20-02-2001),187cm,Uruguay,Forward
425,Jordan Ferri,Montpellier,33 years old (12-03-1992),173cm,France,Midfielder (Centre)
426,Jacques Ekomié,Angers,21 years old (19-08-2003),179cm,France,Defender (Left)
427,Jeremy Agbonifo,Lens,19 years old (24-10-2005),178cm,,Forward
428,Ange Tia,Reims,18 years old (20-11-2006),178cm,,Midfielder
429,Nhoa Sangui,Reims,19 years old (27-02-2006),178cm,France,Defender (Left)
430,Bamba Dieng,Angers,25 years old (23-03-2000),178cm,Senegal,"Attacking Midfielder (Left), Forward"
431,Rémy Descamps,Lyon,28 years old (25-06-1996),194cm,France,Goalkeeper
432,Sékou Mara,Strasbourg,22 years old (30-07-2002),184cm,France,Forward
433,Pape Diong,Strasbourg,18 years old (15-06-2006),190cm,Senegal,Midfielder
434,Noah Edjouma,Toulouse,19 years old (04-10-2005),181cm,France,Forward
435,Edhy Zuliani,Toulouse,20 years old (11-08-2004),175cm,,Midfielder
436,Ousmane Touré,Valenciennes,20 years old (18-02-2005),187cm,France,Defender
437,Wilfried Zaha,Charlotte FC,32 years old (10-11-1992),180cm,Ivory Coast,"Attacking Midfielder (Left, Right), Forward"
438,Maxime Bernauer,Saint-Etienne,26 years old (01-07-1998),186cm,France,Defender (Centre)
439,Nabil Bentaleb,Lille,30 years old (24-11-1994),187cm,Algeria,Midfielder (Centre)
440,Warmed Omari,Lyon,25 years old (23-04-2000),188cm,France,Defender (Centre)
441,Fabien Centonze,Nantes,29 years old (16-01-1996),182cm,France,"Defender (Right), Midfielder (Right)"
442,Lucas Michal,Monaco,19 years old (22-06-2005),172cm,France,Forward
443,Florian Ayé,Auxerre,28 years old (19-01-1997),184cm,France,Forward
444,Caleb Wiley,Watford,20 years old (22-12-2004),180cm,USA,"Defender (Left), Midfielder (Left)"
445,Mathis Amougou,Chelsea,19 years old (18-01-2006),177cm,France,Midfielder (Centre)
446,Ben Viadère,Auxerre,19 years old (02-09-2005),176cm,France,Forward
447,Rayan Fofana,Lens,19 years old (12-02-2006),182cm,,Forward
448,Florent Mollet,Nantes,33 years old (19-11-1991),170cm,France,"Attacking Midfielder (Centre, Left, Right)"
449,Younes Lachaab,Lille,20 years old (06-01-2005),185cm,France,Forward
450,Prosper Peter,Angers,17 years old (09-08-2007),,,Forward
451,Marvin Senaya,FC Lausanne-Sport,24 years old (28-01-2001),181cm,France,"Defender (Right), Midfielder (Right)"
452,Mama Baldé,Brest,29 years old (06-11-1995),176cm,Guinea-Bissau,"Defender (Right), Midfielder (Centre, Left, Right), Forward"
453,Victor Orakpo,Nice,19 years old (14-01-2006),194cm,Nigeria,Forward
454,Yanis Issoufou,Montpellier,18 years old (28-10-2006),182cm,,Forward
455,Birama Touré,Montpellier,32 years old (06-06-1992),183cm,Mali,Defensive Midfielder (C)
456,Ignatius Ganago,New England Revolution,26 years old (16-02-1999),179cm,Cameroon,"Attacking Midfielder (Left, Right), Forward"
457,Kyllian Antonio,Lens,17 years old (04-01-2008),183cm,,Defender
458,Sékou Doucouré,Nantes,20 years old (26-04-2005),187cm,France,Defender
459,Óscar Perea,Strasbourg,19 years old (27-09-2005),174cm,Colombia,Forward
460,Lilian Brassier,Rennes,25 years old (02-11-1999),186cm,France,"Defender (Centre, Left)"
461,Othmane Maamma,Montpellier,19 years old (06-10-2005),180cm,Morocco,Forward
462,Miha Zajc,Toulouse,30 years old (01-07-1994),180cm,Slovenia,"Midfielder (Centre), Forward"
463,Pierre Cornud,Saint-Etienne,28 years old (12-12-1996),177cm,France,Defender (Left)
464,Jérémy Sebas,SC Bastia,22 years old (14-04-2003),187cm,France,Forward
465,Igor Miladinovic,Saint-Etienne,21 years old (08-06-2003),166cm,,Midfielder
466,Naatan Skyttä,Dunkerque,22 years old (07-05-2002),170cm,Finland,Midfielder
467,Tom Pouilly,Lens,21 years old (18-06-2003),180cm,France,Midfielder
468,Eduard Sobol,Strasbourg,30 years old (20-04-1995),186cm,Ukraine,"Defender (Left), Midfielder (Left)"
469,Axel Gueguin,Montpellier,20 years old (24-03-2005),170cm,France,Forward
470,Martin Adeline,Troyes,21 years old (02-12-2003),180cm,France,Midfielder
471,Gabriel Barès,Burgos CF,24 years old (29-08-2000),187cm,Switzerland,Midfielder
472,Justin-Noël Kalumba,Angers,20 years old (25-12-2004),180cm,France,Defender (Left)
473,Terem Moffi,Nice,25 years old (25-05-1999),188cm,Nigeria,"Attacking Midfielder (Right), Forward"
474,Keyliane Abdallah,Marseille,19 years old (05-04-2006),185cm,France,Forward
475,David Costa,Portland Timbers,24 years old (05-01-2001),168cm,Portugal,"Attacking Midfielder (Centre, Left)"
476,Luiz Felipe,Marseille,28 years old (22-03-1997),187cm,Italy,Defender (Centre)
477,Amine Salama,Reims,24 years old (18-07-2000),192cm,France,Forward
478,Hamidou Makalou,Brest,18 years old (15-07-2006),164cm,Mali,Midfielder
479,Issiaga Camara,Nice,20 years old (02-02-2005),175cm,,Midfielder (Centre)
480,Ayanda Sishuba,Rennes,20 years old (02-02-2005),169cm,Belgium,Midfielder
481,Orel Mangala,Everton,27 years old (18-03-1998),178cm,Belgium,Midfielder (Centre)
482,Samuel Grandsir,Caen,28 years old (14-08-1996),170cm,France,"Attacking Midfielder (Left, Right)"
483,Gabriel Moscardo,Reims,19 years old (28-09-2005),185cm,Brazil,Defensive Midfielder (C)
484,Axel Camblan,Valenciennes,21 years old (30-08-2003),168cm,France,Midfielder
485,Lamine Fomba,Saint-Etienne,27 years old (26-01-1998),188cm,France,Defensive Midfielder (C)
486,Falaye Sacko,Montpellier,29 years old (01-05-1995),180cm,Mali,"Defender (Centre, Left, Right), Midfielder (Right)"
487,Steve Ngoura,Cercle Bruges,20 years old (22-02-2005),185cm,France,Forward
488,Saliou Diop,Brest,19 years old (12-05-2005),193cm,Senegal,Forward
489,Naouirou Ahamada,Rennes,23 years old (29-03-2002),183cm,France,Midfielder (Centre)
490,Álex Domínguez,Toulouse,26 years old (30-07-1998),187cm,Spain,Goalkeeper
491,Sidiki Cherif,Angers,18 years old (15-12-2006),185cm,France,Forward
492,Yoann Cisse,Auxerre,20 years old (13-12-2004),175cm,France,Midfielder
493,Jean-Philippe Gbamin,FC Zuerich,29 years old (25-09-1995),186cm,Ivory Coast,"Defender (Centre, Right), Defensive Midfielder (C)"
494,Junior Ndiaye,Montpellier,20 years old (29-03-2005),180cm,U.A.E.,Forward
495,Djylian N'Guessan,Saint-Etienne,16 years old (30-08-2008),180cm,,Forward
496,Enzo Sternal,Marseille,17 years old (28-05-2007),174cm,,Forward
497,Zinédine Ould Khaled,Angers,25 years old (14-01-2000),195cm,France,Defender
498,Ilyes Housni,Le Havre,19 years old (14-05-2005),176cm,,Forward
499,Bamo Meïté,Montpellier,23 years old (03-12-2001),183cm,,Defender (Centre)
500,Mohamed Bamba,Gil Vicente,20 years old (08-10-2004),177cm,Ivory Coast,Defensive Midfielder (C)
501,Hafiz Ibrahim,Reims,19 years old (20-12-2005),190cm,,Forward
502,Gauthier Gallon,Rennes,32 years old (23-04-1993),186cm,France,Goalkeeper
503,Jibril Othman,Saint-Etienne,21 years old (26-04-2004),177cm,Tunisia,Forward
504,Jordan Lotomba,Feyenoord,26 years old (29-09-1998),177cm,Switzerland,"Defender (Left, Right), Midfielder (Right)"
505,Thomas Delaine,Strasbourg,33 years old (24-03-1992),180cm,France,"Defender (Left), Midfielder (Left, Right)"
506,Adryelson,Anderlecht,27 years old (23-03-1998),183cm,Brazil,Defender (Centre)
507,Alexi Koum,Marseille,19 years old (05-02-2006),180cm,,Defender
508,Anthony Briançon,Saint-Etienne,30 years old (29-11-1994),185cm,France,Defender (Centre)
509,Loïs Diony,Angers,32 years old (20-12-1992),183cm,France,"Attacking Midfielder (Left), Forward"
510,Mohamed Daramy,Reims,23 years old (07-01-2002),180cm,Denmark,"Attacking Midfielder (Left), Forward"
511,Ibrahima Wadji,Saint-Etienne,29 years old (05-05-1995),175cm,Senegal,Forward
512,Darryl Bakola,Marseille,17 years old (30-11-2007),178cm,France,Midfielder
513,Milos Lukovic,SC Heerenveen,19 years old (18-11-2005),184cm,Serbia,Forward
514,Jérémy Le Douaron,Palermo,27 years old (21-04-1998),189cm,France,"Attacking Midfielder (Left), Forward"
515,Ayman Aiki,SC Bastia,19 years old (25-06-2005),178cm,France,Forward
516,Ange-Loïc N’Gatta,Auxerre,21 years old (11-12-2003),175cm,,Defender
517,Marius Courcoul,Angers,18 years old (01-01-2007),182cm,France,Defender
518,Aaron Malouda,Nimes,19 years old (30-11-2005),183cm,France,Forward
519,Aloïs Confais,Le Havre,28 years old (07-09-1996),174cm,France,"Defender (Right), Defensive Midfielder (C)"
520,Kyogo Furuhashi,Rennes,30 years old (20-01-1995),170cm,Japan,Forward
521,Rudy Matondo,Auxerre,17 years old (13-03-2008),,,Midfielder
522,Gabin Capuano,Lens,19 years old (26-04-2006),185cm,France,Forward
523,Kembo Diliwidi,Lens,19 years old (03-02-2006),180cm,,Forward
524,Faris Moumbagna,Marseille,24 years old (01-07-2000),185cm,Cameroon,Forward
525,Théo Chennahi,Montpellier,20 years old (06-02-2005),182cm,France,Midfielder
526,Aristide Zossou,Auxerre,19 years old (14-06-2005),178cm,Ivory Coast,Midfielder
527,Mathéo Bodmer,Le Havre,20 years old (06-05-2004),179cm,France,Midfielder
528,Simon Cara,Montpellier,19 years old (31-05-2005),182cm,,Forward
529,Wilfried Ndollo Bille,Montpellier,20 years old (15-04-2005),172cm,,Defender
530,Saïmon Bouabré,Monaco,18 years old (01-06-2006),174cm,,Midfielder
531,Stefan Dzodic,Montpellier,20 years old (15-03-2005),190cm,Serbia,Midfielder
532,Niama Sissoko,Reims,19 years old (16-12-2005),186cm,Mali,Forward
533,Eros Maddy,Auxerre,24 years old (05-02-2001),177cm,Netherlands,Forward
534,Mahamadou Diawara,Le Havre,20 years old (17-02-2005),187cm,France,Midfielder (Centre)
535,Ikechukwu Orazi,Reims,17 years old (11-06-2007),176cm,,Forward
536,Karol Fila,FCV Dender EH,26 years old (13-06-1998),183cm,Poland,"Defender (Centre, Right), Midfielder (Right)"
537,Kandet Diawara,Pau,25 years old (10-02-2000),180cm,France,Forward
538,Bernard Nguene,Nice,18 years old (04-08-2006),178cm,Cameroon,Forward
539,Paul Akouokou,Lyon,27 years old (20-12-1997),181cm,Ivory Coast,Defensive Midfielder (C)
540,Bamo Meïté,Montpellier,23 years old (03-12-2001),183cm,,Defender (Centre)
541,Élysée Logbo,Le Havre,20 years old (06-05-2004),188cm,France,Forward
542,Zabi Gueu,Reims,18 years old (24-09-2006),191cm,,Midfielder
