,YelC,RedC
426,0.1,-
427,0.1,-
428,-,-
429,0.1,-
430,0.1,-
431,-,-
432,0.1,-
433,-,-
434,-,0.1
435,-,-
436,-,-
437,-,-
438,0.3,0.1
439,-,-
440,-,-
441,-,-
442,-,-
443,-,-
444,0.2,-
445,0.1,-
446,-,-
447,-,-
448,0.1,-
449,-,-
450,-,-
451,0.3,-
452,-,-
453,-,-
454,-,-
455,0.4,-
456,0.1,-
457,-,-
458,-,-
459,-,-
460,0.3,-
461,0.1,-
462,0.1,-
463,0.2,-
464,-,-
465,-,-
466,-,-
467,0.1,-
468,0.2,-
469,-,-
470,-,-
471,-,-
472,-,-
473,-,-
474,-,-
475,-,0.1
476,-,-
477,-,-
478,-,-
479,-,-
480,-,-
481,-,-
482,-,-
483,0.2,-
484,-,-
485,0.3,-
486,0.1,-
487,-,-
488,-,-
489,-,-
490,-,-
491,-,-
492,-,-
493,0.1,-
494,-,-
495,-,-
496,0.5,-
497,0.1,-
498,-,-
499,-,-
500,-,-
501,-,0.1
502,-,-
503,-,-
504,-,-
505,-,-
506,1,-
507,-,-
508,-,-
509,-,-
510,-,-
511,-,-
512,0.3,-
513,-,-
514,-,-
515,-,-
516,0.5,-
517,-,-
518,-,-
519,-,-
520,-,-
521,0.3,-
522,-,-
523,-,-
524,-,-
525,0.5,-
526,-,-
527,-,-
528,-,-
529,-,-
530,-,-
531,0.4,0.2
532,-,-
533,0.5,-
534,-,-
535,-,-
536,1,-
537,-,-
538,-,-
539,0.5,-
540,0.3,0.2
541,-,-
542,-,0.5
