,TotPs,AccLB,InAccLB,AccSP,InAccSP
286,14.1,0.1,0.1,11.6,2.3
287,13.7,1.4,0.3,10.4,1.6
288,43.9,1.6,2,37.5,2.8
289,4.5,-,-,4.5,-
290,25.1,0.8,0.6,19.9,3.9
291,45.7,1,3.3,35.6,5.9
292,47.4,1.9,1.1,41,3.5
293,13.7,0.4,-,11,2.1
294,64.7,1.1,1.4,59.6,2.7
295,15.5,0.5,0.8,11,3.1
296,31.7,1.8,2.1,23,4.8
297,30.3,1.2,2.1,22,5.1
298,24.9,3.8,6,15,0.1
299,25.2,2,1.9,18.5,2.8
300,32.6,1.2,1,26.6,3.7
301,11.5,0.2,0.4,7.8,3.1
302,25.1,1,2.2,19.9,2
303,15.1,0.7,0.8,11.6,2.1
304,7.4,0.2,0.1,6.2,0.9
305,9.1,0.1,0.3,6.2,2.5
306,8.3,0.2,0.1,6.6,1.5
307,25.7,7.3,8.7,9,0.7
308,33.3,1.7,3.3,26.7,1.7
309,21.2,0.5,1.3,16.7,2.7
310,32.6,1.3,1.2,26.7,3.4
311,27.9,1.9,1.4,21.1,3.4
312,8.6,-,-,7.5,1.1
313,20,2,1.5,15,1.5
314,8.4,0.2,0.1,5.8,2.3
315,13.9,0.5,1.1,10.2,2.2
316,49.8,4.3,2.2,40.4,3.1
317,21.2,0.6,1,16.8,2.8
318,23.3,2.2,0.6,18.4,2.1
319,22.8,1.3,0.6,17.5,3.4
320,23.1,0.5,1.2,19,2.4
321,48,0.3,0.3,45.7,1.7
322,15.4,0.5,0.9,11.3,2.7
323,40.9,0.9,0.5,34.6,4.9
324,26.9,0.9,1.1,22.3,2.6
325,16,0.8,0.6,11.3,3.3
326,38.4,1.4,2.2,26.9,7.9
327,29.5,1.4,1.5,25.1,1.5
328,40.7,1.3,1.4,36.4,1.7
329,14.6,0.2,0.4,10.9,3
330,38,1.5,1.1,31.3,4
331,31.5,0.8,0.1,27.7,2.8
332,30.3,1.7,0.9,23.6,4.1
333,10.3,0.1,0.1,7.6,2.4
334,15.2,0.1,0.4,12.5,2.2
335,33.6,0.6,1.6,29.4,2
336,20.1,1.2,1.3,15.5,2.1
337,16.1,0.3,0.7,11.8,3.3
338,30.5,3.5,7,20,-
339,48.5,1.3,1.6,43.2,2.4
340,8.5,-,-,6.6,1.8
341,9.4,0.3,0.3,6.7,2.1
342,7.5,-,0.1,4.8,2.6
343,3.9,-,-,3.2,0.7
344,16,0.5,0.7,12,2.8
345,23,0.7,0.9,18.8,2.6
346,6,-,1,2,3
347,50.3,4,3.3,38.7,4.2
348,23.8,1.2,0.9,17.9,3.8
349,14.2,0.3,0.2,11.7,2
350,23.7,1,1,20.7,1
351,19.8,0.4,0.2,16.4,2.7
352,21.4,0.6,0.1,18.9,1.9
353,24.4,3.3,7.1,13.8,0.2
354,13.7,0.3,1,11.3,1
355,20.6,1.9,0.4,17,1.2
356,28.4,1.3,1.6,22.7,2.8
357,25.4,4.8,8.3,12.1,0.2
358,12.4,0.1,-,10.9,1.4
359,17.5,0.5,1.3,12.4,3.3
360,4.9,0.1,-,3.5,1.4
361,30.2,2.3,1.5,23.2,3.2
362,19.5,3.8,7.8,7.7,0.2
363,13.7,0.1,0.5,10.2,2.9
364,17,-,1,14,2
365,3.5,-,-,1,2.5
366,13.3,0.1,0.1,10.6,2.5
367,7.6,0.2,-,5,2.4
368,24.7,1.7,0.6,19.8,2.7
369,3.5,-,-,2.8,0.8
370,10.6,0.1,0.2,8.5,1.8
371,22.1,0.5,0.3,18.9,2.5
372,29.6,1.3,1.3,23.3,3.7
373,7.5,-,0.2,5.4,1.9
374,18.2,1.3,0.8,13.9,2.2
375,9.2,0.2,0.2,5.9,2.8
376,17.6,0.2,0.2,14.3,2.8
377,33.2,0.7,1.8,28.2,2.5
378,15.9,0.1,0.1,13.9,1.7
379,15.9,0.4,0.5,12.8,2.1
380,17.2,1.2,1.6,11.2,3.3
381,15.7,0.2,0.3,12.3,2.9
382,13.3,0.3,-,11,2
383,43,2.2,2.7,36.1,2
384,7.3,0.3,-,6.7,0.3
385,26.9,1.4,1.3,21.9,2.3
386,8.2,0.1,0.1,6.1,2
387,6,-,0.1,5.2,0.7
388,22.8,1,0.8,19.8,1.2
389,4,-,-,3,1
390,5.5,-,-,4.5,1
391,16.3,-,2,12.3,2
392,13.1,0.1,0.4,11.1,1.4
393,33.8,1.5,2.2,28,2.2
394,14.1,0.4,0.4,12,1.4
395,6.4,0.1,0.2,4.7,1.4
396,13.8,0.4,0.7,10.3,2.3
397,5.8,-,0.4,4.1,1.3
398,12.5,0.3,-,9.6,2.6
399,33.3,1.8,0.9,26.4,4.2
400,7.8,0.2,0.2,5.2,2.2
401,11,-,-,9,2
402,12.4,0.3,0.2,9.7,2.2
403,7.5,0.3,0.1,5.5,1.5
404,12.9,0.4,0.6,9.9,2
405,4.8,-,-,3.4,1.4
406,11.5,0.3,-,9.7,1.5
407,16.4,0.2,0.4,13.9,1.9
408,12,0.5,1.3,7.5,2.8
409,9,1,-,8,-
410,52.9,1.1,2.4,47,2.4
411,13.8,0.5,0.6,10.9,1.8
412,32.1,1.9,2.1,23.2,4.9
413,18.7,0.8,0.4,15.9,1.7
414,12.2,0.2,0.2,6.2,5.6
415,6.8,-,0.5,5.5,0.8
416,17.8,0.1,0.8,15.2,1.7
417,10.1,0.7,0.4,6.9,2.1
418,16,-,0.5,15,0.5
419,6,-,1,3,2
420,4.1,-,0.3,3.2,0.6
421,15,0.3,-,13,1.8
422,18.4,0.8,0.3,15.9,1.5
423,10.2,0.1,0.3,8.4,1.4
424,4,-,0.3,2.5,1.3
425,48.6,2.3,1.3,41.6,3.4
426,10.5,0.3,0.5,7.8,1.9
427,8.5,-,0.5,6.4,1.6
428,4.7,0.3,-,3.3,1
429,20.1,0.5,1,16.5,2.1
430,5.4,-,0.1,4.4,1
431,28,3,3,22,-
432,7,0.1,0.1,4.7,2.1
433,6.2,0.1,-,5.1,1
434,4.5,0.1,0.1,3.3,1
435,2,-,-,2,-
436,5,1,-,3,1
437,8,-,-,7,1
438,39,3.3,3.1,30.9,1.8
439,14.5,0.9,0.3,11.9,1.5
440,6,-,-,6,-
441,13.8,0.3,0.5,10.8,2.3
442,5.1,-,0.1,4.4,0.6
443,5.1,0.1,-,3.8,1.2
444,15.8,0.3,1,12.5,2
445,17.4,0.5,0.6,13.1,3.1
446,2,-,-,1,1
447,4,-,-,2.5,1.5
448,10.1,0.3,0.4,8.3,1
449,1,-,-,0.5,0.5
450,1,-,-,1,-
451,11.3,0.6,0.7,9,1
452,3,-,-,2,1
453,4.3,0.3,-,3.5,0.5
454,4,-,-,2.5,1.5
455,15.4,0.6,1.1,12,1.6
456,6.6,-,0.2,5.3,1.2
457,29.3,0.7,2.3,24.3,2
458,2.5,0.5,0.5,1.5,-
459,4,-,-,4,-
460,51.8,0.9,2.1,44.3,4.6
461,6.8,0.1,0.1,4.5,2.1
462,9.8,0.3,0.4,8.1,1.1
463,24.8,1.8,1.6,19,2.4
464,3,-,-,2.1,0.9
465,5,0.3,-,3.7,1
466,4,-,-,4,-
467,12.7,0.4,0.7,9.7,1.9
468,2.6,0.2,0.3,1.7,0.4
469,5,-,-,4,1
470,10,-,1,8,1
471,6.5,0.5,0.5,5.2,0.3
472,5,-,-,4.5,0.5
473,2.3,-,-,1.3,1
474,2,-,-,2,-
475,12.5,0.2,-,11,1.3
476,15,-,-,13.5,1.5
477,4.6,0.3,-,3.4,0.9
478,5.5,-,-,5.5,-
479,4,-,-,3.8,0.3
480,-,-,-,-,-
481,30,3,-,25,2
482,4.3,0.2,0.3,3,0.8
483,6.3,0.2,-,4.8,1.3
484,3,-,-,1.5,1.5
485,20.6,1.1,0.9,16.1,2.4
486,35.3,1.2,1.3,28.7,4.1
487,6.9,0.1,-,4.5,2.3
488,1,-,-,1,-
489,7,-,0.3,5.7,1
490,10,2,3,5,-
491,8.1,-,-,4.6,3.6
492,1.5,-,-,1,0.5
493,8.2,0.1,0.4,6.3,1.4
494,4,-,-,2.6,1.4
495,6.8,-,-,5.8,1
496,4,-,0.5,3.5,-
497,14.3,0.4,0.1,12.4,1.3
498,4.9,-,0.1,3.2,1.7
499,8,-,-,7.3,0.7
500,9.5,1.5,-,6.5,1.5
501,4.8,-,-,2.9,1.9
502,17,-,3,14,-
503,1,-,-,1,-
504,8.5,-,-,7.5,1
505,1.5,-,1,-,0.5
506,3,-,-,1,2
507,7,-,-,6,1
508,-,-,-,-,-
509,4,-,-,1,3
510,2,-,-,2,-
511,3.6,-,-,2.7,0.9
512,4.3,-,-,4,0.3
513,1.5,-,-,1,0.5
514,7,-,-,5.5,1.5
515,5.6,0.2,0.4,3.2,1.8
516,5.5,0.5,0.5,4.5,-
517,9.6,0.2,0.6,7.2,1.6
518,-,-,-,-,-
519,2,-,-,1,1
520,1.8,-,0.3,0.5,1
521,4.8,-,-,4.5,0.3
522,2,-,-,2,-
523,2,-,-,2,-
524,-,-,-,-,-
525,1,-,-,1,-
526,5.7,0.3,-,5,0.3
527,2,-,-,2,-
528,3,-,-,2,1
529,18.4,0.2,1.4,14.6,2.2
530,10.5,-,0.5,7,3
531,24.6,0.6,1,21.8,1.2
532,2.8,0.3,-,1.5,1
533,3,-,-,3,-
534,3.5,0.5,-,2.5,0.5
535,1,-,-,1,-
536,4,-,1,2,1
537,2,-,-,1,1
538,2,-,-,2,-
539,7.5,0.5,-,4.5,2.5
540,26.3,0.5,0.5,22.8,2.5
541,4,-,-,3,1
542,6,-,0.5,4.5,1
