,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
431,Rémy Descamps,1,90,-,-,-,-,-,89.3,-,-,6.21
432,Sékou Mara,6(17),637,1,1,2,-,0.7,68.8,0.8,-,6.21
433,Pape Diong,1(8),76,1,-,-,-,0.6,83.9,0.4,-,6.20
434,Noah Edjouma,1(9),165,2,-,-,1,0.5,75.6,0.2,-,6.20
435,Edhy Zuliani,0(1),8,-,-,-,-,-,100,-,-,6.20
436,Ousmane Touré,0(1),5,-,-,-,-,-,80,1,-,6.20
437,Wilfried Zaha,1(3),71,-,-,-,-,0.3,87.5,-,-,6.20
438,Maxime Bernauer,6(2),537,-,-,2,1,0.3,87.5,1.1,-,6.20
439,Nabil Bentaleb,1(7),168,1,-,-,-,0.3,87.9,0.3,-,6.20
440,Warmed Omari,0(1),7,-,-,-,-,-,100,-,-,6.19
441,Fabien Centonze,1(3),95,-,-,-,-,-,80,0.3,-,6.19
442,Lucas Michal,0(7),94,-,-,-,-,0.4,86.1,0.4,-,6.19
443,Florian Ayé,4(19),520,2,-,-,-,0.4,76.3,0.5,-,6.18
444,Caleb Wiley,3(3),268,-,1,1,-,0.2,81.1,-,-,6.18
445,Mathis Amougou,9(8),858,-,-,2,-,0.4,78.3,0.2,-,6.17
446,Ben Viadère,0(1),4,-,-,-,-,-,50,-,-,6.17
447,Rayan Fofana,0(2),24,-,-,-,-,-,62.5,-,-,6.17
448,Florent Mollet,3(6),241,-,-,1,-,0.7,85.7,0.1,-,6.17
449,Younes Lachaab,0(2),7,-,-,-,-,0.5,50,-,-,6.17
450,Prosper Peter,0(1),19,-,-,-,-,-,100,-,-,6.16
451,Marvin Senaya,1(9),221,-,-,3,-,0.1,85,0.3,-,6.16
452,Mama Baldé,0(2),31,-,-,-,-,0.5,66.7,0.5,-,6.15
453,Victor Orakpo,0(4),32,-,-,-,-,0.5,88.2,0.5,-,6.15
454,Yanis Issoufou,1(3),75,-,-,-,-,0.5,62.5,-,-,6.15
455,Birama Touré,2(6),298,-,-,3,-,0.4,82.1,0.5,-,6.15
456,Ignatius Ganago,1(10),231,-,-,1,-,0.6,79.5,0.4,-,6.14
457,Kyllian Antonio,2(1),140,-,-,-,-,0.3,85.2,0.7,-,6.14
458,Sékou Doucouré,0(2),11,-,-,-,-,-,80,0.5,-,6.14
459,Óscar Perea,0(1),6,-,-,-,-,-,100,-,-,6.13
460,Lilian Brassier,9(3),780,-,-,3,-,0.4,87.1,1.4,-,6.13
461,Othmane Maamma,2(10),354,1,1,1,-,0.8,67.9,0.2,-,6.13
462,Miha Zajc,1(17),235,-,-,2,-,0.3,85.3,0.2,-,6.13
463,Pierre Cornud,7(4),576,-,-,2,-,-,83.9,0.3,-,6.13
464,Jérémy Sebas,1(12),182,-,-,-,-,0.5,69.2,0.2,-,6.12
465,Igor Miladinovic,0(3),23,-,-,-,-,-,80,0.7,-,6.12
466,Naatan Skyttä,0(1),4,-,-,-,-,-,100,-,-,6.12
467,Tom Pouilly,0(7),110,-,-,1,-,0.4,79.8,-,-,6.12
468,Eduard Sobol,0(10),87,-,-,2,-,-,73.1,0.3,-,6.12
469,Axel Gueguin,0(1),22,-,-,-,-,-,80,-,-,6.11
470,Martin Adeline,0(1),25,-,-,-,-,-,80,-,-,6.11
471,Gabriel Barès,0(6),50,-,-,-,-,-,87.2,-,-,6.11
472,Justin-Noël Kalumba,0(2),29,-,-,-,-,0.5,90,-,-,6.11
473,Terem Moffi,0(3),42,-,-,-,-,1,57.1,1,-,6.11
474,Keyliane Abdallah,0(1),2,-,-,-,-,-,100,-,-,6.10
475,David Costa,3(8),349,-,-,-,1,0.8,89.8,-,-,6.10
476,Luiz Felipe,1(1),75,-,-,-,-,-,90,-,-,6.09
477,Amine Salama,2(15),362,-,-,-,-,0.5,79.5,0.1,-,6.09
478,Hamidou Makalou,0(2),16,-,-,-,-,-,100,-,-,6.09
479,Issiaga Camara,0(4),16,-,-,-,-,-,93.8,-,-,6.08
480,Ayanda Sishuba,0(1),2,-,-,-,-,-,-,-,-,6.08
481,Orel Mangala,1,68,-,-,-,-,1,93.3,-,-,6.07
482,Samuel Grandsir,0(6),79,-,-,-,-,-,73.1,-,-,6.07
483,Gabriel Moscardo,0(6),80,-,-,1,-,0.3,78.9,0.5,-,6.07
484,Axel Camblan,0(2),24,-,-,-,-,0.5,50,-,-,6.07
485,Lamine Fomba,3(4),216,-,-,2,-,0.1,84,0.4,-,6.06
486,Falaye Sacko,14(2),1236,-,1,1,-,-,84.6,0.6,-,6.05
487,Steve Ngoura,2(6),284,-,-,-,-,1.3,67.3,0.6,-,6.05
488,Saliou Diop,0(2),3,-,-,-,-,-,100,-,-,6.05
489,Naouirou Ahamada,0(3),55,-,-,-,-,0.3,81,-,-,6.04
490,Álex Domínguez,0(1),18,-,-,-,-,-,70,-,-,6.04
491,Sidiki Cherif,3(4),322,-,-,-,-,0.7,56.1,0.4,-,6.04
492,Yoann Cisse,0(2),4,-,-,-,-,-,66.7,-,-,6.04
493,Jean-Philippe Gbamin,2(12),210,-,-,1,-,0.1,78.3,0.5,-,6.03
494,Junior Ndiaye,2(10),256,-,-,-,-,0.3,64.6,0.4,-,6.03
495,Djylian N'Guessan,2(4),127,-,-,-,-,0.5,85.4,0.3,-,6.03
496,Enzo Sternal,0(2),22,-,-,1,-,-,87.5,-,-,6.03
497,Zinédine Ould Khaled,3(4),247,-,-,1,-,-,90,0.1,-,6.03
498,Ilyes Housni,3(9),228,-,-,-,-,0.4,64.4,-,-,6.03
499,Bamo Meïté,0(3),24,-,-,-,-,-,91.7,0.3,-,6.02
500,Mohamed Bamba,0(2),9,-,-,-,-,-,84.2,-,-,6.02
501,Hafiz Ibrahim,2(6),327,-,1,-,1,0.8,60.5,1,-,6.01
502,Gauthier Gallon,0(1),45,-,-,-,-,-,82.4,-,-,6.01
503,Jibril Othman,0(1),4,-,-,-,-,-,100,-,-,6.01
504,Jordan Lotomba,0(2),33,-,-,-,-,-,88.2,-,-,6.01
505,Thomas Delaine,0(2),8,-,-,-,-,-,-,-,-,6.01
506,Adryelson,0(1),1,-,-,1,-,-,33.3,1,-,6.00
507,Alexi Koum,0(1),11,-,-,-,-,-,85.7,-,-,6.00
508,Anthony Briançon,0(1),1,-,-,-,-,-,-,-,-,6.00
509,Loïs Diony,0(1),20,-,-,-,-,-,25,1,-,6.00
510,Mohamed Daramy,0(2),14,-,-,-,-,0.5,100,0.5,-,6.00
511,Ibrahima Wadji,0(7),143,-,-,-,-,0.9,76,0.3,-,6.00
512,Darryl Bakola,1(2),13,-,-,1,-,-,92.3,-,-,5.99
513,Milos Lukovic,0(2),11,-,-,-,-,-,66.7,-,-,5.98
514,Jérémy Le Douaron,1(1),101,-,-,-,-,1,78.6,1.5,-,5.98
515,Ayman Aiki,1(4),124,-,-,-,-,0.6,60.7,0.2,-,5.97
516,Ange-Loïc N’Gatta,0(2),11,-,-,1,-,-,90.9,-,-,5.97
517,Marius Courcoul,0(5),68,-,-,-,-,-,77.1,0.4,-,5.97
518,Aaron Malouda,0(1),1,-,-,-,-,-,-,-,-,5.97
519,Aloïs Confais,0(1),2,-,-,-,-,-,50,-,-,5.97
520,Kyogo Furuhashi,1(5),121,-,-,-,-,0.2,27.3,0.3,-,5.97
521,Rudy Matondo,0(4),46,-,-,1,-,-,94.7,-,-,5.97
522,Gabin Capuano,0(1),10,-,-,-,-,-,100,-,-,5.96
523,Kembo Diliwidi,0(1),3,-,-,-,-,-,100,-,-,5.96
524,Faris Moumbagna,0(1),8,-,-,-,-,-,-,-,-,5.95
525,Théo Chennahi,0(2),6,-,-,1,-,-,100,-,-,5.95
526,Aristide Zossou,0(3),13,-,-,-,-,-,94.1,-,-,5.94
527,Mathéo Bodmer,0(1),5,-,-,-,-,-,100,-,-,5.94
528,Simon Cara,0(2),7,-,-,-,-,-,66.7,-,-,5.94
529,Wilfried Ndollo Bille,3(2),265,-,-,-,-,-,80.4,-,-,5.93
530,Saïmon Bouabré,1(1),72,-,-,-,-,-,66.7,-,-,5.92
531,Stefan Dzodic,2(3),190,-,-,2,1,0.4,91.1,0.4,-,5.91
532,Niama Sissoko,0(4),45,-,-,-,-,0.8,63.6,0.3,-,5.91
533,Eros Maddy,0(2),13,-,-,1,-,-,100,-,-,5.90
534,Mahamadou Diawara,0(2),15,-,-,-,-,-,85.7,-,-,5.90
535,Ikechukwu Orazi,0(1),2,-,-,-,-,-,100,-,-,5.89
536,Karol Fila,0(1),4,-,-,1,-,-,50,-,-,5.89
537,Kandet Diawara,0(1),3,-,-,-,-,-,50,-,-,5.88
538,Bernard Nguene,0(1),13,-,-,-,-,-,100,-,-,5.87
539,Paul Akouokou,0(2),19,-,-,1,-,-,66.7,-,-,5.79
540,Bamo Meïté,6,413,-,-,2,1,0.2,88.6,1,-,5.76
541,Élysée Logbo,0(1),26,-,-,-,-,1,75,-,-,5.67
542,Zabi Gueu,0(2),18,-,-,-,1,-,75,-,-,5.46
