,BlkSh,BlkCr,BlkPs
265,-,0.1,0.3
266,0.5,0.1,0.5
267,0.2,-,0.7
268,0.3,0.4,0.2
269,0.4,0.3,0.5
270,-,0.1,0.4
271,0.2,-,1.1
272,0.3,-,0.2
273,0.7,0.1,0.7
274,0.5,0.1,0.6
275,0.2,0.3,0.5
276,0.6,-,0.1
277,0.3,-,0.7
278,0.3,-,0.8
279,0.4,0.3,0.8
280,-,-,0.7
281,-,-,0.2
282,0.1,-,0.8
283,-,-,-
284,-,-,0.4
285,-,-,0.4
286,0.1,-,0.4
287,0.1,-,0.5
288,0.6,0.1,0.3
289,-,-,-
290,-,-,-
291,1.1,-,0.3
292,0.1,-,0.3
293,-,-,0.2
294,0.4,0.1,0.3
295,0.1,0.1,0.6
296,0.1,0.2,0.5
297,0.2,0.6,0.8
298,-,-,-
299,0.6,0.1,0.3
300,0.1,-,0.5
301,0.1,-,0.4
302,1.1,-,0.5
303,0.1,0.1,0.5
304,-,0.1,0.2
305,0.1,0.1,0.5
306,-,-,0.1
307,-,-,-
308,1,0.3,-
309,0.2,0.1,0.3
310,0.1,-,0.5
311,0.3,-,0.1
312,-,-,-
313,-,-,-
314,-,-,-
315,0.1,0.1,0.3
316,0.5,0.1,0.5
317,0.3,0.1,0.3
318,0.5,-,0.1
319,0.1,0.2,0.6
320,0.3,0.1,0.6
321,-,-,0.7
322,-,0.1,0.4
323,-,0.1,0.7
324,0.1,0.1,0.5
325,-,-,0.4
326,0.2,0.2,0.7
327,0.4,0.2,0.3
328,1,0.1,0.5
329,-,-,0.3
330,0.2,-,0.4
331,-,-,0.5
332,0.4,-,0.6
333,-,-,0.3
334,-,0.2,0.1
335,0.5,-,0.4
336,0.3,0.2,0.6
337,0.3,0.1,0.9
338,-,-,-
339,0.6,-,0.4
340,0.1,-,0.3
341,-,-,0.2
342,0.1,-,0.1
343,-,-,0.2
344,0.2,-,0.4
345,0.2,-,0.4
346,-,-,-
347,0.1,0.1,0.7
348,0.2,0.1,0.5
349,0.1,-,0.8
350,0.3,-,0.6
351,-,0.1,-
352,0.1,0.4,0.6
353,-,-,-
354,-,-,0.3
355,0.1,0.1,0.2
356,0.5,0.3,0.6
357,-,-,-
358,-,-,0.1
359,0.2,0.2,0.7
360,-,-,-
361,0.4,0.1,0.8
362,-,-,-
363,0.1,0.1,0.4
364,-,-,-
365,-,-,-
366,-,-,0.7
367,-,-,0.1
368,0.1,0.2,0.8
369,-,-,1
370,-,-,0.3
371,0.1,0.1,0.4
372,0.5,0.1,0.5
373,-,-,0.5
374,-,0.1,-
375,0.1,-,0.4
376,-,-,0.1
377,1.2,0.1,0.5
378,0.1,-,0.4
379,0.2,-,0.6
380,-,-,0.6
381,-,0.1,0.3
382,-,-,-
383,0.8,0.2,0.5
384,0.3,-,-
385,0.3,-,0.5
386,-,-,0.5
387,-,-,0.4
388,0.6,-,0.4
389,-,-,-
390,-,-,0.5
391,0.3,-,1
392,0.1,0.1,0.1
393,0.6,0.2,0.3
394,-,-,0.4
395,-,-,0.6
396,0.1,-,0.3
397,-,-,0.4
398,-,-,0.6
399,0.1,0.1,0.6
400,-,-,0.2
401,0.5,0.5,1
402,-,-,0.1
403,-,-,0.1
404,-,-,0.5
405,-,-,-
