,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
170,-,-,-,-,-,-,-
171,-,-,-,-,-,-,-
172,-,-,-,-,-,-,-
173,-,-,-,-,-,0.2,0.2
174,-,-,-,-,-,-,-
175,-,-,-,-,-,-,-
176,-,-,-,-,-,-,-
177,-,-,-,-,-,0.1,0.1
178,-,-,0.1,-,-,-,0.1
179,-,-,-,-,-,0.1,0.1
180,-,-,-,-,-,0.1,0.1
181,-,-,-,-,-,-,-
182,-,-,0.1,-,-,-,0.1
183,-,-,-,-,-,-,-
184,-,-,-,-,-,0.1,0.1
185,-,-,0.1,-,-,-,0.1
186,-,-,-,-,-,-,-
187,-,-,-,-,-,-,-
188,0.1,-,-,-,-,-,0.1
189,-,-,-,-,-,0.1,0.1
190,0.1,-,-,-,-,-,0.1
191,-,-,-,-,-,-,-
192,0.1,-,-,-,-,-,0.1
193,-,-,-,-,-,-,-
194,-,-,-,-,-,-,0.1
195,-,-,-,-,-,0.1,0.1
196,-,-,-,-,-,-,-
197,-,-,-,-,-,-,0.1
198,-,-,-,-,-,-,-
199,-,-,-,-,-,-,-
200,-,-,-,-,-,-,-
201,-,-,-,-,-,0.2,0.2
202,-,-,-,-,-,-,-
203,-,-,-,-,-,-,-
204,-,-,-,-,-,-,-
205,-,-,-,-,-,-,0.1
206,-,-,0.1,-,-,-,0.1
207,-,-,-,-,-,-,-
208,-,-,-,-,-,-,-
209,-,-,-,-,-,-,-
210,-,-,-,-,-,0.1,0.1
211,-,-,-,-,-,0.1,0.1
212,-,-,-,-,-,0.1,0.1
213,-,-,-,-,-,0.1,0.1
214,0.1,-,-,-,-,-,0.1
215,-,-,0.1,-,-,0.1,0.1
216,-,-,0.1,-,-,0.1,0.2
217,-,-,-,-,-,-,-
218,-,-,-,-,-,-,-
219,-,-,-,-,-,-,0.1
220,-,-,-,-,-,0.1,0.1
221,-,-,-,-,-,-,-
222,-,-,-,-,-,-,-
223,-,-,-,-,-,-,-
224,-,-,-,-,-,-,-
225,-,-,-,-,-,-,-
226,-,-,-,-,-,0.1,0.1
227,-,-,-,-,-,-,-
228,-,-,-,-,-,-,-
229,-,-,-,-,-,0.1,0.1
230,-,-,-,0.1,-,-,0.1
231,-,-,-,-,-,-,-
232,-,-,-,-,-,0.1,0.1
233,0.1,-,-,-,-,-,0.1
234,-,-,-,-,-,-,-
235,-,-,-,-,-,-,-
236,0.1,-,-,-,-,0.1,0.2
237,-,-,-,-,-,-,-
238,-,-,-,-,-,0.2,0.2
239,-,-,-,-,-,-,-
240,-,-,-,-,-,0.1,0.1
241,-,-,-,-,-,0.1,0.1
242,-,-,-,-,-,-,-
243,-,-,-,-,-,-,-
244,-,-,-,-,-,0.2,0.2
245,-,-,-,-,-,0.1,0.1
246,-,-,-,-,-,-,-
247,-,-,-,-,-,0.1,0.1
248,-,-,-,-,-,-,-
249,-,-,-,-,-,-,-
250,-,-,-,-,-,-,-
251,-,-,-,-,-,-,-
252,-,-,-,-,-,-,-
253,-,-,-,-,-,0.1,0.1
254,0.1,-,-,-,-,-,0.1
255,-,-,-,-,-,-,-
256,-,-,-,-,-,0.1,0.1
257,-,-,-,-,-,0.1,0.1
258,-,-,-,-,-,0.1,0.1
259,-,-,-,-,-,-,-
260,-,-,-,-,-,0.1,0.1
261,-,-,-,-,-,-,-
262,-,-,-,-,-,0.3,0.3
263,-,-,-,-,-,0.1,0.1
264,-,-,-,-,-,-,-
265,-,-,-,-,-,-,0.1
266,-,-,-,-,-,-,-
267,-,-,-,-,-,-,-
268,-,-,-,-,-,-,-
269,-,-,-,-,-,-,-
270,-,-,-,-,-,0.1,0.1
271,-,-,-,-,-,-,-
272,-,-,-,-,-,-,-
273,-,-,-,-,-,-,0.1
274,-,-,-,-,-,0.1,0.1
275,-,-,-,-,-,-,-
276,-,-,-,-,-,-,-
277,-,-,-,-,-,-,-
278,-,-,-,-,-,-,-
279,-,-,-,-,-,-,-
280,-,-,-,-,-,-,-
281,-,-,-,-,-,-,-
282,-,-,-,-,-,-,-
283,-,-,-,-,-,-,-
284,-,-,-,-,-,-,-
285,-,-,-,-,-,-,-
286,-,-,-,-,-,-,-
287,-,-,-,-,-,0.1,0.1
288,-,-,-,-,-,-,-
289,-,-,-,-,-,-,-
290,-,-,-,-,-,0.1,0.1
291,-,-,-,-,-,-,-
292,-,-,-,-,-,-,-
293,-,-,-,-,-,0.1,0.2
294,-,-,-,-,-,-,-
295,-,-,-,-,-,0.1,0.1
296,-,-,-,-,-,-,-
297,-,-,-,-,-,-,-
298,-,-,-,-,-,-,-
299,-,-,-,-,-,-,-
300,-,-,-,-,-,-,-
301,-,-,-,-,-,-,-
302,-,-,-,-,-,-,-
303,-,-,-,-,-,-,-
304,-,-,-,-,-,-,-
305,0.1,-,-,-,-,-,0.1
306,-,-,-,-,-,0.1,0.1
307,-,-,-,-,-,-,-
308,-,-,-,-,-,-,-
309,-,-,-,-,-,-,-
310,-,-,-,-,-,-,-
311,-,-,-,-,-,-,-
312,-,-,-,-,-,-,0.1
313,-,-,-,-,-,-,-
314,-,-,-,-,-,-,-
315,-,-,-,-,-,-,0.1
316,-,-,-,-,-,-,-
317,-,-,-,-,-,-,-
318,-,-,-,-,-,-,-
319,-,-,-,-,-,-,-
320,-,-,-,-,-,-,-
321,-,-,-,-,-,-,-
322,0.1,-,-,-,-,-,0.1
323,-,-,-,-,-,-,-
324,-,-,-,-,-,-,-
325,-,-,-,-,-,-,-
326,-,-,-,-,-,-,-
327,-,-,-,-,-,-,-
328,-,-,-,-,-,-,-
329,-,-,-,-,-,-,-
330,-,-,-,-,-,-,0.1
331,-,-,-,-,-,0.1,0.1
332,-,-,-,-,-,0.1,0.1
333,-,-,-,-,-,-,-
334,-,-,-,-,-,-,-
335,-,-,-,-,-,-,-
336,0.1,-,-,-,-,-,0.1
