,TotGs,SYBGs,PAGs,OOBGs
253,0.1,-,0.1,-
254,0.1,-,-,-
255,-,-,-,-
256,0.2,-,0.2,-
257,-,-,-,-
258,0.1,-,-,-
259,0.1,0.1,-,-
260,0.3,0.1,0.2,-
261,0.1,-,0.1,-
262,0.1,-,0.1,-
263,0.1,-,0.1,-
264,0.1,0.1,-,-
265,-,-,-,-
266,-,-,-,-
267,-,-,-,-
268,-,-,-,-
269,-,-,-,-
270,0.1,-,0.1,-
271,-,-,-,-
272,-,-,-,-
273,-,-,-,-
274,-,-,-,-
275,-,-,-,-
276,-,-,-,-
277,-,-,-,-
278,-,-,-,-
279,-,-,-,-
280,-,-,-,-
281,0.2,0.2,-,-
282,0.1,-,-,-
283,-,-,-,-
284,0.3,-,0.2,-
285,-,-,-,-
286,0.2,0.1,0.1,-
287,0.1,-,-,0.1
288,-,-,-,-
289,0.5,-,0.5,-
290,0.1,-,0.1,-
291,-,-,-,-
292,-,-,-,-
293,0.2,0.1,0.1,-
294,-,-,-,-
295,-,-,-,-
296,-,-,-,-
297,-,-,-,-
298,-,-,-,-
299,-,-,-,-
300,0.1,-,-,-
301,0.3,0.1,0.2,-
302,-,-,-,-
303,0.1,-,0.1,-
304,0.1,-,-,-
305,-,-,-,-
306,0.2,0.2,0.1,-
307,-,-,-,-
308,-,-,-,-
309,-,-,-,-
310,-,-,-,-
311,0.1,-,0.1,-
312,0.1,-,0.1,-
313,-,-,-,-
314,0.3,-,0.3,-
315,-,-,-,-
316,-,-,-,-
317,0.1,-,0.1,-
318,0.1,-,0.1,-
319,-,-,-,-
320,0.1,0.1,-,-
321,-,-,-,-
322,-,-,-,-
323,-,-,-,-
324,-,-,-,-
325,0.1,-,-,0.1
326,-,-,-,-
327,-,-,-,-
328,-,-,-,-
329,0.2,-,0.1,0.1
330,-,-,-,-
331,-,-,-,-
332,-,-,-,-
333,0.1,-,0.1,-
334,-,-,-,-
335,0.1,-,0.1,-
336,-,-,-,-
337,0.1,0.1,-,-
338,-,-,-,-
339,-,-,-,-
340,0.2,0.1,0.1,-
341,0.1,-,0.1,-
342,0.1,-,0.1,-
343,0.2,0.1,0.1,-
344,-,-,-,-
345,-,-,-,-
346,-,-,-,-
347,-,-,-,-
348,0.1,-,0.1,-
349,0.1,0.1,-,-
350,-,-,-,-
351,-,-,-,-
352,-,-,-,-
353,-,-,-,-
354,-,-,-,-
355,-,-,-,-
356,-,-,-,-
357,-,-,-,-
358,0.1,-,0.1,-
359,-,-,-,-
360,0.1,-,-,-
361,-,-,-,-
362,-,-,-,-
363,0.1,-,0.1,-
364,-,-,-,-
365,-,-,-,-
366,0.1,0.1,-,-
367,0.2,0.1,0.1,-
368,-,-,-,-
369,0.3,-,0.3,-
370,0.1,-,0.1,-
371,-,-,-,-
372,-,-,-,-
373,0.2,-,0.1,-
374,-,-,-,-
375,0.2,0.1,0.1,-
376,-,-,-,-
377,-,-,-,-
378,0.1,-,0.1,-
379,-,-,-,-
380,-,-,-,-
381,-,-,-,-
382,-,-,-,-
383,-,-,-,-
384,-,-,-,-
385,-,-,-,-
386,0.1,0.1,-,-
387,0.1,-,0.1,-
388,-,-,-,-
389,-,-,-,-
390,-,-,-,-
391,-,-,-,-
392,-,-,-,-
393,-,-,-,-
394,-,-,-,-
395,0.1,-,0.1,-
396,-,-,-,-
397,0.1,0.1,-,-
398,-,-,-,-
399,0.1,-,0.1,-
400,0.1,-,0.1,-
401,-,-,-,-
402,0.1,0.1,-,-
403,-,-,-,-
404,-,-,-,-
405,0.2,-,0.2,-
406,0.1,-,0.1,-
407,-,-,-,-
408,-,-,-,-
409,-,-,-,-
410,-,-,-,-
411,-,-,-,-
412,-,-,-,-
413,0.1,0.1,-,-
414,-,-,-,-
415,-,-,-,-
416,0.1,-,0.1,-
417,-,-,-,-
418,-,-,-,-
419,-,-,-,-
420,-,-,-,-
421,-,-,-,-
422,-,-,-,-
423,-,-,-,-
424,-,-,-,-
425,-,-,-,-
426,-,-,-,-
427,0.1,-,0.1,-
428,-,-,-,-
429,-,-,-,-
430,0.2,-,0.2,-
431,-,-,-,-
432,-,-,-,-
433,0.1,0.1,-,-
434,0.2,-,0.2,-
435,-,-,-,-
436,-,-,-,-
437,-,-,-,-
438,-,-,-,-
439,0.1,0.1,-,-
440,-,-,-,-
441,-,-,-,-
442,-,-,-,-
443,0.1,-,-,-
444,-,-,-,-
445,-,-,-,-
446,-,-,-,-
447,-,-,-,-
448,-,-,-,-
449,-,-,-,-
450,-,-,-,-
451,-,-,-,-
452,-,-,-,-
453,-,-,-,-
454,-,-,-,-
455,-,-,-,-
456,-,-,-,-
457,-,-,-,-
458,-,-,-,-
459,-,-,-,-
460,-,-,-,-
461,0.1,-,0.1,-
462,-,-,-,-
463,-,-,-,-
464,-,-,-,-
465,-,-,-,-
466,-,-,-,-
467,-,-,-,-
468,-,-,-,-
469,-,-,-,-
470,-,-,-,-
471,-,-,-,-
472,-,-,-,-
473,-,-,-,-
474,-,-,-,-
475,-,-,-,-
476,-,-,-,-
477,-,-,-,-
478,-,-,-,-
479,-,-,-,-
480,-,-,-,-
481,-,-,-,-
482,-,-,-,-
483,-,-,-,-
484,-,-,-,-
485,-,-,-,-
486,-,-,-,-
487,-,-,-,-
488,-,-,-,-
489,-,-,-,-
490,-,-,-,-
491,-,-,-,-
492,-,-,-,-
493,-,-,-,-
494,-,-,-,-
495,-,-,-,-
496,-,-,-,-
497,-,-,-,-
498,-,-,-,-
499,-,-,-,-
500,-,-,-,-
501,-,-,-,-
502,-,-,-,-
503,-,-,-,-
504,-,-,-,-
505,-,-,-,-
506,-,-,-,-
507,-,-,-,-
508,-,-,-,-
509,-,-,-,-
510,-,-,-,-
511,-,-,-,-
512,-,-,-,-
513,-,-,-,-
514,-,-,-,-
515,-,-,-,-
516,-,-,-,-
517,-,-,-,-
518,-,-,-,-
519,-,-,-,-
520,-,-,-,-
521,-,-,-,-
522,-,-,-,-
523,-,-,-,-
524,-,-,-,-
525,-,-,-,-
526,-,-,-,-
527,-,-,-,-
528,-,-,-,-
529,-,-,-,-
530,-,-,-,-
531,-,-,-,-
532,-,-,-,-
533,-,-,-,-
534,-,-,-,-
535,-,-,-,-
536,-,-,-,-
537,-,-,-,-
538,-,-,-,-
539,-,-,-,-
540,-,-,-,-
541,-,-,-,-
542,-,-,-,-
