,YelC,RedC
422,-,-
423,0.2,0.1
424,-,-
425,0.1,-
426,0.1,-
427,0.2,-
428,0.1,-
429,0.1,-
430,-,-
431,0.2,-
432,0.1,-
433,0.1,-
434,-,-
435,0.1,-
436,1,-
437,-,-
438,0.1,-
439,0.1,-
440,0.3,-
441,-,-
442,-,-
443,0.1,-
444,0.2,0.1
445,0.1,-
446,-,-
447,-,-
448,0.1,-
449,0.1,-
450,-,-
451,-,-
452,0.3,-
453,-,-
454,0.1,-
455,-,-
456,-,-
457,0.4,-
458,-,-
459,-,-
460,-,-
461,-,-
462,-,-
463,-,-
464,-,-
465,0.2,-
466,-,-
467,0.2,-
468,-,-
469,-,-
470,-,-
471,-,-
472,0.1,-
473,-,-
474,-,-
475,0.5,-
476,-,-
477,-,-
478,0.3,-
479,-,-
480,-,0.1
481,0.3,-
482,0.3,-
483,-,-
484,0.1,-
485,-,-
486,-,-
487,-,-
488,-,-
489,-,-
490,-,-
491,-,-
492,0.1,-
493,-,-
494,-,-
495,0.1,-
496,-,-
497,-,-
498,-,-
499,-,-
500,-,-
501,0.3,-
502,0.3,-
503,-,-
504,0.1,-
505,-,-
506,0.2,-
507,-,-
508,-,-
509,-,-
510,-,-
511,0.1,-
512,0.1,-
513,-,-
514,0.1,0.1
515,-,-
516,-,-
517,0.2,-
518,-,-
519,-,-
520,-,-
521,0.1,-
522,-,-
523,0.1,-
524,-,-
525,0.5,-
526,-,-
527,-,-
528,0.3,-
529,0.5,-
530,-,-
531,0.3,-
532,-,-
533,-,-
534,-,-
535,-,-
536,-,-
537,-,-
538,-,-
539,-,-
540,-,-
541,-,-
542,-,-
543,-,-
544,-,-
545,-,-
546,0.3,-
547,0.2,-
548,-,-
549,-,0.1
550,-,-
551,-,-
552,0.1,-
553,0.3,-
554,-,-
555,-,-
556,0.2,0.1
557,1,-
558,-,-
559,-,-
560,0.1,0.1
561,-,-
562,0.5,-
563,-,-
