Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Savinho,20(6),1665,1,8,3,-,2,87.2,-,3,6.97
Dean Huijsen,21(5),1960,2,1,7,-,0.6,84.4,2.3,2,6.96
Kevin De Bruyne,14(8),1281,3,7,2,-,2,82.7,0.2,1,6.96
Julio Enciso,7(1),510,1,3,3,-,2.3,72.9,0.6,-,6.96
Abdul Fatawu,6(5),577,-,2,-,-,1.2,68.4,1.3,1,6.96
Thomas Partey,26(4),2349,4,2,4,-,0.8,88.9,0.9,1,6.96
Guglielmo Vicario,20,1800,-,-,1,-,-,88.7,0.5,1,6.95
Nathan Collins,32,2880,2,2,4,-,0.5,86.3,3.2,-,6.95
Callum Hudson-Odoi,24(3),2087,5,2,2,-,1.4,89,0.1,1,6.95
João Pedro,22(4),1894,10,6,4,-,1.8,74.6,1.6,4,6.95
Enzo Fernández,26(4),2410,5,5,7,-,1.6,84.1,0.5,1,6.94
Yoane Wissa,28(1),2390,15,2,2,-,2.4,80.9,1,1,6.94
Joelinton,28,2315,4,3,9,-,1.6,84.2,2,3,6.94
Rayan Aït-Nouri,31,2635,4,6,4,1,0.9,86.6,0.6,2,6.94
Nikola Milenkovic,31,2790,4,2,4,-,0.8,81.5,2.9,1,6.94
Lewis Hall,24(3),2193,-,4,3,-,0.4,85.4,1.1,2,6.93
Dango Ouattara,18(11),1776,7,4,1,-,1.9,66.1,1.3,1,6.93
Ryan Christie,27(2),2131,2,3,9,-,1.1,82.1,0.8,3,6.92
Trevoh Chalobah,12,1063,3,-,1,-,0.9,79.8,1.8,-,6.92
Jason Steele,2,180,-,-,-,-,-,89.5,0.5,-,6.92
Sven Botman,3,226,-,-,1,-,0.3,88.3,3,-,6.91
Emmanuel Agbadou,10,871,-,-,2,-,0.5,83.6,1.8,1,6.91
Dejan Kulusevski,24(4),2171,7,4,3,-,1.5,81.1,0.3,1,6.91
Dominic Solanke,23,2033,7,3,-,-,2.4,72.7,1.8,1,6.91
Christian Nørgaard,28,2291,4,2,5,1,1.1,83,1.4,1,6.91
Gabriel Magalhães,28,2366,3,1,4,-,0.8,90.7,2,-,6.91
Kaoru Mitoma,28(3),2479,7,3,1,-,1.6,80.3,0.8,1,6.91
Morgan Rogers,31,2610,8,7,8,-,1.5,75,0.3,2,6.90
