,TotPs,AccLB,InAccLB,AccSP,InAccSP
152,29.5,6,9.2,14.2,0.2
153,25,0.7,0.8,20.7,2.8
154,55.8,1,1.4,49.6,3.8
155,39.1,0.5,0.2,34.2,4.2
156,27.9,1.7,1.9,20.7,3.6
157,45.6,3.4,5.6,33.6,3
158,48.2,1.2,2.2,42.5,2.4
159,20.8,0.5,0.8,15.5,4
160,26.8,0.9,0.4,22.6,2.9
161,50.9,1.6,3.1,41.8,4.4
162,12.5,0.4,0.3,8.4,3.4
163,67.2,4.1,3.4,55.6,4.1
164,41.2,2.2,2.1,33.5,3.3
165,20.1,0.7,0.4,17,2
166,58.9,2.2,1.5,52.4,2.8
167,39.1,1.7,1.8,30.5,5.2
168,32.3,4.3,6.3,20.8,1
169,36.4,1.3,3.2,28.6,3.4
170,31.9,1.1,2.2,25,3.6
171,26.7,0.2,0.2,22.6,3.7
172,35,1.1,1.6,27.9,4.3
173,28.1,1.3,2.5,19.4,4.9
174,77.6,2.6,3.2,67.3,4.5
175,56.4,1.9,2.2,49.7,2.6
176,34.7,1.7,1,27.4,4.6
177,43.5,0.8,1,38,3.7
178,47.4,2.4,3.4,38.4,3.2
179,36.8,1,1.2,29.9,4.7
180,28.1,0.9,1,23.1,3
181,40.6,2.4,2.5,31.8,3.9
182,15.8,0.6,0.7,11.8,2.6
183,30.8,6.5,11.2,13,0.1
184,35.5,0.6,1.1,29.9,3.8
185,21.7,0.3,0.7,17,3.7
186,50.2,2,1.1,44,3.1
187,36.9,7.7,13.6,15.2,0.4
188,15.7,0.8,2.2,9.8,2.8
189,44.3,3,4.1,32.9,4.2
190,40.7,1.4,0.5,35.5,3.4
191,36.9,1.3,1.8,29.8,4
192,28.1,0.9,1.5,20.9,4.8
193,23.1,0.2,0.9,18.9,3
194,71.5,1,2.8,64,3.8
195,31.5,0.8,0.5,27.2,3.1
196,14.1,0.3,0.2,11.1,2.4
197,33.6,4.4,6.9,22.1,0.3
198,35.4,2.1,1.5,26.1,5.7
199,41.8,2.2,1.7,35.1,2.8
200,30.4,3.8,2.5,21.5,2.6
201,31.8,5.4,3.9,22.1,0.4
202,33.7,5.2,6.8,21.4,0.4
203,3,-,-,2,1
204,25.9,1.3,0.5,22.3,1.7
205,49,1.3,0.7,44.1,2.9
206,37.1,0.9,0.7,31.9,3.7
207,13.2,0.3,0.1,11.4,1.4
208,40.6,2.1,1,34.9,2.6
209,44.5,4.8,5.6,29.9,4.2
210,45.4,2.5,3.7,36.5,2.6
211,25.4,0.8,0.4,22.2,2.1
212,17.9,0.6,0.6,13.7,3
213,43.3,1.4,1.2,36.1,4.7
214,12.3,0.3,0.2,8.2,3.6
215,49,1,1.1,44.6,2.3
216,8,0.1,0.1,4.5,3.3
217,22.1,0.2,0.4,20,1.5
218,65.5,1.5,2.2,58,3.7
219,30.6,1.4,0.8,25.5,3
220,25.5,1,0.9,21.1,2.7
221,24.9,1.1,1.4,18.2,4.1
222,12.3,0.1,0.2,7.7,4.3
223,26.9,0.7,0.6,23,2.7
224,33.3,3.3,9.2,20.7,0.1
225,29.1,4.3,12,12.7,0.2
226,34.4,0.9,0.9,29.8,2.9
227,85.7,2.5,2.4,77.7,3.1
228,29.7,5.2,8.9,15.1,0.5
229,45.4,1.2,1.8,39.2,3.2
230,34.1,1.8,2.7,24.8,4.8
231,46.1,1.8,2.3,39,3
232,25,4,7.3,13.7,-
233,26.3,0.3,0.8,22.1,3.1
