,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Yellow_Cards,Red_Cards,Total_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
42,Justin Kluivert,Bournemouth,25 years old (05-05-1999),171cm,Netherlands,"Attacking Midfielder (Centre, Left, Right), Forward",1,0.3,0.8,0.1,-,-,-,-,0.1,0.2,-,-,0.7,0.2,-,0.8,1.6,1.1,2.7,0.9,1.4,0.4,-,0.3,0.1,0.5,1.5,0.2,1.4,0.2,19.2,0.7,0.5,14.5,3.4,1.6,0.9,-,-,-,-,2,0.6,0.1,1.3,0.7,0.5,1.3,Justin Kluivert,24(4),1952,12,6,6,-,2,79.3,0.3,2,6.99
43,Elliot Anderson,Nottingham Forest,22 years old (06-11-2002),179cm,Scotland,"Midfielder (Centre, Left)",1.9,1.2,0.6,0.1,0.1,-,-,-,0.1,0.2,0.3,0.2,1.1,0.2,-,1.5,1.1,1.1,2.2,1.6,1.2,-,-,-,-,0.8,1.1,0.3,0.8,0.1,32.4,0.9,1.5,25.6,4.4,1.6,1.1,-,-,-,-,1.1,0.6,-,0.5,2.5,1.6,4,Elliot Anderson,27(4),2240,1,6,6,-,1.1,81.9,1.2,2,6.99
44,Alex Iwobi,Fulham,28 years old (03-05-1996),180cm,Nigeria,"Defender (Right), Midfielder (Centre, Left, Right)",1,0.2,0.9,-,-,-,-,-,0.1,0.2,-,-,0.7,-,-,0.8,1.3,1.3,2.6,0.5,0.5,0.3,-,0.2,0.1,0.3,1.6,0.2,1.4,0.1,36.5,1.6,1.3,27.4,6.2,1.6,1.2,-,-,-,-,1.8,0.7,0.1,1.1,1.2,0.3,1.5,Alex Iwobi,30(2),2568,8,5,1,-,1.8,79.5,0.2,6,6.98
45,Ayden Heaven,Manchester United,18 years old (22-09-2006),189cm,,Defender,1.5,0.5,1,-,-,-,-,-,-,-,1,0.5,-,-,-,2.5,-,1,1,1.5,1,-,-,-,-,0.5,-,-,-,-,24.5,1,1,19,3.5,1,0.5,-,-,-,-,-,-,-,-,1.5,-,1.5,Ayden Heaven,1(1),96,-,-,-,-,-,81.6,0.5,-,6.98
46,Mateo Kovacic,Manchester City,30 years old (06-05-1994),177cm,Croatia,"Midfielder (Centre, Left)",0.6,0.3,0.3,-,-,-,-,-,-,-,-,-,0.7,0.2,-,0.8,0.7,0.8,1.5,0.8,0.8,0.2,-,-,0.2,0.7,1.1,-,1.1,-,60,1.2,1.1,54.5,3.1,0.6,1.1,-,-,-,-,1.3,1,-,0.3,2.2,1.2,3.4,Mateo Kovacic,21(5),1862,5,1,5,-,1.3,92.9,0.3,2,6.98
47,James Maddison,Tottenham,28 years old (23-11-1996),175cm,England,"Attacking Midfielder (Centre, Left, Right)",0.4,0.2,0.3,0.1,-,-,-,-,0.1,0.2,0.1,0.1,0.4,0.2,-,0.6,1.4,1,2.5,2.1,1,0.3,0.1,0.1,0.1,0.4,1.3,0.2,1.1,0.1,37.6,1.3,1.2,31.2,3.8,0.8,0.8,-,-,-,-,1.3,0.5,0.2,0.6,1,0.6,1.6,James Maddison,20(10),1772,9,6,6,-,1.3,86.7,0.2,2,6.98
48,Nicolas Jackson,Chelsea,23 years old (20-06-2001),186cm,Senegal,Forward,2,0.7,1.3,-,-,-,-,-,0.2,0.2,0.1,-,0.4,0.3,-,0.6,1.5,0.7,2.1,1,1,0.3,0.1,0.3,-,0.1,1,0.1,0.9,0.7,12.8,0.2,0.1,9.4,3.1,2.2,1.3,-,-,-,-,2.8,0.3,0.5,2,0.7,0.2,0.9,Nicolas Jackson,24(2),1965,9,5,7,-,2.8,75.4,0.7,2,6.97
49,Pedro Porro,Tottenham,25 years old (13-09-1999),173cm,Spain,"Defender (Right), Midfielder (Right)",1.1,0.4,0.7,0.1,0.1,-,-,-,-,0.2,0.6,0.3,0.8,0.1,-,2.3,0.7,0.4,1.1,0.9,0.8,0.1,-,0.1,-,1.1,1.6,0.6,1,-,43.7,2.5,3.4,30.8,7,0.8,0.5,-,-,-,-,1.2,0.9,-,0.3,2,1,3,Pedro Porro,25(5),2371,2,5,4,-,1.2,76.1,0.4,2,6.97
50,Savinho,Manchester City,21 years old (10-04-2004),179cm,Brazil,"Attacking Midfielder (Centre, Left, Right)",0.1,-,0.1,-,-,0.1,-,-,0.2,0.3,0.1,-,0.4,0.1,-,0.3,2.3,1.9,4.2,1,0.7,-,-,-,-,0.2,1.7,0.1,1.6,0.1,27.6,0.8,0.3,23.3,3.2,1.6,1.4,-,-,-,-,2,0.8,-,1.2,0.8,0.3,1.2,Savinho,20(6),1665,1,8,3,-,2,87.2,-,3,6.97
51,Dean Huijsen,Bournemouth,20 years old (14-04-2005),195cm,Spain,Defender (Centre),3.8,2.3,1.5,-,-,-,-,-,-,-,0.9,0.2,0.3,0.3,-,5.8,0.1,0.1,0.2,0.3,1,0.1,-,-,-,1.8,0.5,-,0.5,0.1,46.7,4.1,3.6,35.3,3.7,0.6,-,-,-,-,-,0.6,0.1,0.3,0.1,1.2,0.4,1.6,Dean Huijsen,21(5),1960,2,1,7,-,0.6,84.4,2.3,2,6.96
52,Kevin De Bruyne,Manchester City,33 years old (28-06-1991),181cm,Belgium,"Midfielder (Centre, Left, Right), Forward",0.7,0.2,0.5,-,-,-,-,-,0.2,0.3,-,0.1,0.3,0.1,-,0.4,0.8,0.5,1.4,0.6,0.6,0.1,-,-,0.1,0.3,2,0.5,1.5,0.2,35.5,1.2,0.5,28.1,5.6,1,1,-,-,-,-,2,1.2,-,0.8,0.6,0.7,1.3,Kevin De Bruyne,14(8),1281,3,7,2,-,2,82.7,0.2,1,6.96
53,Julio Enciso,Ipswich,21 years old (23-01-2004),173cm,Paraguay,"Attacking Midfielder (Centre, Left)",2.4,0.6,1.8,0.1,0.1,-,-,-,0.3,0.4,-,-,0.3,0.4,-,0.3,1.6,2.3,3.9,1.3,0.6,0.1,-,0.1,-,0.1,1.1,0.3,0.9,-,19.4,0.5,0.3,13.6,5,1.5,2.6,-,-,-,-,2.3,1.5,-,0.8,0.9,0.1,1,Julio Enciso,7(1),510,1,3,3,-,2.3,72.9,0.6,-,6.96
54,Abdul Fatawu,Leicester,21 years old (08-03-2004),177cm,Ghana,"Attacking Midfielder (Left, Right)",2.5,1.3,1.2,0.1,-,-,-,-,0.1,0.2,-,-,0.6,-,-,1.1,3.6,2.6,6.3,1.8,1,-,-,-,-,0.4,0.5,-,0.5,0.2,14.4,1,0.8,8.8,3.7,1.6,1.1,-,-,-,-,1.2,0.8,0.1,0.3,1.9,0.7,2.6,Abdul Fatawu,6(5),577,-,2,-,-,1.2,68.4,1.3,1,6.96
55,Thomas Partey,Arsenal,31 years old (13-06-1993),185cm,Ghana,"Defender (Right), Midfielder (Centre, Right)",1.6,0.9,0.7,-,-,-,-,-,0.1,0.1,0.2,0.2,0.5,0.1,-,1.3,0.3,0.6,0.9,0.9,1.2,0.1,-,-,0.1,1,0.6,-,0.6,-,50.9,1.7,1.1,43.6,4.5,0.6,0.4,-,-,-,-,0.8,0.5,0.1,0.1,2.6,0.8,3.4,Thomas Partey,26(4),2349,4,2,4,-,0.8,88.9,0.9,1,6.96
56,Guglielmo Vicario,Tottenham,28 years old (07-10-1996),194cm,Italy,Goalkeeper,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,0.1,-,1.6,-,0.1,0.1,0.1,-,-,-,-,-,0.1,-,-,-,-,31.3,2,2.8,25.8,0.8,-,-,2.9,0.1,2.3,0.7,-,-,-,-,-,-,-,Guglielmo Vicario,20,1800,-,-,1,-,-,88.7,0.5,1,6.95
57,Nathan Collins,Brentford,23 years old (30-04-2001),193cm,Ireland,"Defender (Centre, Right)",4.9,3.2,1.7,-,-,-,-,-,-,0.1,1.5,0.1,0.6,0.1,-,5.8,0.2,0.2,0.4,0.8,0.8,0.1,-,-,-,1,0.3,-,0.2,0.2,52.3,1.9,2.7,43.3,4.4,0.5,0.3,-,-,-,-,0.5,0.1,0.1,0.3,1.1,0.3,1.4,Nathan Collins,32,2880,2,2,4,-,0.5,86.3,3.2,-,6.95
58,Callum Hudson-Odoi,Nottingham Forest,24 years old (07-11-2000),182cm,England,"Midfielder (Centre, Left, Right)",0.5,0.1,0.4,-,-,-,-,-,0.1,0.1,-,-,0.4,0.1,-,0.4,1,1.2,2.2,0.7,0.4,0.2,-,-,0.1,0.5,1.6,0.1,1.6,0.3,26.5,0.9,0.7,22.7,2.3,1.6,0.9,-,-,-,-,1.4,0.4,-,0.9,0.7,0.2,0.9,Callum Hudson-Odoi,24(3),2087,5,2,2,-,1.4,89,0.1,1,6.95
59,João Pedro,Brighton,23 years old (26-09-2001),182cm,Brazil,"Attacking Midfielder (Centre, Left), Forward",3.3,1.6,1.8,-,-,0.1,-,-,0.2,0.2,-,-,0.5,0.2,-,0.4,2,1,3,1.7,0.9,0.4,0.1,0.3,-,0.3,1.1,0.1,1,0.1,23.3,0.5,0.3,16.8,5.6,2.7,1.4,-,-,-,-,1.8,0.3,0.1,1.3,0.6,0.3,0.8,João Pedro,22(4),1894,10,6,4,-,1.8,74.6,1.6,4,6.95
60,Enzo Fernández,Chelsea,24 years old (17-01-2001),178cm,Argentina,Midfielder (Centre),1.5,0.5,1,-,-,-,-,-,0.1,0.2,0.2,0.1,0.9,0.2,-,0.6,0.7,0.7,1.4,1.4,1.5,0.2,0.1,0.1,-,0.4,2.3,0.5,1.8,-,51.3,2.9,1.9,40.2,6.2,0.9,0.9,-,-,-,-,1.6,0.7,0.1,0.8,1.9,1.5,3.4,Enzo Fernández,26(4),2410,5,5,7,-,1.6,84.1,0.5,1,6.94
61,Yoane Wissa,Brentford,28 years old (03-09-1996),176cm,DR Congo,"Attacking Midfielder (Left), Forward",2,1,1,-,-,-,-,-,0.1,0.1,0.2,-,0.7,0.1,-,0.7,1,0.4,1.4,1.5,0.9,0.5,0.2,0.3,-,0.3,0.8,-,0.8,0.4,16.4,0.5,0.4,12.8,2.7,2,0.9,-,-,-,-,2.4,0.4,0.4,1.6,0.6,0.4,1,Yoane Wissa,28(1),2390,15,2,2,-,2.4,80.9,1,1,6.94
62,Joelinton,Newcastle,28 years old (14-08-1996),186cm,Brazil,"Attacking Midfielder (Centre, Left, Right), Forward",3.6,2,1.7,-,-,-,-,-,0.1,0.1,0.2,-,1.1,0.3,-,1.6,1.1,0.5,1.6,1.2,2,0.1,-,0.1,-,0.8,0.8,-,0.8,0.3,34.5,0.5,0.5,28.5,4.9,1.4,1.8,-,-,-,-,1.6,0.4,0.3,1,2,0.7,2.6,Joelinton,28,2315,4,3,9,-,1.6,84.2,2,3,6.94
63,Rayan Aït-Nouri,Wolves,23 years old (06-06-2001),180cm,Algeria,"Defender (Left), Midfielder (Left)",1.4,0.6,0.8,0.1,-,-,-,-,0.1,0.2,0.2,0.3,1.1,0.1,-,1.8,1.6,1.6,3.2,1.1,0.8,0.1,-,0.1,-,0.7,1.1,0.2,1,0.1,36.9,0.6,1.3,31.3,3.7,1.2,1.2,-,-,-,-,0.9,0.2,0.1,0.7,2.5,0.8,3.3,Rayan Aït-Nouri,31,2635,4,6,4,1,0.9,86.6,0.6,2,6.94
64,Nikola Milenkovic,Nottingham Forest,27 years old (12-10-1997),195cm,Serbia,"Defender (Centre, Right)",4.1,2.9,1.2,-,-,-,-,-,0.1,0.1,0.7,-,0.5,0.1,-,5.1,-,-,-,0.1,0.5,0.1,0.1,0.1,-,0.7,0.2,0.1,0.2,-,27.1,2.4,2.4,19.6,2.6,-,0.1,-,-,-,-,0.8,0.1,0.2,0.5,1.4,0.2,1.5,Nikola Milenkovic,31,2790,4,2,4,-,0.8,81.5,2.9,1,6.94
65,Lewis Hall,Newcastle,20 years old (08-09-2004),179cm,England,"Defender (Left), Midfielder (Left)",2.3,1.1,1.1,0.1,-,-,-,-,-,0.1,0.7,0.9,0.6,0.1,-,1.9,0.4,0.4,0.8,0.8,0.3,-,-,-,-,0.7,1.3,0.4,0.9,-,48.6,2.1,2.1,39.4,5,1.2,0.7,-,-,-,-,0.4,0.1,-,0.3,2.1,1.3,3.4,Lewis Hall,24(3),2193,-,4,3,-,0.4,85.4,1.1,2,6.93
66,Dango Ouattara,Bournemouth,23 years old (11-02-2002),177cm,Burkina Faso,"Defender (Left), Midfielder (Left, Right), Forward",3.2,1.3,1.9,-,-,-,-,-,0.1,0.1,0.3,0.1,0.8,-,-,1.5,1.3,1.2,2.5,0.6,0.5,0.2,0.1,0.2,-,0.3,1.1,0.1,0.9,0.4,14.9,0.3,0.9,9.6,4.2,1.8,1,-,-,-,-,1.9,0.4,0.4,1.1,1.1,0.8,1.8,Dango Ouattara,18(11),1776,7,4,1,-,1.9,66.1,1.3,1,6.93
67,Ryan Christie,Bournemouth,30 years old (22-02-1995),178cm,Scotland,"Midfielder (Centre, Left, Right), Forward",1.8,0.8,1,0.1,-,-,-,-,-,0.1,0.4,0.1,1.1,0.3,-,1.7,0.9,0.8,1.7,1.1,1.5,0.1,-,-,-,1,1.4,0.2,1.2,-,34.4,1.9,2.3,26.4,3.9,1.5,0.9,-,-,-,-,1.1,0.6,0.1,0.4,1.9,1.3,3.1,Ryan Christie,27(2),2131,2,3,9,-,1.1,82.1,0.8,3,6.92
68,Trevoh Chalobah,Chelsea,25 years old (05-07-1999),190cm,England,"Defender (Centre, Right), Defensive Midfielder (C)",3.4,1.8,1.6,-,-,-,-,-,-,-,0.8,-,0.8,0.1,-,4.8,0.3,0.5,0.8,1.3,0.8,0.3,0.2,0.1,-,1.6,0.3,0.1,0.3,0.1,35.8,2.7,3.5,25.9,3.8,0.3,0.6,-,-,-,-,0.9,0.3,0.3,0.4,1.7,0.9,2.6,Trevoh Chalobah,12,1063,3,-,1,-,0.9,79.8,1.8,-,6.92
69,Jason Steele,Brighton,34 years old (18-08-1990),188cm,England,Goalkeeper,1,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,52.5,7,4.5,40,1,-,-,1.5,-,1,0.5,-,-,-,-,-,-,-,Jason Steele,2,180,-,-,-,-,-,89.5,0.5,-,6.92
70,Sven Botman,Newcastle,25 years old (12-01-2000),193cm,Netherlands,Defender (Centre),5.3,3,2.3,-,-,-,-,-,-,-,0.3,-,0.3,0.3,-,4,0.7,0.3,1,0.7,1.3,-,-,-,-,1.3,-,-,-,-,42.7,2,1,35.7,4,0.3,-,-,-,-,-,0.3,-,-,0.3,1.7,0.3,2,Sven Botman,3,226,-,-,1,-,0.3,88.3,3,-,6.91
71,Emmanuel Agbadou,Wolves,27 years old (17-06-1997),192cm,Ivory Coast,"Defender (Centre, Right), Defensive Midfielder (C)",3.1,1.8,1.3,-,-,-,-,-,-,-,0.9,-,0.4,0.2,-,6.2,0.3,0.7,1,0.4,0.3,-,-,-,-,0.9,0.2,0.1,0.1,0.1,55.6,4.9,4.2,41.6,4.9,0.2,0.3,-,-,-,-,0.5,0.3,-,0.2,2.1,0.5,2.6,Emmanuel Agbadou,10,871,-,-,2,-,0.5,83.6,1.8,1,6.91
72,Dejan Kulusevski,Tottenham,24 years old (25-04-2000),186cm,Sweden,"Attacking Midfielder (Centre, Right), Forward",0.8,0.3,0.4,-,-,-,-,-,0.1,0.1,0.1,-,0.8,0.1,-,0.3,2.6,1.3,3.8,1.2,1.4,0.3,0.1,0.2,-,0.4,2.3,0.2,2.1,0.2,26.3,0.5,0.4,20.9,4.6,2.6,2.5,-,-,-,-,1.5,0.3,0.1,1.1,1.4,1.1,2.5,Dejan Kulusevski,24(4),2171,7,4,3,-,1.5,81.1,0.3,1,6.91
73,Dominic Solanke,Tottenham,27 years old (14-09-1997),187cm,England,Forward,4.2,1.8,2.4,-,-,0.1,-,-,-,0.1,0.3,-,0.4,-,-,1,1.4,0.7,2.1,1.5,1.6,0.3,0.1,0.2,-,-,0.6,-,0.6,0.2,14.5,0.5,0.2,10,3.8,2.8,2,-,-,-,-,2.4,0.2,0.2,2,0.8,0.3,1.1,Dominic Solanke,23,2033,7,3,-,-,2.4,72.7,1.8,1,6.91
74,Christian Nørgaard,Brentford,31 years old (10-03-1994),187cm,Denmark,"Defender (Centre), Defensive Midfielder (C)",2.5,1.4,1.1,-,-,-,-,-,0.1,0.1,0.6,-,1,0.2,-,2,0.2,0.2,0.4,0.9,1.3,0.1,-,0.1,-,1.4,0.5,0.1,0.4,-,40.2,1.8,1.6,31.6,5.2,1,0.6,-,-,-,-,1.1,0.4,0.1,0.6,2.6,0.9,3.5,Christian Nørgaard,28,2291,4,2,5,1,1.1,83,1.4,1,6.91
75,Gabriel Magalhães,Arsenal,27 years old (19-12-1997),190cm,Brazil,Defender (Centre),3.3,2,1.4,-,-,-,-,-,-,-,1,0.1,0.5,0.1,-,3.2,-,0.1,0.2,0.7,0.7,0.1,0.1,-,-,0.6,0.5,0.1,0.4,-,58.1,2,2.8,50.7,2.6,0.3,0.1,-,-,-,-,0.8,0.1,0.5,0.3,0.9,0.1,1,Gabriel Magalhães,28,2366,3,1,4,-,0.8,90.7,2,-,6.91
76,Kaoru Mitoma,Brighton,27 years old (20-05-1997),178cm,Japan,Midfielder (Left),1.6,0.8,0.8,-,-,-,-,-,0.1,0.1,0.1,0.1,1.4,-,-,0.2,2.5,1.5,4.1,0.7,1.2,0.2,0.1,0.1,-,0.4,1.1,-,1.1,0.2,26.5,0.5,0.5,20.8,4.7,1.5,0.7,-,-,-,-,1.6,0.2,0.2,1.2,1.3,0.9,2.2,Kaoru Mitoma,28(3),2479,7,3,1,-,1.6,80.3,0.8,1,6.91
77,Morgan Rogers,Aston Villa,22 years old (26-07-2002),187cm,England,"Attacking Midfielder (Centre, Left, Right), Forward",1.7,0.3,1.4,-,-,-,-,-,0.2,0.2,0.2,0.1,0.5,0.3,-,0.5,2.7,1.8,4.6,1.5,1.4,0.3,-,0.2,0.1,0.2,1.4,0.1,1.3,0.1,24.3,0.8,0.1,17.4,5.9,2.9,2.1,-,-,-,-,1.5,0.5,0.2,0.9,1.1,0.6,1.7,Morgan Rogers,31,2610,8,7,8,-,1.5,75,0.3,2,6.9
78,Djed Spence,Tottenham,24 years old (09-08-2000),185cm,England,"Defender (Left, Right), Midfielder (Right)",1.4,0.8,0.6,-,-,0.1,-,-,0.1,0.1,0.5,0.5,0.7,0.1,0.1,2.1,1.6,1.7,3.3,1.2,0.9,0.1,-,0.1,-,0.9,0.5,0.1,0.5,0.1,41.8,0.4,0.6,36.6,4.3,1.2,1.2,-,-,-,-,0.4,0.3,-,0.2,2,0.3,2.3,Djed Spence,14(5),1334,1,2,2,1,0.4,88.4,0.8,1,6.9
79,Carlos Baleba,Brighton,21 years old (03-01-2004),179cm,Cameroon,Defensive Midfielder (C),2.1,1.3,0.8,-,-,-,-,-,-,-,0.3,-,1.1,0.2,-,1,0.7,1.1,1.8,1.5,1.3,0.1,-,-,-,1.4,0.7,0.3,0.5,-,37.4,2,1.4,30.8,3.2,1.2,1.1,-,-,-,-,1.4,1.2,-,0.2,2.3,0.9,3.2,Carlos Baleba,25(3),2158,2,1,6,1,1.4,87.7,1.3,1,6.89
80,Lewis Cook,Bournemouth,28 years old (03-02-1997),175cm,England,"Defender (Right), Midfielder (Centre, Left)",2.4,1.3,1.1,-,-,-,-,-,0.1,0.1,0.3,0.1,0.6,0.3,-,1.8,0.2,0.3,0.5,0.3,1.5,-,-,-,-,1.3,1.5,0.3,1.2,0.1,40.3,2,2.2,30.7,5.4,0.9,0.5,-,-,-,-,0.5,0.4,-,0.1,2.4,0.9,3.3,Lewis Cook,29(2),2662,1,3,8,-,0.5,81.2,1.3,-,6.89
81,Brennan Johnson,Tottenham,23 years old (23-05-2001),186cm,Wales,"Attacking Midfielder (Centre, Left, Right), Forward",0.9,0.2,0.7,0.1,-,-,-,-,-,0.1,0.1,0.1,0.7,0.2,-,0.3,0.8,0.7,1.4,0.8,0.9,0.4,0.2,0.2,-,0.1,0.7,-,0.7,0.3,18.4,0.1,0.3,14.1,3.9,0.8,0.6,-,-,-,-,1.8,-,0.4,1.4,1.3,0.5,1.9,Brennan Johnson,22(7),1975,11,3,5,-,1.8,77.4,0.2,2,6.89
82,Neco Williams,Nottingham Forest,24 years old (13-04-2001),183cm,Wales,"Defender (Left, Right), Midfielder (Left, Right)",1.9,1.1,0.8,-,-,-,-,-,-,0.1,0.2,0.5,1,0.2,-,3.1,0.8,0.5,1.3,1.2,0.7,-,-,-,-,0.8,0.5,0.1,0.4,-,22.3,0.7,1.6,17.3,2.7,0.7,0.5,-,-,-,-,1.1,0.6,-,0.6,2.3,0.8,3.1,Neco Williams,22(7),2052,1,2,5,-,1.1,80.8,1.1,1,6.89
83,Maxence Lacroix,Crystal Palace,25 years old (06-04-2000),190cm,France,Defender (Centre),3.4,1.9,1.5,-,-,-,-,-,-,-,0.4,0.1,0.9,0.2,-,5.7,0.2,0.3,0.4,0.6,1.1,-,-,-,-,1.7,0.2,-,0.2,-,43.9,3.2,3.6,33,4.1,0.7,0.1,-,-,-,-,0.9,0.1,0.2,0.5,2.2,0.5,2.7,Maxence Lacroix,29,2579,1,1,5,-,0.9,82.4,1.9,2,6.89
84,Alex Palmer,Ipswich,28 years old (10-08-1996),191cm,England,Goalkeeper,0.4,0.4,-,-,-,-,-,-,-,-,-,-,-,0.3,-,1.5,-,-,-,0.1,0.1,-,-,-,-,-,0.1,0.1,-,-,26.3,6.3,9.3,10.6,0.1,0.1,-,4.1,0.5,2.4,1.3,-,-,-,-,-,-,-,Alex Palmer,8,720,-,-,2,-,-,64.3,0.4,-,6.89
85,Ibrahima Konaté,Liverpool,25 years old (25-05-1999),194cm,France,Defender (Centre),3.7,2.6,1.1,-,-,-,-,-,0.1,0.1,0.6,0.3,0.5,0.2,-,3.9,0.1,0.1,0.2,0.7,0.9,-,-,-,-,0.4,0.4,0.2,0.2,-,61.2,1.6,2.5,53.8,3.3,0.3,0.1,-,-,-,-,0.5,-,0.1,0.4,1.3,0.4,1.7,Ibrahima Konaté,25(1),2145,1,2,5,-,0.5,90.4,2.6,-,6.89
86,Marcus Tavernier,Bournemouth,26 years old (22-03-1999),178cm,England,"Midfielder (Centre, Left, Right)",2.2,0.9,1.3,0.1,-,-,0.1,-,0.1,0.2,0.1,0.1,0.5,0.2,-,0.4,1.2,0.9,2,0.9,1,0.1,-,0.1,-,0.2,1.6,0.4,1.2,0.2,25.2,1,0.7,19.1,4.5,1.6,1.8,-,-,-,-,2,1.1,0.2,0.7,1.7,0.7,2.3,Marcus Tavernier,16(7),1533,3,5,5,-,2,79.7,0.9,-,6.88
87,William Saliba,Arsenal,24 years old (24-03-2001),192cm,France,Defender (Centre),3,1.9,1.1,-,-,-,-,-,-,-,0.4,-,0.3,0.1,-,3.4,0.2,0.4,0.6,0.5,0.9,0.1,0.1,-,-,0.6,0.2,-,0.2,-,71.1,2.1,1.2,64.8,3,0.6,0.2,-,-,-,-,0.2,-,0.1,-,1.8,0.2,2,William Saliba,30,2636,2,-,2,1,0.2,94,1.9,2,6.87
88,Dominik Szoboszlai,Liverpool,24 years old (25-10-2000),186cm,Hungary,"Attacking Midfielder (Centre, Left, Right), Forward",1.2,0.6,0.7,-,-,-,-,-,0.1,0.1,0.1,0.2,1,0.2,-,0.3,0.5,0.6,1.2,0.7,1.2,0.2,-,0.1,-,0.3,1.4,0.1,1.2,0.1,35.8,1.4,0.8,29.2,4.4,1.1,0.7,-,-,-,-,1.9,0.8,0.1,1,1,0.7,1.7,Dominik Szoboszlai,24(6),2122,5,3,6,-,1.9,85.5,0.6,2,6.86
89,Lisandro Martínez,Manchester United,27 years old (18-01-1998),175cm,Argentina,"Defender (Centre, Left), Defensive Midfielder (C)",1.5,0.8,0.7,-,-,0.1,-,-,-,0.1,0.4,0.2,0.7,0.4,-,2.7,0.1,0.3,0.4,0.4,1.1,0.1,-,0.1,0.1,1.6,0.5,0.2,0.3,-,65.7,2.2,2.9,57,3.7,0.1,0.2,-,-,-,-,0.9,0.2,0.1,0.6,2,0.8,2.8,Lisandro Martínez,20,1754,2,1,7,-,0.9,90,0.8,1,6.86
90,Diogo Dalot,Manchester United,26 years old (18-03-1999),183cm,Portugal,"Defender (Left, Right), Midfielder (Left, Right)",1.9,1.2,0.7,-,-,-,-,-,0.1,0.1,0.3,0.3,0.4,0.2,-,2.1,0.8,0.8,1.6,0.3,1.3,-,-,-,-,1.2,0.8,0.1,0.7,0.1,43.4,1.8,1.9,34.6,5.2,1.2,0.6,-,-,-,-,0.7,0.2,0.2,0.4,2.1,0.6,2.7,Diogo Dalot,31,2757,-,3,5,-,0.7,83.8,1.2,-,6.86
91,Mohammed Kudus,West Ham,24 years old (02-08-2000),177cm,Ghana,"Midfielder (Centre, Left, Right), Forward",1.7,0.4,1.3,-,-,-,-,-,-,0.1,-,-,0.8,-,-,0.3,3.8,2.9,6.7,2.1,1.3,0.1,-,0.1,-,0.2,1,0.1,0.9,0.7,24.5,1.2,0.4,20.8,2.1,2.3,3.2,-,-,-,-,2.4,0.6,0.2,1.6,1.3,0.6,1.9,Mohammed Kudus,26,2180,3,2,1,1,2.4,89.8,0.4,-,6.85
92,Yankuba Minteh,Brighton,20 years old (22-07-2004),180cm,Gambia,Attacking Midfielder (Right),1.5,0.6,1,-,-,-,-,-,0.1,0.2,-,0.1,0.6,0.2,-,0.9,1.6,1.4,3,0.3,0.6,0.2,-,0.2,-,0.4,1,0.1,0.8,0.2,12.9,0.5,0.3,8.2,4,1.6,0.7,-,-,-,-,1,0.1,-,0.9,1.5,1.1,2.6,Yankuba Minteh,15(11),1409,5,4,6,-,1,67,0.6,2,6.85
93,Evanilson,Bournemouth,25 years old (06-10-1999),183cm,Brazil,Forward,3.7,1.5,2.2,-,-,-,-,-,-,-,-,-,0.3,-,-,0.7,0.5,0.2,0.8,1.6,1.1,0.4,0.2,0.2,-,-,0.8,-,0.8,0.6,10.6,0.3,0.2,7,3.1,1.2,0.8,-,-,-,-,2.4,0.3,0.4,1.7,0.5,0.2,0.7,Evanilson,22(3),1827,9,-,-,-,2.4,68.9,1.5,2,6.85
94,Marcus Rashford,Aston Villa,27 years old (31-10-1997),180cm,England,"Attacking Midfielder (Centre, Left, Right), Forward",1,0.1,0.9,0.1,-,-,-,-,0.1,0.3,-,0.1,0.3,-,-,0.3,1.3,1.1,2.4,0.4,0.1,0.1,-,-,0.1,0.1,1.4,0.1,1.3,0.1,15.3,0.5,-,12.1,2.6,0.8,0.1,-,-,-,-,1.9,0.8,-,1.1,0.9,0.1,1,Marcus Rashford,3(5),360,1,2,-,-,1.9,82.8,0.1,1,6.85
