,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Yellow_Cards,Red_Cards,Total_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
10,Antoine Semenyo,Bournemouth,25 years old (07-01-2000),185cm,Ghana,"Attacking Midfielder (Left, Right), Forward",4.2,1.9,2.3,-,-,-,-,-,0.1,0.1,0.2,0.2,1.5,0.3,-,0.7,1.8,2,3.8,1.1,2,0.3,0.1,0.2,-,0.2,1.3,0.1,1.3,0.5,26.9,0.5,1,20.3,5.1,2.4,2.1,-,-,-,-,3.6,1.2,0.2,2.3,1.6,0.8,2.5,Antoine Semenyo,31,2740,8,4,9,-,3.6,77.3,1.9,3,7.22
12,Jérémy Doku,Manchester City,22 years old (27-05-2002),173cm,Belgium,"Midfielder (Left, Right)",0.4,-,0.4,-,-,-,-,-,0.2,0.2,-,-,0.4,-,-,0.1,3.3,4,7.3,1.2,0.3,0.1,-,0.1,-,0.2,1,-,1,0.2,25.2,0.2,-,21.2,3.8,2.1,2.2,-,-,-,-,1,0.3,-,0.7,1.2,0.3,1.5,Jérémy Doku,14(9),1277,3,4,1,-,1,84.8,-,3,7.18
13,Amad Diallo,Manchester United,22 years old (11-07-2002),173cm,Ivory Coast,"Midfielder (Centre, Right)",1.1,0.4,0.7,-,-,-,-,-,0.2,0.3,-,0.1,0.5,0.1,-,0.6,1.6,1.6,3.3,1,0.9,0.3,-,0.3,-,0.5,1.8,0.3,1.5,0.4,32.5,0.5,0.6,27.3,4.2,1.6,1.5,-,-,-,-,1.8,0.6,-,1.2,1.5,0.5,2,Amad Diallo,17(5),1595,6,6,3,-,1.8,85.2,0.4,3,7.16
14,Trent Alexander-Arnold,Liverpool,26 years old (07-10-1998),175cm,England,"Defender (Right), Defensive Midfielder (C), Midfielder (Right)",0.5,0.1,0.4,0.1,-,-,-,-,0.1,0.2,0.3,0.3,0.6,0.1,-,1.6,0.6,0.5,1,0.3,0.3,0.1,-,-,-,1.1,1.8,0.4,1.5,-,52.4,4.2,5.3,36.7,6.1,0.7,0.5,-,-,-,-,1.4,1,-,0.3,2.4,1.9,4.3,Trent Alexander-Arnold,26(2),2158,2,6,4,-,1.4,78.2,0.1,1,7.15
15,Brandon Austin,Tottenham,26 years old (08-01-1999),188cm,England,Goalkeeper,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,27,4,9,14,-,-,-,2,-,2,-,-,-,-,-,-,-,-,Brandon Austin,1,90,-,-,-,-,-,66.7,4,-,7.11
16,Son Heung-Min,Tottenham,32 years old (08-07-1992),183cm,South Korea,"Midfielder (Centre, Left, Right), Forward",0.6,0.2,0.4,-,-,0.1,-,-,0.2,0.3,-,-,0.4,-,-,0.5,1.9,1,2.9,1,0.2,0.3,-,0.3,-,0.2,1.8,0.1,1.7,0.4,28.6,0.5,0.2,23.5,4.4,0.9,1,-,-,-,-,2,0.6,-,1.3,0.6,0.6,1.3,Son Heung-Min,23(5),2012,7,9,1,-,2,84,0.2,3,7.09
17,Antonee Robinson,Fulham,27 years old (08-08-1997),183cm,USA,"Defender (Left), Midfielder (Left)",2.2,1.4,0.8,0.1,-,-,-,-,0.2,0.3,0.2,0.3,0.9,0.3,-,3.3,1.3,1,2.3,0.5,0.9,-,-,-,-,1.7,1.3,0.2,1.1,0.2,45.8,1.9,2.2,35,6.8,1.3,0.5,-,-,-,-,0.5,0.4,-,0.1,2.6,1.3,3.9,Antonee Robinson,31(1),2808,-,10,8,-,0.5,80.5,1.4,4,7.09
18,Kai Havertz,Arsenal,25 years old (11-06-1999),193cm,Germany,"Midfielder (Centre, Right), Forward",6.6,3,3.5,-,-,-,-,-,0.1,0.1,0.2,-,0.9,0.2,-,1.4,1.4,0.4,1.8,1,1.7,0.4,0.1,0.2,-,0.3,0.8,-,0.8,0.7,23.5,-,0.2,18.7,4.5,2,1,-,-,-,-,2.5,0.3,0.6,1.6,0.8,0.5,1.3,Kai Havertz,21,1842,9,3,4,-,2.5,79.9,3,1,7.09
19,Youri Tielemans,Aston Villa,27 years old (07-05-1997),176cm,Belgium,Midfielder (Centre),1.2,0.7,0.5,0.1,0.1,0.1,-,-,-,0.2,0.5,-,0.6,0.1,-,1.3,0.8,0.9,1.7,1.5,1.3,0.1,-,0.1,-,0.7,1.8,0.4,1.3,-,54.8,2.3,1.4,45,6.1,0.9,0.8,-,-,-,-,1.1,0.6,0.1,0.5,2.4,1,3.3,Youri Tielemans,32,2742,2,6,4,-,1.1,86.3,0.7,4,7.09
20,Virgil van Dijk,Liverpool,33 years old (08-07-1991),195cm,Netherlands,Defender (Centre),4.5,3.2,1.3,-,-,-,-,-,-,-,0.4,-,0.3,0.1,-,5.2,0.1,0.1,0.2,0.4,0.5,0.1,-,-,-,1.6,0.3,-,0.3,-,77.9,4,3.2,67.4,3.2,0.2,0.2,-,-,-,-,0.7,0.1,0.2,0.4,1.1,0.3,1.3,Virgil van Dijk,32,2880,2,1,3,-,0.7,91.7,3.2,2,7.08
