,TotSav,SYBSav,PASav,OOBSav
133,-,-,-,-
134,-,-,-,-
135,-,-,-,-
136,-,-,-,-
137,-,-,-,-
138,-,-,-,-
139,-,-,-,-
140,-,-,-,-
141,-,-,-,-
142,-,-,-,-
143,-,-,-,-
144,-,-,-,-
145,-,-,-,-
146,-,-,-,-
147,-,-,-,-
148,-,-,-,-
149,-,-,-,-
150,-,-,-,-
151,-,-,-,-
152,3.3,0.1,2,1.2
153,-,-,-,-
154,-,-,-,-
155,-,-,-,-
156,-,-,-,-
157,-,-,-,-
158,-,-,-,-
159,-,-,-,-
160,-,-,-,-
161,-,-,-,-
162,-,-,-,-
163,-,-,-,-
164,-,-,-,-
165,-,-,-,-
166,-,-,-,-
167,-,-,-,-
168,2.8,-,2,0.8
169,-,-,-,-
170,-,-,-,-
171,-,-,-,-
172,-,-,-,-
173,-,-,-,-
174,-,-,-,-
175,-,-,-,-
176,-,-,-,-
177,-,-,-,-
178,-,-,-,-
179,-,-,-,-
180,-,-,-,-
181,-,-,-,-
182,-,-,-,-
183,3.6,0.5,2.2,0.9
184,-,-,-,-
185,-,-,-,-
186,-,-,-,-
187,4.3,0.5,2.2,1.6
188,-,-,-,-
189,-,-,-,-
190,-,-,-,-
191,-,-,-,-
192,-,-,-,-
193,-,-,-,-
194,-,-,-,-
195,-,-,-,-
196,-,-,-,-
197,2.8,0.1,2.1,0.6
198,-,-,-,-
199,-,-,-,-
200,-,-,-,-
201,2.2,-,1.7,0.5
202,2.5,0.1,1.6,0.8
203,-,-,-,-
204,-,-,-,-
205,-,-,-,-
206,-,-,-,-
207,-,-,-,-
208,-,-,-,-
209,-,-,-,-
210,-,-,-,-
211,-,-,-,-
212,-,-,-,-
213,-,-,-,-
214,-,-,-,-
215,-,-,-,-
216,-,-,-,-
217,-,-,-,-
218,-,-,-,-
219,-,-,-,-
220,-,-,-,-
221,-,-,-,-
222,-,-,-,-
223,-,-,-,-
224,2.5,0.3,1.3,0.9
225,2.8,0.5,1.6,0.8
226,-,-,-,-
227,-,-,-,-
228,3.7,0.2,2.4,1.1
229,-,-,-,-
230,-,-,-,-
231,-,-,-,-
232,1.7,-,0.7,1
233,-,-,-,-
234,-,-,-,-
235,-,-,-,-
236,-,-,-,-
237,2.8,0.2,1.6,1
238,-,-,-,-
239,-,-,-,-
240,-,-,-,-
