Name,Club,Age,Height,National,Positions
João Pedro,Brighton,23 years old (26-09-2001),182cm,Brazil,"Attacking Midfielder (Centre, Left), Forward"
Enzo Fernández,Chelsea,24 years old (17-01-2001),178cm,Argentina,Midfielder (Centre)
Yoane Wissa,Brentford,28 years old (03-09-1996),176cm,DR Congo,"Attacking Midfielder (Left), Forward"
Joelinton,Newcastle,28 years old (14-08-1996),186cm,Brazil,"Attacking Midfielder (Centre, Left, Right), Forward"
Rayan Aït-Nouri,Wolves,23 years old (06-06-2001),180cm,Algeria,"Defender (Left), Midfielder (Left)"
Nikola Milenkovic,Nottingham Forest,27 years old (12-10-1997),195cm,Serbia,"Defender (Centre, Right)"
Lewis Hall,Newcastle,20 years old (08-09-2004),179cm,England,"Defender (Left), Midfielder (Left)"
Dango Ouattara,Bournemouth,23 years old (11-02-2002),177cm,Burkina Faso,"Defender (Left), Midfielder (Left, Right), Forward"
Ryan Christie,Bournemouth,30 years old (22-02-1995),178cm,Scotland,"Midfielder (Centre, Left, Right), Forward"
Trevoh Chalobah,Chelsea,25 years old (05-07-1999),190cm,England,"Defender (Centre, Right), Defensive Midfielder (C)"
Jason Steele,Brighton,34 years old (18-08-1990),188cm,England,Goalkeeper
Sven Botman,Newcastle,25 years old (12-01-2000),193cm,Netherlands,Defender (Centre)
Emmanuel Agbadou,Wolves,27 years old (17-06-1997),192cm,Ivory Coast,"Defender (Centre, Right), Defensive Midfielder (C)"
Dejan Kulusevski,Tottenham,24 years old (25-04-2000),186cm,Sweden,"Attacking Midfielder (Centre, Right), Forward"
Dominic Solanke,Tottenham,27 years old (14-09-1997),187cm,England,Forward
Christian Nørgaard,Brentford,31 years old (10-03-1994),187cm,Denmark,"Defender (Centre), Defensive Midfielder (C)"
Gabriel Magalhães,Arsenal,27 years old (19-12-1997),190cm,Brazil,Defender (Centre)
Kaoru Mitoma,Brighton,27 years old (20-05-1997),178cm,Japan,Midfielder (Left)
Morgan Rogers,Aston Villa,22 years old (26-07-2002),187cm,England,"Attacking Midfielder (Centre, Left, Right), Forward"
Djed Spence,Tottenham,24 years old (09-08-2000),185cm,England,"Defender (Left, Right), Midfielder (Right)"
Carlos Baleba,Brighton,21 years old (03-01-2004),179cm,Cameroon,Defensive Midfielder (C)
Lewis Cook,Bournemouth,28 years old (03-02-1997),175cm,England,"Defender (Right), Midfielder (Centre, Left)"
Brennan Johnson,Tottenham,23 years old (23-05-2001),186cm,Wales,"Attacking Midfielder (Centre, Left, Right), Forward"
Neco Williams,Nottingham Forest,24 years old (13-04-2001),183cm,Wales,"Defender (Left, Right), Midfielder (Left, Right)"
Maxence Lacroix,Crystal Palace,25 years old (06-04-2000),190cm,France,Defender (Centre)
Alex Palmer,Ipswich,28 years old (10-08-1996),191cm,England,Goalkeeper
Ibrahima Konaté,Liverpool,25 years old (25-05-1999),194cm,France,Defender (Centre)
Marcus Tavernier,Bournemouth,26 years old (22-03-1999),178cm,England,"Midfielder (Centre, Left, Right)"
William Saliba,Arsenal,24 years old (24-03-2001),192cm,France,Defender (Centre)
Dominik Szoboszlai,Liverpool,24 years old (25-10-2000),186cm,Hungary,"Attacking Midfielder (Centre, Left, Right), Forward"
