,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss
109,-,-,0.1,-,-,0.1,0.2
110,-,-,-,-,-,-,-
111,-,-,-,-,-,-,-
112,-,-,-,-,-,-,-
113,-,-,-,-,-,-,-
114,-,-,-,-,-,-,0.1
115,0.1,-,-,-,-,0.1,0.2
116,-,-,-,-,-,-,-
117,-,-,-,-,-,-,-
118,-,-,-,-,-,-,-
119,-,-,-,-,-,0.1,0.1
120,-,-,-,-,-,-,0.1
121,-,-,-,-,-,0.1,0.1
122,-,-,-,-,-,0.1,0.1
123,-,-,-,-,-,-,-
124,-,-,-,-,-,0.1,0.1
125,-,-,-,-,-,-,-
126,-,-,-,-,-,-,-
127,0.1,-,-,-,-,-,0.2
128,-,-,-,-,-,-,0.1
129,0.1,-,-,-,-,0.1,0.3
130,-,-,-,-,-,-,-
131,-,-,-,-,-,0.1,0.1
132,-,-,-,-,-,0.1,0.1
133,-,-,-,-,-,-,-
134,-,-,-,-,-,-,0.1
135,-,-,-,-,-,0.1,0.2
136,-,-,-,-,-,-,-
137,-,-,-,-,-,0.2,0.2
138,0.1,-,-,-,-,-,0.1
139,-,-,-,-,-,-,-
140,0.1,-,-,-,-,-,0.1
141,-,-,-,-,-,-,-
142,-,-,-,-,-,0.2,0.2
143,-,-,-,-,-,-,-
144,-,-,-,-,-,0.1,0.1
145,-,-,-,-,-,-,0.1
146,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-
148,-,-,-,-,-,-,0.1
149,-,-,-,-,-,0.1,0.1
150,-,-,-,-,-,-,-
151,-,-,-,-,-,0.1,0.1
152,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-
156,0.1,-,-,-,-,-,0.1
157,-,-,-,-,-,-,-
158,-,-,-,-,-,-,-
159,0.1,-,-,-,-,-,0.1
160,-,-,-,-,-,0.1,0.1
161,-,-,-,-,-,-,-
162,-,-,-,-,-,0.1,0.1
163,-,-,-,-,-,-,-
164,-,-,-,-,-,-,-
165,-,-,-,-,-,0.1,0.1
166,-,-,-,-,-,-,-
167,-,-,-,-,-,-,-
168,-,-,-,-,-,-,-
169,-,-,-,-,-,-,-
170,-,-,-,-,-,0.1,0.1
171,-,-,-,-,-,0.1,0.2
172,-,-,-,-,-,-,-
173,0.1,-,-,-,-,0.1,0.1
174,-,-,-,-,-,-,-
175,-,-,-,-,-,0.1,0.1
176,0.1,-,-,-,-,-,0.1
177,-,-,-,-,-,-,-
178,-,-,-,-,-,-,-
179,-,-,-,-,-,-,-
180,-,-,-,-,-,-,-
181,-,-,-,-,-,-,-
182,0.1,-,-,-,-,-,0.1
183,-,-,-,-,-,-,-
184,-,-,-,-,-,-,-
185,-,-,-,-,-,-,-
186,0.1,0.1,-,-,-,-,0.1
187,-,-,-,-,-,-,-
188,-,-,-,-,-,0.2,0.2
189,-,-,-,-,-,0.1,0.1
190,-,-,-,-,-,0.1,0.1
191,-,-,-,-,-,-,-
192,-,-,0.1,-,-,-,0.1
193,-,-,-,-,-,-,-
194,-,-,-,-,-,-,-
195,-,-,-,-,-,-,-
196,0.1,-,-,-,-,-,0.2
197,-,-,-,-,-,-,-
198,0.1,0.1,-,-,-,-,0.1
199,-,-,-,-,-,-,-
200,-,-,-,-,-,-,-
201,-,-,-,-,-,0.1,0.2
202,-,-,-,-,-,-,-
203,-,-,-,-,-,-,-
204,0.1,0.1,-,-,-,-,0.1
205,-,-,-,-,-,0.1,0.1
206,0.1,-,-,-,-,-,0.2
207,-,-,-,-,-,-,0.1
208,-,-,-,-,-,-,-
209,-,-,-,-,-,-,-
210,-,-,-,-,-,-,-
211,-,-,-,-,-,-,-
212,0.1,-,-,-,-,-,0.1
213,-,-,-,-,-,-,-
214,-,-,0.1,-,-,-,0.1
215,-,-,-,-,-,-,-
216,-,-,-,-,-,-,-
217,-,-,-,-,-,0.1,0.1
218,-,-,-,-,-,0.2,0.2
219,-,-,-,-,-,-,-
220,-,-,-,-,-,-,-
221,0.1,-,-,-,-,0.1,0.1
222,-,-,-,-,-,-,-
223,-,-,-,-,-,-,-
224,-,-,-,-,-,-,-
225,-,-,-,-,-,-,-
226,-,-,-,-,-,-,-
227,-,-,-,-,-,-,-
228,-,-,-,-,-,-,-
229,-,-,-,-,-,-,-
230,-,-,-,-,-,-,-
231,-,-,-,-,-,-,-
232,-,-,-,-,-,-,-
233,-,-,-,-,-,-,-
234,-,-,-,-,-,-,-
235,-,-,-,-,-,-,-
