,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
199,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
200,0.3,-,-,-,-,0.3,-,-,0.2,0.3,0.2,0.1,0.5,0.2,2.7,1.5,1.2
201,1.6,0.3,0.1,0.3,-,1.6,0.2,0.2,1.3,1.8,1.3,0.5,1.4,0.6,1.6,0.4,1.2
202,0.1,-,-,-,-,0.1,-,-,0.1,1.4,0.9,0.5,0.9,0.5,2.4,1.5,0.9
203,0.1,-,-,-,-,0.1,-,-,-,0.5,0.1,0.4,0.7,0.6,1.4,0.9,0.5
204,0.5,0.1,0.1,-,-,0.5,0.1,0.1,0.3,0.6,0.3,0.3,1.1,0.8,1.2,0.7,0.5
205,1,0.1,-,0.1,-,1,0.2,-,0.8,1.8,1,0.8,1.8,1.2,1.3,0.3,0.9
206,0.4,-,-,-,-,0.4,0.3,0.1,0.1,1.1,0.4,0.6,0.6,0.6,1.8,0.6,1.2
207,0.4,-,-,-,-,0.4,-,-,0.3,0.7,0.4,0.3,0.7,0.2,2.6,1.6,1
208,1,0.3,-,0.3,-,1,-,0.5,0.5,0.5,0.3,0.3,0.3,0.8,3.3,1.5,1.8
209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-
210,0.8,0.2,0.1,0.1,0.1,0.8,0.3,0.1,0.5,2.3,1.4,0.9,1,0.5,0.6,0.1,0.5
211,0.2,-,-,-,-,0.2,-,-,0.2,0.4,0.2,0.2,0.7,0.6,2.6,1.4,1.3
212,1.8,0.1,0.1,0.1,-,1.8,0.5,0.1,1.2,4.7,3.2,1.5,3.2,1.3,1.3,0.6,0.7
213,1,-,-,-,-,1,0.3,-,0.7,0.8,0.6,0.2,0.8,0.4,0.9,0.3,0.6
214,0.4,0.1,-,0.1,-,0.4,0.1,0.1,0.2,0.7,0.3,0.3,0.8,0.4,0.9,0.4,0.5
215,1,0.2,0.1,0.1,-,1,0.2,0.1,0.8,2.1,1.3,0.9,0.7,0.4,0.9,0.4,0.5
216,0.7,0.1,-,0.1,-,0.7,0.2,-,0.5,1.3,1,0.3,1.2,0.6,2.5,1.4,1.1
217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-
218,0.5,-,-,-,-,0.5,-,-,0.5,2,0.5,1.5,-,-,-,-,-
219,0.7,0.1,-,-,-,0.7,0.4,0.1,0.3,1.1,0.5,0.6,1.4,0.7,1.1,0.3,0.8
220,1.6,0.1,-,-,0.1,1.6,0.9,-,0.7,1.7,0.9,0.9,0.6,0.4,0.7,0.5,0.2
221,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.3,0.3,0.1
222,0.5,-,-,-,-,0.5,0.1,0.2,0.3,0.6,0.3,0.3,0.6,0.2,3.1,2.1,1
223,0.6,-,-,-,-,0.6,0.4,-,0.2,1.5,1.2,0.3,0.7,0.4,1.2,0.9,0.3
224,0.6,0.1,-,0.1,-,0.6,0.2,-,0.4,1.9,1.1,0.7,0.7,0.7,0.7,0.4,0.3
225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
226,0.8,-,-,-,-,0.8,0.6,-,0.2,1.1,0.6,0.5,0.7,0.5,0.7,0.4,0.3
