,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
208,1.2,0.1,-,0.1,-,1.2,0.3,-,0.9,1.6,0.8,0.7,1.7,0.9,8.1,4.3,3.8
209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210,0.5,-,-,-,-,0.5,0.5,-,-,1,0.5,0.5,0.3,-,2.3,1.5,0.8
211,0.2,-,-,-,-,0.2,-,0.1,0.1,-,-,-,0.1,-,2.6,1.7,0.9
212,0.6,0.1,-,-,-,0.6,0.2,0.2,0.3,0.4,0.2,0.2,0.6,0.3,3,2.1,0.9
213,1.1,-,-,-,-,1.1,0.5,-,0.6,3.2,1.9,1.3,1.7,1.1,1.3,0.5,0.8
214,0.9,0.3,0.1,0.1,-,0.9,-,0.3,0.6,0.1,-,0.1,0.3,0.1,1.1,0.9,0.3
215,1.5,0.1,0.1,-,-,1.5,1,0.1,0.4,1.9,1.2,0.7,1.1,1.2,1.4,0.4,1
216,0.3,-,-,-,-,0.3,0.2,-,0.2,1.1,0.6,0.6,0.8,0.1,0.8,0.4,0.5
217,0.3,-,-,-,-,0.3,-,-,0.3,-,-,-,0.4,0.3,3,2,1
218,0.5,-,-,-,-,0.5,-,-,0.5,-,-,-,0.5,-,7,3,4
219,1.3,0.1,0.1,-,-,1.3,0.4,0.1,0.8,3,2,1,1.6,1.2,2.1,1.1,1.1
220,0.1,-,-,-,-,0.1,-,-,0.1,-,-,-,0.2,-,2.1,1.4,0.7
221,0.9,-,-,-,-,0.9,0.4,-,0.5,1,0.8,0.2,0.9,0.5,1.6,0.9,0.8
222,0.3,-,-,-,-,0.3,0.3,-,-,0.3,0.1,0.2,0.2,0.1,2.4,1.4,1
223,1.5,0.1,-,-,0.1,1.5,0.9,-,0.6,2.5,1.4,1.2,1.6,0.6,0.2,0.2,-
224,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.1,0.1,-
225,0.9,0.2,-,0.1,0.1,0.9,0.7,-,0.2,1.8,1.2,0.6,1.5,0.3,0.7,0.1,0.6
226,1.3,0.1,-,0.1,-,1.3,0.6,0.1,0.7,2,1,1,1.3,0.6,1.2,0.3,0.8
227,0.3,0.1,-,0.1,-,0.3,0.2,-,0.1,1.5,0.8,0.7,1.5,0.4,1.7,0.9,0.8
228,0.3,-,-,-,-,0.3,0.2,-,0.1,1,0.5,0.6,0.9,0.4,1.5,0.8,0.7
